74a6b5858ff98b938e30c41fe6e67b74cedad71831305d735ec34e4c3ce23bad,0fb3fcbfedcd1d56b69a5cbd7cd22a267f9aede438acc8b0ebfc8b8996f51546,15abdc490e54b3007e7c4ada276a79d9a4a9d764522f4cf0f021fa752edcc50a,ecbff56c17ce6c5cc04a9af691fffa74c617d6cc15b62d26346df323e689221b,d026984df49984a47ecbcfb6042aed88754ae8f9aaca328dff23051ef0f6edd4,a91ecdb2e8caccf76c7ea17dc45c0b7b361cf7521fc38a738f2d696949e4f75d,ab17813a7f49f2271a86083f864920c036a0966858034369d94ae4eb578f591c,53e2824512e541567ddc64679ea5a94ca2ee2582d530bde6819ba9bca5dc4c55,e3d2974ab28d5fcad9628685e79732a510da39e4b455cd380500c2b24439d685
"","2","","1","2","1","23001","1","21600"
"","3","","2","2","1","23001","1","19800"
"","3","","3","2","1","23001","1","18000"
"","3","","4","2","1","23001","1","16200"
"","4","","5","2","1","23001","1","14400"
"","4","","6","2","1","23001","1","12960"
"","5","","7","2","1","23001","1","11520"
"","6","","8","2","1","23001","1","10080"
"","7","","9","2","1","23001","1","8640"
"","8","","10","2","1","23001","1","7200"
"","10","","11","2","1","23001","1","5760"
"","12","","12","2","1","23001","1","5040"
"","14","","13","2","1","23001","1","4320"
"","16","","14","2","2","23001","1","7200"
"","18","","15","2","2","23001","1","5400"
"","18","","16","2","2","23001","1","5040"
"","18","","17","2","2","23001","1","4800"
"","20","","18","2","2","23001","1","4500"
"","20","","19","2","2","23001","1","4320"
"","24","","20","2","3","23001","1","6000"
"","48","","21","2","3","23001","1","5700"
"","48","","22","2","3","23001","1","5400"
"","51","","23","2","3","23001","1","5220"
"","54","","24","2","3","23001","1","4980"
"","54","","25","2","3","23001","1","4800"
"","60","","26","2","3","23001","1","4500"
"","60","","27","2","3","23001","1","4320"
"","63","","28","2","3","23001","1","4200"
"","64","","29","2","4","23001","1","5400"
"","68","","30","2","4","23001","1","5220"
"","72","","31","2","4","23001","1","5040"
"","72","","32","2","4","23001","1","4920"
"","72","","33","2","4","23001","1","4800"
"","76","","34","2","4","23001","1","4680"
"","80","","35","2","4","23001","1","4500"
"","80","","36","2","4","23001","1","4320"
"","84","","37","2","4","23001","1","4260"
"","84","","38","2","4","23001","1","4200"
"","80","","1","6","20","93001","2","21600"
"","96","","2","6","24","93001","2","21600"
"","112","","3","6","28","93001","2","21600"
"","120","","4","6","30","93001","2","21600"
"","128","","5","6","32","93001","2","21600"
"","136","","6","6","34","93001","2","21600"
"","144","","7","6","36","93001","2","21600"
"","152","","8","6","38","93001","2","21600"
"","160","","9","6","40","93001","2","21600"
"","168","","10","6","42","93001","2","21600"
"","176","","11","6","44","93001","2","21600"
"","184","","12","6","46","93001","2","21600"
"","192","","13","6","48","93001","2","21600"
"","200","","14","6","50","93001","2","21600"
"","208","","15","6","52","93001","2","21600"
"","216","","16","6","54","93001","2","21600"
"","224","","17","6","56","93001","2","21600"
"","232","","18","6","58","93001","2","21600"
"","240","","19","6","60","93001","2","21600"
"","248","","20","6","62","93001","2","21600"
"","256","","21","6","64","93001","2","21600"
"","264","","22","6","66","93001","2","21600"
"","272","","23","6","68","93001","2","21600"
"","280","","24","6","70","93001","2","21600"
"","288","","25","6","72","93001","2","21600"
"","296","","26","6","74","93001","2","21600"
"","304","","27","6","76","93001","2","21600"
"","312","","28","6","78","93001","2","21600"
"","320","","29","6","80","93001","2","21600"
"","328","","30","6","82","93001","2","21600"
"","336","","31","6","84","93001","2","21600"
"","340","","32","6","85","93001","2","21600"
"","344","","33","6","86","93001","2","21600"
"","348","","34","6","87","93001","2","21600"
"","352","","35","6","88","93001","2","21600"
"","356","","36","6","89","93001","2","21600"
"","360","","37","6","90","93001","2","21600"
"","364","","38","6","91","93001","2","21600"
"","3","","1","2","1","20001","3","14400"
"","5","","2","2","1","20001","3","9600"
"","7","","3","2","1","20001","3","7200"
"","10","","4","2","1","20001","3","5400"
"","15","","5","2","1","20001","3","3600"
"","6","","6","2","1","20002","3","9600"
"","8","","7","2","1","20002","3","7200"
"","12","","8","2","1","20002","3","4800"
"","16","","9","2","1","20002","3","3600"
"","20","","10","2","1","20002","3","2700"
"","6","","11","2","1","20003","3","10800"
"","8","","12","2","1","20003","3","9000"
"","12","","13","2","1","20003","3","7200"
"","16","","14","2","1","20003","3","5400"
"","20","","15","2","1","20003","3","3600"
"","30","","16","2","1","20003","3","2880"
"","7","","17","2","1","20004","3","12600"
"","8","","18","2","1","20004","3","11400"
"","9","","19","2","1","20004","3","10200"
"","10","","20","2","1","20004","3","9300"
"","10","","21","2","1","20004","3","8700"
"","13","","22","2","1","20004","3","6600"
"","14","","23","2","1","20004","3","6300"
"","15","","24","2","1","20004","3","6000"
"","15","","25","2","1","20004","3","5700"
"","16","","26","2","1","20004","3","5400"
"","17","","27","2","1","20004","3","5100"
"","18","","28","2","1","20004","3","4860"
"","19","","29","2","1","20004","3","4620"
"","20","","30","2","1","20004","3","4440"
"","21","","31","2","1","20004","3","4260"
"","22","","32","2","1","20004","3","4080"
"","22","","33","2","1","20004","3","3960"
"","23","","34","2","1","20004","3","3840"
"","24","","35","2","1","20004","3","3720"
"","24","","36","2","1","20004","3","3600"
"","25","","37","2","1","20004","3","3480"
"","26","","38","2","1","20004","3","3420"
"","12000","","1","12","3000","94002","4","21600"
"","18000","","2","12","4500","94002","4","21600"
"","24000","","3","12","6000","94002","4","21600"
"","30000","","4","12","7500","94002","4","21600"
"","42000","","5","12","10500","94002","4","21600"
"","54000","","6","12","13500","94002","4","21600"
"","66000","","7","12","16500","94002","4","21600"
"","84000","","8","12","21000","94002","4","21600"
"","102000","","9","12","25500","94002","4","21600"
"","120000","","10","12","30000","94002","4","21600"
"","144000","","11","12","36000","94002","4","21600"
"","168000","","12","12","42000","94002","4","21600"
"","192000","","13","12","48000","94002","4","21600"
"","222000","","14","12","55500","94002","4","21600"
"","252000","","15","12","63000","94002","4","21600"
"","282000","","16","12","70500","94002","4","21600"
"","318000","","17","12","79500","94002","4","21600"
"","354000","","18","12","88500","94002","4","21600"
"","390000","","19","12","97500","94002","4","21600"
"","432000","","20","12","108000","94002","4","21600"
"","474000","","21","12","118500","94002","4","21600"
"","516000","","22","12","129000","94002","4","21600"
"","562000","","23","12","140500","94002","4","21600"
"","600000","","24","12","150000","94002","4","21600"
"","642000","","25","12","160500","94002","4","21600"
"","684000","","26","12","171000","94002","4","21600"
"","726000","","27","12","181500","94002","4","21600"
"","768000","","28","12","192000","94002","4","21600"
"","810000","","29","12","202500","94002","4","21600"
"","852000","","30","12","213000","94002","4","21600"
"","894000","","31","12","223500","94002","4","21600"
"","920000","","32","12","230000","94002","4","21600"
"","940000","","33","12","235000","94002","4","21600"
"","960000","","34","12","240000","94002","4","21600"
"","980000","","35","12","245000","94002","4","21600"
"","1000000","","36","12","250000","94002","4","21600"
"","1020000","","37","12","255000","94002","4","21600"
"","1040000","","38","12","260000","94002","4","21600"
"","48","","1","6","12","93001","5","21600"
"","48","","1","6","12","93001","6","21600"
"","48","","1","6","12","93001","7","21600"
"","48","","1","6","12","93001","8","21600"
"","48","","1","6","12","93001","11","21600"
"","48","","1","6","12","93001","12","21600"
"","48","","1","6","12","93001","19","21600"
"14999999999","0","4999999999","0","0","1","0","23","0"
"","48","","1","6","12","93001","25","21600"
"","48","","1","6","12","93001","28","21600"
"","48","","1","6","12","93001","30","21600"
