157767545fc164abeed1dd904c024f4acd5ef54bdc77280a3dff2c34faf16b83,4ad8c4f61b2252143c9450507dfe072f9193cfc44b8661276941112303186611,fda696864133a359dabbd1fc34dd675c69666d7e8693faab3dd0ec4e03159833,c18c0978c66af58c0a9f362e82a381bd7fdcd52c0af026568ec57bce8f5a2201,87740e605dca7c64e592d2e31f33726f8e0afee5d15131104711122502eb3f78
"1","8","1","91002","100"
"2","8","2","91002","100"
"3","8","3","91002","100"
"4","8","4","91002","100"
"5","8","5","91002","100"
"6","2","6","23003","500"
"7","4","7","140001","100"
"8","2","8","21953","1"
"9","2","9","23003","500"
"10","2","10","25001","100"
"11","2","11","90005","100"
"12","2","12","41000","1"
"13","2","13","23003","500"
"14","2","14","25011","10000"
"15","2","15","25012","10000"
"16","2","16","25013","10000"
"17","2","17","25014","10000"
"18","2","18","25015","10000"
"19","2","19","25021","5000"
"20","2","20","25101","1"
"21","2","21","23003","100"
"22","2","22","25011","10000"
"23","2","23","25012","10000"
"24","2","24","25013","10000"
"25","2","25","25014","10000"
"26","2","26","25015","10000"
"27","2","27","25021","5000"
"28","8","28","91002","100"
"29","2","29","23003","150"
"30","2","30","23003","150"
"31","2","31","23003","150"
"32","2","32","23003","150"
"33","2","33","23003","150"
"34","2","34","23003","150"
"35","2","35","26202","50000"
"36","2","36","26202","50000"
"37","2","37","26203","1"
"38","2","38","26202","50000"
"39","2","39","26202","50000"
"40","2","40","26203","1"
"41","2","41","26202","50000"
"42","2","42","26202","50000"
"43","2","43","26203","1"
"44","2","44","26202","50000"
"45","2","45","26202","50000"
"46","2","46","26203","1"
"47","2","47","26202","50000"
"48","2","48","26202","50000"
"49","2","49","26203","1"
"50","2","50","26202","100000"
"51","2","51","26202","100000"
"52","2","52","26203","1"
"53","2","53","26202","100000"
"54","2","54","26202","100000"
"55","2","55","26203","1"
"56","2","56","26202","100000"
"57","2","57","26202","100000"
"58","2","58","26203","1"
"59","2","59","26202","100000"
"60","2","60","26202","100000"
"61","2","61","26203","1"
"62","2","62","26202","100000"
"63","2","63","26202","100000"
"64","2","64","26203","1"
"65","8","65","91002","100"
"66","8","66","91002","100"
"67","8","67","91002","100"
"68","8","68","91002","100"
"69","8","69","91002","100"
"70","2","70","23003","1000"
"71","2","71","23003","1000"
"72","2","72","23003","1000"
"73","2","73","25101","1"
"74","2","74","26202","150000"
"75","2","75","26202","150000"
"76","2","76","26202","150000"
"77","2","77","26202","150000"
"78","2","78","41000","1"
"79","2","79","26202","150000"
"80","2","80","26202","150000"
"81","2","81","26202","150000"
"82","2","82","26202","150000"
"83","2","83","41000","1"
"84","2","84","26202","150000"
"85","2","85","26202","150000"
"86","2","86","26202","150000"
"87","2","87","26202","150000"
"88","2","88","41000","1"
"89","2","89","26202","150000"
"90","2","90","26202","150000"
"91","2","91","26202","150000"
"92","2","92","26202","150000"
"93","2","93","41000","1"
"94","2","94","26202","150000"
"95","2","95","26202","150000"
"96","2","96","26202","150000"
"97","2","97","26202","150000"
"98","2","98","41000","1"
"99","2","99","26202","150000"
"100","2","100","26202","150000"
"101","2","101","26202","150000"
"102","2","102","26202","150000"
"103","2","103","41000","1"
"104","2","104","26202","150000"
"105","2","105","26202","150000"
"106","2","106","26202","150000"
"107","2","107","26202","150000"
"108","2","108","41000","1"
"109","2","109","26202","150000"
"110","2","110","26202","150000"
"111","2","111","26202","150000"
"112","2","112","26202","150000"
"113","2","113","41000","1"
"114","2","114","26202","150000"
"115","2","115","26202","150000"
"116","2","116","26202","150000"
"117","2","117","26202","150000"
"118","2","118","41000","1"
"119","2","119","26202","150000"
"120","2","120","26202","150000"
"121","2","121","26202","150000"
"122","2","122","26202","150000"
"123","2","123","41000","1"
"124","2","124","26202","150000"
"125","2","125","26202","150000"
"126","2","126","26203","1"
"127","2","127","26202","150000"
"128","2","128","26202","150000"
"129","2","129","26202","150000"
"130","2","130","26202","150000"
"131","2","131","41000","1"
"132","2","132","26202","150000"
"133","2","133","26202","150000"
"134","2","134","26203","1"
"135","2","135","26202","150000"
"136","2","136","26202","150000"
"137","2","137","26202","150000"
"138","2","138","26202","150000"
"139","2","139","41000","1"
"140","2","140","26202","150000"
"141","2","141","26202","150000"
"142","2","142","26203","1"
"143","2","143","26202","150000"
"144","2","144","26202","150000"
"145","2","145","26202","150000"
"146","2","146","26202","150000"
"147","2","147","41000","1"
"148","2","148","26202","150000"
"149","2","149","26202","150000"
"150","2","150","26203","1"
"151","2","151","26202","150000"
"152","2","152","26202","150000"
"153","2","153","26202","150000"
"154","2","154","26202","150000"
"155","2","155","41000","1"
