d11236b968371631eab8fc8dc9d57602206f595c54fa0c1e29c33e6c9d52e6e2,f98a3e28164e398f4fdcc09e91ee1d960634288f7a94c7a36c8ac901f887b969,8d0bcc5b8d2180a9dff2b11acff15da70419d10f4dd7eede5e04e2a7058f021a,7c722225aa22f0b6118c955b04f7bede59e62a932e167145b56279a7398632d0,faffb93c6dc06fd14f86373ab79d438fd9b4074e87a9795629b811661b1ff7c9
"26","1","1","41","1"
"101","1","2","41","2"
"61","1","3","61","3"
"82","1","4","50","4"
"21","1","5","41","5"
"108","1","6","41","6"
"79","1","7","55","7"
"57","1","8","68","8"
"28","1","9","44","9"
"97","1","10","44","10"
"47","1","11","55","11"
"68","1","12","67","12"
"10","1","13","38","13"
"119","1","14","38","14"
"90","1","15","52","15"
"28","1","16","65","16"
"25","1","17","40","17"
"101","1","18","40","18"
"65","1","19","58","19"
"36","1","20","64","20"
"25","1","21","41","21"
"86","1","22","41","22"
"40","1","23","60","23"
"16","1","24","40","24"
"115","1","25","40","25"
"28","1","26","63","26"
"28","1","27","41","27"
"96","1","28","41","28"
"70","1","29","55","29"
"33","1","30","41","30"
"83","1","31","41","31"
"57","1","32","68","32"
"36","1","33","37","33"
"82","1","34","37","34"
"82","1","35","58","35"
"27","1","36","38","36"
"102","1","37","38","37"
"39","1","38","52","38"
"62","1","39","65","39"
"28","1","40","38","40"
"93","1","41","38","41"
"54","1","42","56","42"
"28","1","43","63","43"
"39","1","44","40","44"
"115","1","45","40","45"
"21","1","46","55","46"
"60","1","47","66","47"
"15","1","48","38","48"
"76","1","49","38","49"
"58","1","50","53","50"
"36","1","51","61","51"
"28","1","52","38","52"
"89","1","53","38","53"
"23","1","54","56","54"
"67","1","55","66","55"
"31","2","56","40","56"
"89","2","57","40","57"
"42","2","58","67","58"
"61","2","59","55","59"
"21","2","60","40","60"
"93","2","61","40","61"
"61","2","62","57","62"
"44","2","63","68","63"
"21","2","64","43","64"
"101","2","65","43","65"
"56","2","66","57","66"
"108","2","67","75","67"
"30","2","68","37","68"
"83","2","69","37","69"
"39","2","70","53","70"
"24","2","71","67","71"
"25","2","72","38","72"
"91","2","73","38","73"
"83","2","74","65","74"
"65","2","75","55","75"
"21","2","76","39","76"
"93","2","77","39","77"
"26","2","78","62","78"
"107","2","79","72","79"
"36","2","80","38","80"
"86","2","81","38","81"
"50","2","82","55","82"
"25","2","83","62","83"
"24","2","84","40","84"
"86","2","85","40","85"
"46","2","86","65","86"
"69","2","87","58","87"
"24","2","88","43","88"
"99","2","89","43","89"
"24","2","90","62","90"
"107","2","91","72","91"
"21","2","92","43","92"
"104","2","93","43","93"
"46","2","94","67","94"
"69","2","95","55","95"
"28","2","96","40","96"
"86","2","97","40","97"
"43","2","98","65","98"
"21","2","99","44","99"
"98","2","100","44","100"
"54","2","101","65","101"
"36","2","102","38","102"
"83","2","103","38","103"
"93","2","104","58","104"
"17","2","105","43","105"
"98","2","106","43","106"
"28","2","107","61","107"
"36","2","108","37","108"
"86","2","109","37","109"
"72","2","110","65","110"
"26","3","111","44","111"
"102","3","112","44","112"
"50","3","113","91","113"
"88","3","114","78","114"
"43","3","115","35","115"
"86","3","116","35","116"
"43","3","117","85","117"
"53","3","118","66","118"
"28","3","119","47","119"
"101","3","120","47","120"
"46","3","121","66","121"
"79","3","122","85","122"
"39","3","123","37","123"
"91","3","124","37","124"
"57","3","125","78","125"
"71","3","126","60","126"
"36","3","127","37","127"
"93","3","128","37","128"
"39","3","129","62","129"
"50","3","130","88","130"
"65","3","131","106","131"
"39","3","132","35","132"
"91","3","133","35","133"
"65","3","134","86","134"
"41","3","135","57","135"
"93","3","136","70","136"
"65","3","137","106","137"
"30","3","138","41","138"
"99","3","139","41","139"
"78","3","140","91","140"
"57","3","141","60","141"
"37","3","142","72","142"
"65","3","143","106","143"
"36","3","144","41","144"
"93","3","145","41","145"
"57","3","146","57","146"
"39","3","147","75","147"
"86","3","148","85","148"
"65","3","149","106","149"
"39","3","150","38","150"
"91","3","151","38","151"
"48","3","152","88","152"
"67","3","153","63","153"
"83","3","154","81","154"
"65","3","155","106","155"
"39","3","156","35","156"
"91","3","157","35","157"
"92","3","158","72","158"
"43","3","159","57","159"
"46","3","160","88","160"
"39","3","161","35","161"
"90","3","162","35","162"
"46","3","163","60","163"
"79","3","164","91","164"
"41","3","165","33","165"
"88","3","166","33","166"
"43","3","167","85","167"
"83","3","168","60","168"
"36","3","169","36","169"
"93","3","170","36","170"
"83","3","171","86","171"
"50","3","172","60","172"
"28","3","173","42","173"
"101","3","174","42","174"
"50","3","175","88","175"
"75","3","176","66","176"
"32","3","177","38","177"
"97","3","178","38","178"
"93","3","179","63","179"
"43","3","180","86","180"
"24","4","181","40","181"
"107","4","182","40","182"
"87","4","183","61","183"
"54","4","184","86","184"
"35","4","185","40","185"
"94","4","186","40","186"
"42","4","187","65","187"
"71","4","188","86","188"
"28","4","189","41","189"
"101","4","190","41","190"
"55","4","191","65","191"
"61","4","192","86","192"
"26","4","193","43","193"
"107","4","194","43","194"
"61","4","195","86","195"
"71","4","196","68","196"
"35","4","197","46","197"
"94","4","198","46","198"
"82","4","199","71","199"
"59","4","200","91","200"
"58","4","201","102","201"
"26","4","202","41","202"
"104","4","203","41","203"
"48","4","204","60","204"
"71","4","205","80","205"
"58","4","206","102","206"
"35","4","207","40","207"
"94","4","208","40","208"
"78","4","209","80","209"
"45","4","210","65","210"
"58","4","211","102","211"
"29","4","212","46","212"
"100","4","213","46","213"
"80","4","214","65","214"
"45","4","215","75","215"
"58","4","216","102","216"
"29","4","217","41","217"
"105","4","218","41","218"
"57","4","219","83","219"
"45","4","220","65","220"
"58","4","221","102","221"
"32","4","222","46","222"
"97","4","223","46","223"
"68","4","224","62","224"
"74","4","225","86","225"
"32","4","226","41","226"
"104","4","227","41","227"
"42","4","228","65","228"
"57","4","229","86","229"
"78","4","230","73","230"
"24","4","231","40","231"
"110","4","232","40","232"
"44","4","233","58","233"
"81","4","234","71","234"
"57","4","235","93","235"
