3bbb0ef125bbe23b84040b66cdcd6b5307a615f4f2ec2c60202e5bda98bcbf45,69bf2bbbf0d5733f4f120ea36cfa7f98790c83787b922450f5fc6d7e4c02bace,37c05769ff3e3d9eac2cd3ff893dd9050d4a2a6dcdab708e51e4a5e80192b0a2,c38b3126be781f04f146ff3a1db27e197518a4c00638c79723e195f2f429bab7,21b5efbb59ea58f706e2cb747da94f1c743edf1f530d41d58d1c4c1376da1f89,d3f1dd94463a10e68c117031e327354f26ec642e53f441b82cceaa8c6c4c132a,65e0130c0717d94447a4a0c4938ba9fc91bcd481693ef427c5c98bb43f622dfd,edc03e9d2ccb44dddd20030a27abe561dbba57e4a1b2adb63daca6303bf25f91,f320c72636bac51f483ebf4fde2db9339134697228e25dfed9cf868748c9f676,1a8fc92f7b1170a13a5b96f5450ffbde43e3e534cc7db76e38ef502500a8a5ff,e07ad4bb9fe1db91e0f8fd6266cdb1726d63b768743e7d107a4b45f6550f5a63,491b976798437e6adfacb81093f9270e1afa06785e6fcba6996d449a4db83eec,f64ef529c8305831143a7d3ed5c6425e1a4006eb8adb47723016b8ff54675b15,d550f82d01d7fec13d4caeb620508da9be6b3eb88939c6be184995a29adc4d6c,400308a260c98012e4fcef0680d907066805521f749e3f80cbb5dba98edb3ab0,0b8604842e0b3eb1a503d507ce6c0bc9265db734949694c94010cfb28c47139e,0b6d6a309ccad89d0a8aa3505301ef5a3700354301e1c7d3699336de3d0f83f5,d2b3741cd5c2a7f66e3e4e7c2a31c0d4da9d4959dc2bf703fb9981bb8c1aea58,fdf61a47e0c094ff4f30d1e008ecb6a3cf56a59f299f63562bff3eefbebbd1e1,278c67e3932b14d5043bf37602adcac7c114237fed2a375401f680f43c145722,26e1257804cd97e536403a8bba1121903276874ee5ffdc69e75758d6a8e4f906
"-1","0","1","0","0","30","0","0","3","100100101","1","2.4","1","0","1","0","1","物理ダメージ+{0}","1","30","敵単体に{0}の物理ダメージ"
"-1","0","3","0","0","0","0","0","3","100100102","1","500","1","0","99","0","3","","1","50",""
"600","0","1","0","0","13.5","0","0","3","100100103","1","1.08","1","0","99","0","1","物理ダメージ+{0}","1","13.5","範囲内の敵に{0}の物理ダメージ"
"-1","0","1","0","0","20","0","0","3","100100201","1","1.6","1","0","1","0","1","物理ダメージ+{0}","1","20","敵単体に{0}の物理ダメージ"
"0","0","10","0","1","30","0","0","7","100100301","1","30","1","180","1","1","10","物理攻撃力アップ+{0}","2","1","自分の物理攻撃力を{0}アップ"
"-1","0","1","0","0","22.5","0","0","3","100100302","1","1.8","1","0","1","0","1","物理ダメージ+{0}","1","22.5","敵単体に{0}の物理ダメージ"
"2160","100100304","28","0","0","2","0","0","3","100100303","1","0","3","0","99","0","701","","1","1",""
"600","0","1","0","0","22.5","0","0","3","100100304","1","1.8","1","0","99","0","1","物理ダメージ+{0}","1","22.5","敵の数が２キャラ以上の場合、範囲内の敵に{0}の物理ダメージ"
"-1","0","1","0","0","75","0","0","3","100101101","1","6","1","0","1","0","1","物理ダメージ+{0}","1","75","敵単体に{0}の物理ダメージ"
"600","0","1","0","0","45","0","0","3","100101102","1","3.6","1","0","99","0","1","物理ダメージ+{0}","1","45","範囲内の敵に{0}の物理ダメージ"
"-1","0","1","0","0","30","0","0","3","100101201","1","2.4","1","0","1","0","1","物理ダメージ+{0}","1","30","敵単体に{0}の物理ダメージ"
"600","0","1","0","0","9","0","0","3","100101202","1","0.72","1","0","99","0","1","物理ダメージ+{0}","1","9","範囲内の敵に{0}の物理ダメージ"
"-1","0","1","0","0","45","0","0","3","100102201","1","3.6","1","0","1","0","1","物理ダメージ+{0}","1","45","敵単体に{0}の物理ダメージ"
"600","0","1","0","0","30","0","0","3","100102202","1","2.4","1","0","99","0","1","物理ダメージ+{0}","1","30","範囲内の敵に{0}の物理ダメージ"
"2160","100102204","28","0","0","2","0","0","3","100102203","1","0","3","0","99","0","701","","1","1","攻撃する度にダメージ1500増加"
"-1","0","8","0","0","0","0","0","7","100102204","1","18","3","0","1","0","2","","2","3","敵の数が２キャラ以上の場合、以下の効果が発動する"
"-1","0","16","0","0","0","0","0","7","100102205","1","1","3","0","1","0","1","","2","1000","自分の行動速度200％アップ"
"0","100102207","28","0","0","0","0","0","7","100102206","1","0","1","0","1","0","1211","","2","0","自分のＴＰを1000回復"
"-1","0","102","0","0","1500","0","0","7","100102207","1","0","3","100","1","0","0","","2","1",""
"0","0","45","0","0","0","0","0","7","100102208","1","0","1","0","1","0","1","","2","1",""
"0","0","90","0","0","15","0","0","0","100150101","1","15","0","1","0","0","2","物理攻撃力アップ+{0}","0","1","自分の物理攻撃力を{0}アップ"
"0","0","90","0","0","240","0","0","0","100151101","1","15","0","1","0","0","2","物理攻撃力アップ+{0}","0","1","自分の物理攻撃力を{0}アップ"
"2160","0","4","0","0","6","0","0","3","100200101","1","6","3","0.45","99","0","2","ＨＰ回復量+{0}","2","1","味方全体のＨＰを{0}回復"
"-1","0","1","0","0","15","0","0","3","100200201","1","1.2","1","0","1","0","2","魔法ダメージ+{0}","1","15","敵単体に{0}の魔法ダメージ"
"2160","0","10","0","1","0.23","0","0","3","100200301","1","0.23","3","12","99","1","20","物理防御力アップ+{0}","2","1","味方全体の物理防御力を{0}アップ"
"2160","0","4","0","0","8","0","0","3","100201101","1","8","3","0.6","99","0","2","ＨＰ回復量+{0}","2","1","味方全体のＨＰを{0}回復"
"2160","0","10","0","1","1.2","0","0","3","100201102","1","1.2","3","18","99","1","20","物理防御力アップ+{0}","2","1","味方全体の物理防御力を{0}アップ"
"2160","0","6","0","0","45","0","0","3","100201103","1","18","3","0","99","0","1","無効ダメージ量+{0}","2","45","{0}ダメージ分の物理無効バリアを展開する"
"2160","0","8","0","1","0","0","0","3","100201104","1","18","3","0","99","0","2","","2","2","味方全体の行動速度100％アップ"
"-1","0","1","0","0","20","0","0","3","100201201","1","1.6","1","0","1","0","2","魔法ダメージ+{0}","1","20","敵単体に{0}の魔法ダメージ"
"-1","0","10","0","1","7.5","0","0","3","100201202","1","7.5","1","12","1","1","11","物理攻撃力ダウン+{0}","1","1","敵単体の物理攻撃力を{0}ダウン"
"0","0","90","0","0","15","0","0","0","100250101","1","15","0","1","0","0","4","魔法攻撃力アップ+{0}","0","1","自分の魔法攻撃力を{0}アップ"
"0","0","90","0","0","15","0","0","0","100251101","1","15","0","1","0","0","4","魔法攻撃力アップ+{0}","0","1","自分の魔法攻撃力を{0}アップ"
"0","0","90","0","0","30","0","0","0","100251102","1","0","0","1","0","0","5","","0","1","自分の魔法防御力を{0}アップ"
"-1","0","1","0","0","60","0","0","3","100300101","1","4.8","1","0","1","0","1","物理ダメージ+{0}","1","60","敵単体に{0}の物理ダメージ"
"-1","0","1","0","0","20","0","0","3","100300201","1","1.6","1","0","1","0","1","物理ダメージ+{0}","1","20","敵単体に{0}の物理ダメージ"
"0","100300302","28","0","0","0","0","0","7","100300301","1","0","1","0","1","100300303","677","","2","0",""
"4320","0","18","0","0","0","0","0","3","100300302","1","1.8","1","0","1","100300305","1","","1","0.5",""
"4320","0","18","0","0","0","0","0","3","100300303","1","1.8","1","0","1","100300306","1","","1","1",""
"0","100300305","28","0","0","0","0","0","7","100300304","1","0","1","0","1","100300306","677","","2","0",""
"-1","0","1","0","0","20","0","0","3","100300305","1","1.6","1","0","1","0","1","物理ダメージ+{0}","1","20","敵単体に{0}の物理ダメージ"
"-1","0","1","0","0","40","0","0","3","100300306","1","3.2","1","0","1","0","1","","1","40",""
"-1","0","1","0","0","120","0","0","3","100301101","1","9.6","1","0","1","0","1","物理ダメージ+{0}","1","120","敵単体に{0}の物理ダメージ"
"0","0","35","0","0","77","0","0","7","100301102","1","18","1","1","1","0","0","","2","1","一定時間風の刃を纏う"
"0","100301202","28","0","0","2","0","0","7","100301201","1","1","1","0","1","100301203","677","","2","1",""
"-1","0","1","0","0","20","0","0","3","100301202","1","1.6","1","0","1","0","1","物理ダメージ+{0}","1","20","敵単体に{0}の物理ダメージ"
"-1","0","1","0","0","40","0","0","3","100301203","1","3.2","1","0","1","0","1","","1","40",""
"-1","0","10","0","1","0.6","0","0","3","100301204","1","0.6","1","12","1","1","21","物理防御力ダウン+{0}","1","1","敵単体の物理防御力を{0}ダウン"
"-1","0","10","0","1","1.2","0","0","3","100301205","1","1.2","1","24","1","1","21","","1","1",""
"0","100301302","28","0","0","0","0","0","7","100301301","1","0","1","0","1","100301303","677","","2","0",""
"-1","0","1","0","0","40","0","0","3","100301302","1","3.2","1","0","1","0","1","物理ダメージ+{0}","1","40","敵単体に{0}の物理ダメージ"
"-1","0","1","0","0","80","0","0","3","100301303","1","6.4","1","0","1","0","1","","1","80",""
"0","100301305","28","0","0","0","0","0","7","100301304","1","0","1","0","1","100301306","677","","2","0",""
"-1","0","1","0","0","40","0","0","3","100301305","1","3.2","1","0","1","0","1","物理ダメージ+{0}","1","40","敵単体に{0}の物理ダメージ"
