eb01dde5985aad20c260a73987d5a9a6f35d35858e6ec9cc870c2c656ed40c23,1b2296c06cf1d16925296bed96a0787ccbfb951c90bbbd7180eb822aeec92c89,7ad9d1d2458d689ed88b2597d2773db32d58fddfe945fc4ba687d0c1794e8220,bdedb08f18bd59c7eea611e1993539ab0c172e166e5a828d6b23aa2e793d481c,22a1552cfead387478d0a4a78c26726ba9318b8148537130856a16ba2f12dcd4,e85308d978f82a3dd773833afa89454b65c1c7eed44529f02a3b33486fe0ae65,0b0dbe8803849c092e5db57d99758beca7be4a0a2dc9ca01b02fe10c9b803213,292dbdd825f41a5a4d5491660145c1c46aaa2bc8d69c73db98ffa88601f71dea,9d4d6b063790bd89384fb691fcb10d59c977e35a1fa27175ebc3c7f77d935020,442d0827427c05a568d38a8e0a31ad8e0d9da27a17307c486300c0554aec5114,92dc9b9967b91672228d95ab00f1022a0133bbfb188192fb9886bea5c26641c8,8ae0d13b144e4b77b7675b182f59ef67f7f5cc60d92c6791c1eea16655a05590,8d2ea3709fd979bc4a9c40e7df85707517a351b76d031c5b8e0676428dbf3af2,7bba6456a135905a6b9766cc3ffd2d1e93bcfc9f96e675ac55d1314ff2fe6e34,6112879195acbad54aafd8f35e780e088712f7f234a0a4f4dfad3248117d508b,317b7e8d84e60c3d51352e2e798f6bb8ccea88b14ffb15a6bd449a14bc7e3897,3234074a0b917285fdc838e66d1b4607a9d27b5bc035a9c84a319091696431c1,3ae245878ec76dc1426f401eb2ca98d647aa8c5df4200b50b4c483d9a6e248ea,6b1e81b9e1efc70319d731af15fc8f9f9aedceebc39b3daf2c4b4c247d11450f,b8bc2c0399a108ef871f37f9fef10296aae75a6d2adf748fe13ff9d57b7e7a5f,80f15f97065cf9030b2fee467d8045ad715cb5c102a561e9787de1941fdb1328,cc06f31a7f21bd828a4918f95145ea3429620413f1c0689f4e2b0a7ffebd62fd
"250","101001","10","1","0.7","-30","1","-30","1","0","-120","-480","1","bgm_M64","0","101001","0.8","1","10010101","0.6","1001","210"
"0","101001","10","1","1","-30","1","0","1","0","-120","-260","2","bgm_M64","0","101001","1.2","2","10010102","0.75","1001","200"
"100","101001","0","1","1","-30","1","-10","1","-50","0","-40","3","bgm_M64","0","101001","1.1","3","10010103","0.75","1001","200"
"0","101001","0","1","1","-30","1","0","1","0","-50","240","4","bgm_M64","0","101001","1","4","10010104","0.7","1001","200"
"200","101011","0","1","1","-30","1","0","1","0","-40","480","5","bgm_M55","0","101011","1.3","5","10010105","1.2","1001","250"
"250","101021","10","1","0.7","-30","1","-30","1","0","-155","-480","1","bgm_M64","0","101001","0.8","1","10020101","0.6","1002","210"
"250","101021","10","1","1","-30","1","0","1","0","-120","-265","2","bgm_M64","0","101001","1.2","2","10020102","0.75","1002","200"
"100","101021","0","1","1","-30","1","-10","1","-30","30","-30","3","bgm_M64","-15","101001","1.4","3","10020103","0.9","1002","200"
"100","101021","0","1","1.25","-30","1","0","1","-30","-90","220","4","bgm_M64","0","101001","1.5","4","10020104","1","1002","200"
"200","101031","0","1","1.6","-30","1","0","1","0","0","440","5","bgm_M55","0","101011","1.8","5","10020105","1.4","1002","250"
"250","101041","10","1","0.7","-30","1","-30","1","0","-155","-470","1","bgm_M64","0","101041","0.8","1","10030101","0.6","1003","210"
"250","101041","10","1","1","-30","1","0","1","0","-95","-210","2","bgm_M64","0","101041","1.2","2","10030102","0.75","1003","200"
"100","101041","0","1","1","-30","1","-10","1","-50","-120","50","3","bgm_M64","0","101041","1.1","3","10030103","0.75","1003","200"
"100","101041","0","1","1.2","-30","1","0","1","-30","35","195","4","bgm_M64","0","101041","1.5","4","10030104","0.8","1003","200"
"150","101042","0","1","1.35","-30","1","0","1","-50","-55","450","5","bgm_M55","0","101042","1.8","5","10030105","1.1","1003","210"
"250","101161","10","1","0.7","-30","1","-30","1","0","-120","-480","1","bgm_M64","0","101161","0.8","1","10040101","0.6","1004","210"
"0","101161","10","1","1","-30","1","0","1","0","-120","-260","2","bgm_M64","0","101161","1.2","2","10040102","0.75","1004","200"
"100","101161","0","1","1","-30","1","-10","1","-30","55","-20","3","bgm_M64","-15","101161","1.4","3","10040103","0.9","1004","200"
"0","101161","0","1","1","-30","1","0","1","-30","-30","180","4","bgm_M64","0","101161","1.3","4","10040104","0.9","1004","200"
"200","101162","0","1","0.9","-30","1","-30","1","-50","-60","470","5","bgm_M55","-40","101162","1.2","5","10040105","0.9","1004","250"
"250","101171","10","1","0.7","-30","1","-30","1","0","-120","-480","1","bgm_M64","0","101161","0.8","1","10050101","0.6","1005","210"
"0","101171","10","1","1","-30","1","0","1","0","-120","-260","2","bgm_M64","0","101161","1.2","2","10050102","0.75","1005","200"
"100","101171","0","1","1","-30","1","-10","1","-30","45","-20","3","bgm_M64","-15","101161","1.4","3","10050103","0.9","1005","200"
"0","101171","0","1","1","-30","1","0","1","0","-70","190","4","bgm_M64","0","101161","1","4","10050104","0.7","1005","200"
"200","101172","0","1","1","-30","1","0","1","-30","-25","445","5","bgm_M55","-40","101162","1.3","5","10050105","1","1005","240"
"250","101191","10","1","0.7","-30","1","-30","1","0","-120","-480","1","bgm_M64","0","101161","0.8","1","10060101","0.6","1006","210"
"0","101191","10","1","1","-30","1","0","1","0","-100","-260","2","bgm_M64","0","101161","1.2","2","10060102","0.75","1006","200"
"100","101191","0","1","1","-30","1","-10","1","0","65","-10","3","bgm_M64","-15","101161","1.1","3","10060103","0.8","1006","200"
"0","101191","0","1","1","-30","1","0","1","0","-110","190","4","bgm_M64","0","101161","1.2","4","10060104","0.8","1006","200"
"270","101192","-10","1","1","-30","1","-45","1","-50","-70","485","5","bgm_M55","0","101162","1.15","5","10060105","0.9","1006","280"
"250","101201","10","1","0.7","-30","1","-30","1","0","-120","-480","1","bgm_M64","0","101161","0.8","1","10070101","0.6","1007","210"
"120","101201","10","1","1","-30","1","0","1","0","-120","-260","2","bgm_M64","0","101161","1.2","2","10070102","0.9","1007","240"
"100","101201","0","1","1","-30","1","-10","1","0","65","-10","3","bgm_M64","-15","101161","1.1","3","10070103","0.8","1007","200"
"100","101201","0","1","1","-30","1","0","1","0","-110","190","4","bgm_M64","0","101161","1.2","4","10070104","0.9","1007","200"
"270","101202","10","1","1","-30","1","-45","1","-50","-30","475","5","bgm_M55","-20","101162","1.45","5","10070105","1","1007","250"
"250","101291","10","1","0.7","-30","1","-30","1","0","-120","-480","1","bgm_M64","0","101161","0.8","1","10080101","0.6","1008","210"
"120","101291","10","1","1","-30","1","0","1","0","-120","-260","2","bgm_M64","0","101161","1.2","2","10080102","0.9","1008","240"
"100","101291","0","1","1","-30","1","-10","1","0","65","-40","3","bgm_M64","-15","101161","1.1","3","10080103","0.8","1008","200"
"100","101291","0","1","1.3","-30","1","0","1","0","-110","150","4","bgm_M64","0","101161","1.3","4","10080104","0.9","1008","200"
"45","101292","30","1","1.3","-30","1","30","1","15","-15","490","5","bgm_M55","-20","101162","1.45","5","10080105","1.1","1008","230"
"250","101301","10","1","0.7","-30","1","-30","1","0","-120","-480","1","bgm_M64","0","101161","0.8","1","10090101","0.6","1009","210"
"120","101301","10","1","1","-30","1","0","1","0","-120","-260","2","bgm_M64","0","101161","1.2","2","10090102","0.75","1009","200"
"100","101301","0","1","2.2","-30","1","-10","1","0","100","-50","3","bgm_M64","-15","101161","2.3","3","10090103","1.55","1009","200"
"100","101301","0","1","1.3","-30","1","0","1","15","-100","180","4","bgm_M64","0","101161","1.3","4","10090104","1","1009","200"
"200","101302","10","1","1.1","-30","1","-30","1","-15","-55","470","5","bgm_M55","-20","101162","1.2","5","10090105","1","1009","270"
"170","101441","10","1","0.9","-30","1","-30","1","-25","-130","-450","1","bgm_M64","0","101161","1","1","10100101","0.575","1010","210"
"120","101441","10","1","1","-30","1","0","1","0","-120","-250","2","bgm_M64","0","101161","1.2","2","10100102","0.75","1010","200"
"100","101441","0","1","1","-30","1","-10","1","0","50","-10","3","bgm_M64","-15","101161","1.1","3","10100103","0.8","1010","200"
"0","101441","0","1","1","-30","1","0","1","-30","-100","180","4","bgm_M64","0","101161","1.3","4","10100104","0.9","1010","200"
"200","101442","10","1","1.1","-30","1","-30","1","-35","-70","470","5","bgm_M55","-20","101162","1.2","5","10100105","0.95","1010","270"
"170","101451","10","1","0.9","-30","1","-30","1","-25","-130","-450","1","bgm_M64","0","101451","1","1","10110101","0.575","1011","210"
"120","101451","10","1","1","-30","1","0","1","0","-120","-250","2","bgm_M64","0","101451","1.2","2","10110102","0.75","1011","200"
"100","101451","0","1","1","-30","1","-10","1","-30","50","-20","3","bgm_M64","-15","101451","1.4","3","10110103","0.9","1011","200"
"100","101451","0","1","0.8","-30","1","0","1","20","-100","200","4","bgm_M64","0","101451","0.9","4","10110104","0.65","1011","220"
"200","101452","0","1","1.4","-30","1","-50","1","-35","-70","510","5","bgm_M55","0","101452","1.55","5","10110105","1.25","1011","290"
"170","101561","10","1","0.9","-30","1","-30","1","-25","-130","-450","1","bgm_M64","0","101451","1","1","10120101","0.575","1012","210"
"120","101561","0","1","1","-30","1","0","1","0","-120","-240","2","bgm_M64","0","101451","1.2","2","10120102","0.9","1012","240"
"100","101561","5","1","0.8","-30","1","-10","1","0","60","-30","3","bgm_M64","-5","101451","0.9","3","10120103","0.6","1012","200"
"100","101561","0","1","1.2","-30","1","0","1","-30","-100","180","4","bgm_M64","0","101451","1.5","4","10120104","0.9","1012","200"
"400","101562","0","1","1.35","-30","1","-50","1","-60","-70","460","5","bgm_M55","0","101452","1.55","5","10120105","1.25","1012","290"
"250","101001","10","1","0.7","-30","1","-30","1","0","-120","-480","1","bgm_M64","0","101001","0.8","1","10130101","0.6","1013","210"
"0","101001","10","1","1","-30","1","0","1","0","-120","-260","2","bgm_M64","0","101001","1.2","2","10130102","0.75","1013","200"
"100","101001","0","1","1","-30","1","-10","1","0","0","-40","3","bgm_M64","-13","101001","1.1","3","10130103","0.7","1013","200"
"0","101001","0","1","1","-30","1","0","1","0","-50","240","4","bgm_M64","0","101001","1.2","4","10130104","0.7","1013","200"
"200","101011","0","1","1","-30","1","0","1","0","-40","480","5","bgm_M55","0","101011","1.3","5","10130105","1.2","1013","250"
"170","101041","10","1","0.9","-30","1","-30","1","-25","-130","-450","1","bgm_M64","0","101041","1","1","10140101","0.575","1014","210"
"120","101041","10","1","1","-30","1","0","1","0","-120","-250","2","bgm_M64","0","101041","1.2","2","10140102","0.75","1014","200"
"100","101041","0","1","2.2","-30","1","-10","1","0","100","-50","3","bgm_M64","-15","101041","2.3","3","10140103","1.55","1014","200"
"0","101041","0","1","1","-30","1","0","1","0","-70","190","4","bgm_M64","0","101041","1","4","10140104","0.7","1014","200"
"200","101042","0","1","1.6","-30","1","0","1","0","0","440","5","bgm_M55","0","101042","1.8","5","10140105","1.4","1014","250"
