43feee31eefd987417d20b981672bd1dde389a53272d80e590f06e9639c0611d,87debb8477b50d47992b5432d3cf9980ac6503af3c85aa789595039740aedc05,393f74c29c75d268eda3bcb1a6e8a72945e14c1d67b333bfe2639a28ecf9d1ce,bf264275cdf5e5925440362ef86fdff8d72addba31eb89cec535a99f088c30e4,58aa7287a9491a4940137c29065ce7386e316130d205ccea841322b9fe095d30,cf5e8fcc0874371a9ce937513a985fb8d3664ba370733f162e9f4b9d5ea07583,7dae07252381db2fffc2d3147eb7485b855143f243327c4af5f316924d6befc2,3a187ba8ba7f9768d1279bd7da5c5382f4aa65e7cfdaf88909241025845c1881,e1ab9cc643e34a4a50044e19d42ba8e9fe0c5162d65105f3fd54dc6f4de8564a,da5515e7653826541f26773d513f79b51bca8bfe616753160afaff033009c095,4227d719a6f7e3cd4025d7b33635582beffb3e956a615fbe80a87c8fc0459abd
"0","130011","1001","1","100","1.3","1","0","0","bsm_idle_yamato","1"
"1","bsm_drama_arm_crossed","1002","3","0","0.2","130011","0","bsm_drama_arm_crossed_loop","","1"
"","vo_minigame_1014_top_1000","1003","21","0","","vo_minigame_1014","","0","","1"
"0","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな","1004","11","5","0","130011","0","1","1","1"
"","","1005","91","","","0","","","","1"
"","bsm_idle_yamato","1006","3","1","0.3","130011","","","","1"
"0","130011","2001","1","100","1.3","1","0","0","bsm_idle_yamato","2"
"","bsm_drama_thinking","2002","3","1","0.2","130011","","","","2"
"","vo_minigame_1014_top_1001","2003","21","0","","vo_minigame_1014","","0","","2"
"0","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね","2004","11","6","0","130011","0","1","1","2"
"","","2005","91","","","0","","","","2"
"","bsm_idle_yamato","2006","3","1","0.3","130011","","","","2"
"0","130011","3001","1","100","1.3","1","0","0","bsm_idle_yamato","3"
"1","bsm_drama_doya","3002","3","0","0.2","130011","0","bsm_drama_doya_loop","","3"
"","vo_minigame_1014_top_1002","3003","21","0","","vo_minigame_1014","","0","","3"
"0","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ","3004","11","7","0","130011","0","1","1","3"
"","","3005","91","","","0","","","","3"
"","bsm_idle_yamato","3006","3","1","0.3","130011","","","","3"
"0","130111","4001","1","100","1.3","1","0","0","bsm_idle_wakana","4"
"1","bsm_drama_guts","4002","3","0","0.2","130111","0","bsm_drama_guts_loop","","4"
"","vo_minigame_1014_top_2000","4003","21","0","","vo_minigame_1014","","0","","4"
"0","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！","4004","11","8","0","130111","0","1","1","4"
"","","4005","91","","","0","","","","4"
"","bsm_idle_wakana","4006","3","1","0.3","130111","","","","4"
"0","130111","5001","1","100","1.3","1","0","0","bsm_idle_wakana","5"
"","bsm_drama_wish","5002","3","1","0.2","130111","","","","5"
"","vo_minigame_1014_top_2001","5003","21","0","","vo_minigame_1014","","0","","5"
"0","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです","5004","11","8","0","130111","0","1","1","5"
"","","5005","91","","","0","","","","5"
"","bsm_idle_wakana","5006","3","1","0.3","130111","","","","5"
"0","130111","6001","1","100","1.3","1","0","0","bsm_idle_wakana","6"
"","bsm_drama_pazzled","6002","3","1","0.2","130111","","","","6"
"","vo_minigame_1014_top_2002","6003","21","0","","vo_minigame_1014","","0","","6"
"0","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？","6004","11","7","0","130111","0","1","1","6"
"","","6005","91","","","0","","","","6"
"","bsm_idle_wakana","6006","3","1","0.3","130111","","","","6"
"0","130211","7001","1","100","1.3","1","0","0","bsm_idle_fubuki","7"
"","bsm_drama_smile","7002","3","1","0.2","130211","","","","7"
"","vo_minigame_1014_top_3000","7003","21","0","","vo_minigame_1014","","0","","7"
"0","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡","7004","11","5","0","130211","0","1","1","7"
"","","7005","91","","","0","","","","7"
"","bsm_idle_fubuki","7006","3","1","0.2","130211","","","","7"
"0","130211","8001","1","100","1.3","1","0","0","bsm_idle_fubuki","8"
"1","bsm_drama_doya","8002","3","0","0.2","130211","","bsm_drama_doya_loop","","8"
"","vo_minigame_1014_top_3001","8003","21","0","","vo_minigame_1014","","0","","8"
"0","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？","8004","11","7","0","130211","0","1","1","8"
"","","8005","91","","","0","","","","8"
"","bsm_idle_fubuki","8006","3","1","0.2","130211","","","","8"
"0","130211","9001","1","100","1.3","1","0","0","bsm_idle_fubuki","9"
"1","bsm_drama_laugh","9002","3","0","0.2","130211","0","bsm_drama_laugh_loop","","9"
"","vo_minigame_1014_top_3002","9003","21","0","","vo_minigame_1014","","0","","9"
"0","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡","9004","11","7","0","130211","0","1","1","9"
"","","9005","91","","","0","","","","9"
"","bsm_idle_fubuki","9006","3","1","0.2","130211","","","","9"
