30b9106623560eeae420695ffc08020b8535d3516a7002d2fbb1ee3727b32d70,3c95b096a8fae4bf7d9afa0e5e644fa272041d21d2ef5c9b430b7a58e89b1b38,c25c0bd86a0ea0ba4e2199097dfa231ab79e7ec61069da15a2331ca3c54e2b99,b91a9df6346111c74f1cda1b8c3fe14732f4c2ab1d561077cc3a24060d14d985,adbd2c4a0bd03fabbf68c6eecbe05a4ccbe34a7ee8fbe48f243cea2412d0c688,56841119145b89910997fafcc128c0ae55ddbd204b7da24a480a90c9d552dee7,7c6425e515d352a36c9aac7265309323802bcf264f56c853c1d3d011fafa65d3,7b5418921cb13624691e703b475ca2b5766a419d469f3c6fb97aff1972e9d59f,7fe63e962a7f70890faa5521c289adadf8d74646d2bf58586b0578ca86da863b,4238db3be329c81fc0ce266eaab165a4e2722ffdaf55e9adb8467363456411da,98af53461b245829e49465e11fbcc91cc7215be76045c0fde5653f34532f53aa
"1001","1","1","bsm_idle_yamato","0","100","1","0","1.3","0","130011"
"1002","1","130011","","bsm_drama_arm_crossed_loop","0","3","0","0.2","1","bsm_drama_arm_crossed"
"1003","1","vo_minigame_1014","","0","0","21","","","","vo_minigame_1014_top_1000"
"1004","1","130011","1","1","5","11","0","0","0","弱肉強食、上等だよ\n正面から勝てない時は\n裏をかくことも考えな"
"1005","1","0","","","","91","","","",""
"1006","1","130011","","","1","3","","0.3","","bsm_idle_yamato"
"2001","2","1","bsm_idle_yamato","0","100","1","0","1.3","0","130011"
"2002","2","130011","","","1","3","","0.2","","bsm_drama_thinking"
"2003","2","vo_minigame_1014","","0","0","21","","","","vo_minigame_1014_top_1001"
"2004","2","130011","1","1","6","11","0","0","0","いつかはワカナにも\n教えてやるか\n敵に勝って味わう\nヤシオーリの味をね"
"2005","2","0","","","","91","","","",""
"2006","2","130011","","","1","3","","0.3","","bsm_idle_yamato"
"3001","3","1","bsm_idle_yamato","0","100","1","0","1.3","0","130011"
"3002","3","130011","","bsm_drama_doya_loop","0","3","0","0.2","1","bsm_drama_doya"
"3003","3","vo_minigame_1014","","0","0","21","","","","vo_minigame_1014_top_1002"
"3004","3","130011","1","1","7","11","0","0","0","メカニックとしちゃ、\nフブキの腕は神業さ…\n妹でよかったよ、\nホントにさ"
"3005","3","0","","","","91","","","",""
"3006","3","130011","","","1","3","","0.3","","bsm_idle_yamato"
"4001","4","1","bsm_idle_wakana","0","100","1","0","1.3","0","130111"
"4002","4","130111","","bsm_drama_guts_loop","0","3","0","0.2","1","bsm_drama_guts"
"4003","4","vo_minigame_1014","","0","0","21","","","","vo_minigame_1014_top_2000"
"4004","4","130111","1","1","8","11","0","0","0","参加者のみなさんには\nごめんなさいですが…\nローン返済のためにも\n勝たせてもらいます！"
"4005","4","0","","","","91","","","",""
"4006","4","130111","","","1","3","","0.3","","bsm_idle_wakana"
"5001","5","1","bsm_idle_wakana","0","100","1","0","1.3","0","130111"
"5002","5","130111","","","1","3","","0.2","","bsm_drama_wish"
"5003","5","vo_minigame_1014","","0","0","21","","","","vo_minigame_1014_top_2001"
"5004","5","130111","1","1","8","11","0","0","0","こう言ったら\nなんですけど…\n姉さんが楽しそうで、\nわたしもうれしいです"
"5005","5","0","","","","91","","","",""
"5006","5","130111","","","1","3","","0.3","","bsm_idle_wakana"
"6001","6","1","bsm_idle_wakana","0","100","1","0","1.3","0","130111"
"6002","6","130111","","","1","3","","0.2","","bsm_drama_pazzled"
"6003","6","vo_minigame_1014","","0","0","21","","","","vo_minigame_1014_top_2002"
"6004","6","130111","1","1","7","11","0","0","0","フブキちゃんに\n野菜を食べてもらう\nにはどうしたら…\nも、もっと強引に…？"
"6005","6","0","","","","91","","","",""
"6006","6","130111","","","1","3","","0.3","","bsm_idle_wakana"
"7001","7","1","bsm_idle_fubuki","0","100","1","0","1.3","0","130211"
"7002","7","130211","","","1","3","","0.2","","bsm_drama_smile"
"7003","7","vo_minigame_1014","","0","0","21","","","","vo_minigame_1014_top_3000"
"7004","7","130211","1","1","5","11","0","0","0","対戦相手のお仕事は～\nぼくたちに賞金を\n運んでくるコト♪\nよろしくね～♡"
"7005","7","0","","","","91","","","",""
"7006","7","130211","","","1","3","","0.2","","bsm_idle_fubuki"
"8001","8","1","bsm_idle_fubuki","0","100","1","0","1.3","0","130211"
"8002","8","130211","","bsm_drama_doya_loop","0","3","","0.2","1","bsm_drama_doya"
"8003","8","vo_minigame_1014","","0","0","21","","","","vo_minigame_1014_top_3001"
"8004","8","130211","1","1","7","11","0","0","0","もうヤマ姉優勝で\n決まってっしー♪\n賞金全部もらっといて\nよくねー？"
"8005","8","0","","","","91","","","",""
"8006","8","130211","","","1","3","","0.2","","bsm_idle_fubuki"
"9001","9","1","bsm_idle_fubuki","0","100","1","0","1.3","0","130211"
"9002","9","130211","","bsm_drama_laugh_loop","0","3","0","0.2","1","bsm_drama_laugh"
"9003","9","vo_minigame_1014","","0","0","21","","","","vo_minigame_1014_top_3002"
"9004","9","130211","1","1","7","11","0","0","0","お兄さんを弾にして\n撃つ武器とか、ど～？\nきゃはは、よわそ～♡"
"9005","9","0","","","","91","","","",""
"9006","9","130211","","","1","3","","0.2","","bsm_idle_fubuki"
