d8d39175b9582cfcd88c1b30af47b625f26e014da0db60ddf6c5c07d7a63948e,d717ffddb674b8af5b56f7e79e739887629ecac9213e9c086a99a0076db8c9b8,70713df45e5afd18ad71a66a986adfa44df5b70791d697067ca2e3ff56e282b1,0e599e1524083df65daca91aaa126ef4822670213b3714fbc5cf771ba8c535e7
"2","190801","1","3"
"1","0","7","1"
"1","0","8","1"
"2","0","9","2"
"3","0","10","3"
"1","0","11","1"
"1","0","12","1"
"1","0","13","2"
"1","0","14","2"
"1","0","15","2"
"2","0","16","3"
"1","0","17","1"
"1","0","18","1"
"3","0","20","4"
"1","0","21","2"
"1","0","22","2"
"4","0","25","4"
"4","0","26","4"
"1","0","27","2"
"2","0","28","3"
"1","0","29","1"
"1","0","30","1"
"3","0","32","4"
"1","0","33","2"
"1","0","34","2"
"4","0","37","4"
"4","0","38","4"
"1","0","39","2"
"2","0","40","3"
"1","0","41","1"
"1","0","42","1"
"2","0","43","2"
"2","0","44","3"
"3","0","45","4"
"1","0","46","2"
"1","0","47","2"
"2","0","48","3"
"1","0","51","2"
"2","0","52","3"
"1","0","53","1"
"1","0","54","1"
"2","0","55","2"
"2","0","56","3"
"3","0","57","4"
"1","0","58","2"
"1","0","59","2"
"2","0","60","3"
"4","0","63","4"
"4","0","64","4"
"1","0","65","2"
"2","0","66","3"
"1","0","67","1"
"1","0","68","1"
"2","0","69","2"
"2","0","70","3"
"3","0","71","4"
"1","0","72","2"
"1","0","73","2"
"2","0","74","3"
"4","0","77","4"
"4","0","78","4"
"2","0","79","2"
"2","0","80","3"
"2","0","81","3"
"4","0","83","4"
"4","0","84","4"
"1","0","85","1"
"2","0","86","2"
"2","0","87","3"
"1","0","88","1"
"1","0","89","1"
"1","0","90","1"
"1","0","91","1"
"2","0","92","3"
"2","0","93","3"
"1","0","94","2"
"1","0","95","2"
"1","0","96","2"
"1","0","97","1"
"1","0","98","1"
"1","0","99","1"
"1","0","100","1"
"2","0","101","2"
"1","0","102","1"
"1","0","103","1"
"1","0","104","1"
"1","0","105","1"
"1","0","106","1"
"1","0","107","1"
"2","0","108","2"
"2","0","109","2"
"2","0","110","2"
"2","0","111","2"
"1","0","112","2"
"1","0","113","2"
"1","0","114","2"
"1","0","115","2"
"2","0","131","3"
"1","0","132","1"
"1","0","133","1"
"1","0","134","1"
"1","0","135","1"
"1","0","136","1"
"1","0","137","1"
"1","0","138","1"
"1","0","139","1"
"1","0","140","1"
"1","0","141","1"
"1","0","142","1"
"1","0","143","2"
"1","0","144","1"
"1","0","145","1"
"1","0","146","1"
"1","0","147","1"
"1","0","148","1"
"1","0","149","2"
"1","0","150","1"
"3","0","151","3"
"1","0","152","1"
"2","0","153","2"
"1","0","154","1"
"4","0","157","4"
"4","0","158","4"
"1","0","201","1"
"2","0","202","3"
"1","0","203","1"
"8","0","204","8"
"1","0","205","2"
"1","0","206","1"
"2","0","207","3"
"1","0","208","1"
"3","0","209","3"
"1","0","301","1"
"1","0","302","1"
"1","0","303","1"
"2","0","304","3"
"3","0","305","3"
"1","0","306","1"
"2","0","307","2"
"1","0","308","1"
"4","0","401","4"
"4","0","402","4"
"1","0","403","1"
"1","0","404","2"
"2","0","405","3"
"3","0","406","2"
"1","0","407","2"
"2","0","408","2"
"3","0","501","4"
"1","0","502","2"
"2","0","503","2"
"2","0","504","3"
"1","0","505","2"
"1","0","506","2"
"1","0","507","2"
"1","0","508","1"
"1","0","509","1"
"2","0","510","2"
"1","0","511","2"
"2","0","512","3"
"4","0","601","4"
"3","0","602","3"
"3","0","603","3"
"1","0","604","1"
"1","0","605","2"
"2","0","606","2"
"2","0","607","2"
"3","0","611","3"
"3","0","612","3"
"2","0","701","2"
"2","0","702","2"
"1","0","703","2"
"2","0","704","2"
"1","0","705","1"
"4","0","706","4"
"2","0","707","2"
"3","0","708","2"
"2","0","709","1"
"2","0","801","2"
"3","0","802","4"
"2","0","803","2"
"2","0","804","2"
"1","0","805","1"
"2","0","806","2"
"1","0","807","1"
"1","0","808","1"
"2","0","809","2"
"3","0","810","4"
"1","0","811","2"
"1","0","812","2"
"1","0","813","2"
"1","0","816","1"
"2","0","901","3"
"1","0","902","2"
"1","0","903","1"
"2","0","904","3"
"1","0","905","1"
"2","0","906","3"
"1","0","907","2"
"1","0","908","2"
"2","0","909","2"
"2","0","910","2"
"4","0","913","4"
"3","0","1001","3"
"2","0","1002","2"
"2","0","1003","2"
"2","0","1004","3"
"2","0","1005","3"
"1","0","1006","2"
"1","0","1007","2"
"3","0","1008","4"
"1","0","1009","2"
"1","0","1010","2"
"1","0","1011","1"
"1","0","1012","1"
"2","0","1013","3"
"2","0","1014","2"
"3","0","1015","4"
"1","0","1018","1"
"1","0","1019","1"
"4","0","1101","4"
"2","0","1102","2"
"3","0","1103","3"
"1","0","1104","1"
"1","0","1105","1"
"2","0","1106","2"
"2","0","1107","2"
"3","0","1108","6"
"1","0","1109","2"
"1","0","1113","1"
"3","0","1201","4"
"3","0","1202","3"
"1","0","1203","1"
"2","0","1204","3"
"1","0","1205","1"
"1","0","1206","1"
"1","0","1207","1"
"1","0","1208","1"
"1","0","1211","1"
"2","0","1301","3"
"2","0","1302","2"
"2","0","1303","2"
"1","0","1304","1"
"3","0","1305","4"
"1","0","1306","2"
"3","0","1401","3"
"1","0","1402","2"
"2","0","1403","3"
"1","0","1405","1"
"3","0","1501","4"
"1","0","1502","2"
"1","0","1503","2"
"1","0","1504","1"
"1","0","1505","1"
"1","0","1506","1"
"2","0","1507","2"
"2","0","1508","3"
"2","0","1509","3"
"1","0","1510","1"
"1","0","1511","2"
"2","0","1512","3"
"2","0","1513","3"
"2","0","1514","3"
"3","0","1601","4"
"1","0","1602","2"
"1","0","1603","1"
"1","0","1604","1"
"2","0","1605","2"
"2","0","1606","3"
"1","0","1607","2"
"1","0","1608","2"
"1","0","1609","2"
"2","0","1610","3"
"3","0","1701","3"
"2","0","1702","2"
"1","0","1703","1"
"1","0","1704","1"
"1","0","1705","1"
"1","0","1706","1"
"1","0","1707","1"
"2","0","1801","2"
"2","0","1802","2"
"2","0","1803","2"
"4","0","1902","4"
"3","0","1903","4"
"1","0","1905","2"
"1","0","1906","2"
"1","0","1907","2"
"1","0","1908","1"
"1","0","1909","1"
"2","0","1910","3"
"3","0","1911","3"
"2","0","1912","3"
"3","0","1913","3"
"3","0","2001","3"
"2","0","2002","2"
"1","0","2003","1"
"1","0","2004","1"
"2","0","2101","2"
"2","0","2102","2"
"2","0","2103","2"
"2","0","2201","2"
"2","0","2202","2"
"1","0","2203","1"
"6","0","2205","6"
"1","0","2206","1"
"2","0","2301","2"
"2","0","2302","2"
"2","0","2303","2"
"2","0","2304","2"
"4","0","2305","4"
"4","0","2306","4"
"1","0","2307","1"
"1","0","2308","1"
"2","0","2401","3"
"1","0","2402","1"
"2","0","2403","2"
"3","0","2404","3"
"3","0","2405","4"
"2","0","2501","2"
"2","0","2502","3"
"2","0","2503","2"
"2","0","2504","2"
"1","0","2505","1"
"3","0","2506","4"
"1","0","2507","2"
"6","0","2601","5"
"3","0","2602","3"
"1","0","2603","1"
"1","0","2604","1"
"2","0","2605","2"
"2","0","2606","2"
"2","0","2607","3"
"4","0","2608","4"
"2","0","2609","2"
