fe7ed13293b8c9b5305f4df0f109c44f9ebf4684bdb062452f690d3facc0feb2,296892e3b16c08cb40c4c66c87895cf52ec20eb694f4bb92b8642c68d3c5666b,6dd56f8d737a60ccc3e326c5a4bc76727b56f33165d8975a1af261c1a0e77c32,04b245686f43e53819b5f33f312f568947c0255253c8186ba3fa0878f10c240f,61ef1cea9c6595edbef0d534c22eb557450ff1e1144df6c1145eada1319477c0,69d1f5a5cf1818e9a04c2da4206194eae28f259c22625b92f4d9c810abb344db,a1b8dcf9329fa7ee3120d4a5f065e963b9377163a32cdbe9deb2044ae62aa599,a6c60702e3b1197b31861754f77478893c145a0ff8e1dd463a5d7ec51103f3c9,91b8be4d301d9b6d03f8fd44efec36830256c616eab024597b4f4a678c978d9e,43093af8ec3a1105181e936af85193fec0ec622bc51d7fab4081fd0200c0f8bc,d9eca8fe3bc7a0977910e6c20ddc9347b0f9e6ce0aeb24f1095be970ab4b1a87
"1","101","nyx_idle_normal","1.35","-209.3","110","1","11010001","-421","0","110931"
"1","101","nyx_idle_normal","1.35","-182.5","110","1","11010002","121.8","0","104831"
"1","101","nyx_idle_normal","1.35","-182.5","110","1","11010003","227.7","0","104631"
"1","101","nyx_talk_normal","1.35","-182.5","110","1","11010004","340.3","1","103231"
"1","101","nyx_idle_normal","1.35","-182.5","110","1","11010005","449.6","1","103431"
"5","101","NoItem","1.35","-209.3","120","2","11010006","-421","0","2"
"31","101","","1","1","0","1","11010007","0","","1"
"31","101","","0","1","-300","15","11010008","0","","3"
"31","101","","0","1.5","-300","15","11010009","0","","4"
"25","101","","","","","bgm_M347","11010010","","","bgm_M347"
"93","101","","","","","2","11010011","","",""
"3","101","","0.2","1","0","2","11010012","nyx_101_chieru_loop","","nyx_101_chieru_01"
"3","101","","0.2","1","0","110931","11010013","nyx_101_chieru_loop","","nyx_101_chieru_01"
"11","101","","","","10","110931","11010014","","","ちぇる～ん♪\n最初はとにかく\nインパクト！"
"93","101","","","","","0.4","11010015","","",""
"32","101","","","","","3","11010016","","","0"
"32","101","","","","","3","11010017","","","1"
"91","101","","","","","11010014","11010018","","",""
"11","101","","","","10","110931","11010019","","","強めの初ちぇるで\n審査員のハートを\n鷲掴み子ちゃんです"
"93","101","","","","","1","11010020","","",""
"3","101","","0.2","","1","103231","11010021","","","nyx_idle_joy1"
"3","101","","0.2","","1","104631","11010022","","","nyx_cmn_05"
"91","101","","","","","11010019","11010023","","",""
"3","101","","0.2","1","0","2","11010024","nyx_101_chieru_loop","","nyx_101_chieru_01"
"3","101","","0.2","1","0","110931","11010025","nyx_101_chieru_loop","","nyx_101_chieru_01"
"11","101","","","","7","110931","11010026","","","ちぇるーん♪\nいや、まだ行ける…\nちぇっ☆るゥ～ん！"
"93","101","","","","","0.4","11010027","","",""
"32","101","","","","","3","11010028","","","0"
"32","101","","","","","3","11010029","","","1"
"93","101","","","","","0.6","11010030","","",""
"3","101","","0.2","","1","103431","11010031","","","nyx_talk_bitter"
"3","101","","0.2","","1","104631","11010032","","","nyx_cmn_04"
"93","101","","","","","2","11010033","","",""
"3","101","","0.2","1","0","2","11010034","nyx_101_chieru_loop","","nyx_101_chieru_02"
"3","101","","0.2","1","0","110931","11010035","nyx_101_chieru_loop","","nyx_101_chieru_02"
"93","101","","","","","0.4","11010036","","",""
"32","101","","","","","3","11010037","","","0"
"32","101","","","","","4","11010038","","","1"
"91","101","","","","","11010026","11010039","","",""
"3","101","","0.2","","1","103431","11010040","","","nyx_idle_bitter"
"3","101","","0.2","","1","104831","11010041","","","nyx_talk_sad"
"11","101","","","","10","104831","11010042","","","ね、ねぇ…\n廊下の方から\n何か聞こえない？"
"91","101","","","","","0","11010043","","",""
"4","101","","","","","110931","11010044","","","1"
"4","101","","","","","2","11010045","","","1"
"3","101","","0.2","1","0","2","11010046","nyx_101_chieru_loop","","nyx_101_chieru_02"
"3","101","","0.2","1","0","110931","11010047","nyx_101_chieru_loop","","nyx_101_chieru_02"
"3","101","","0.2","","1","104831","11010048","","","nyx_idle_sad"
"3","101","","0.2","","1","104631","11010049","","","nyx_talk_sad"
"11","101","","","","10","104631","11010050","","","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…"
"91","101","","","","","0","11010051","","",""
"3","101","","0.2","","1","104631","11010052","","","nyx_idle_sad"
"3","101","","0.2","","1","103431","11010053","","","nyx_talk_sad"
"11","101","","","","10","103431","11010054","","","学校の七不思議的な\nやつかしら…\nか、帰りたい…"
"91","101","","","","","0","11010055","","",""
"3","101","","0.2","","1","103431","11010056","","","nyx_idle_sad"
"3","101","","0.2","","1","103231","11010057","","","nyx_talk_joy2"
