71369aed274d02e2e99374ee27aa5ea4a7766eb1e9e549cd15a99b731e1c6472,9687f391fb014b39c34dab3bee78dc821a17f1d28419c162473b72cbdb994053,81df1abcc9789d05d54b47528a3d109ce0a0043ba62b8ed24bcc3c558a0777f9,e7afb168dc1149b68953142b92d544731dde92f822b645ad85c5ccb80728c7a4,63b613ee235e83553c5cf07779d779d54ebb434f9d92a334486e94057e7c21af
"2991101","0","2991101","0","0.07"
"2991102","0","2991102","0","0.08"
"2991103","0","2991103","0","0.07"
"2991104","0","2991104","0","0.07"
"2991105","1","2991105","-1","0.07"
"2991106","1","2991106","-1","0.07"
"2991107","0","2991107","0","0.07"
"2991108","0","2991108","0","0.07"
"2991109","0","2991109","0","0.07"
"2991110","1","2991110","-1","0.07"
"2991117","0","2991117","0","0.07"
"2991118","0","2991118","0","0.08"
"2991119","0","2991119","0","0.09"
"2991120","0","2991120","0","0.1"
"2991121","0","2991121","0","4.08"
"2991122","0","2991122","0","4.09"
"2991123","0","2991123","0","4.1"
"2991124","0","2991124","0","4.08"
"2991125","0","2991125","0","4.09"
"2991126","0","2991126","0","4.1"
"2991127","0","2991127","0","0.08"
"2991128","0","2991128","0","0.08"
"2991129","0","2991129","0","0.08"
"2991132","0","2991132","0","0.5"
"2991133","0","2991133","0","0.5"
"2991134","15","2991134","-1","15"
"2991139","15","2991139","-1","15.01"
"2991144","15","2991144","-1","15.02"
"2991149","15","2991149","-1","15"
"2991154","15","2991154","-1","15.01"
"2991159","15","2991159","-1","15.02"
"2991164","0","2991164","0","0.07"
"2991165","0","2991165","0","0.08"
"2991166","0","2991166","0","0.09"
"2991167","0","2991167","0","0.07"
"2991168","0","2991168","0","0.07"
"2991172","1","2991172","-1","0.07"
"2991180","0","2991180","0","0.07"
"2991181","0","2991181","0","0.07"
"2991182","0","2991182","0","0.07"
"2991183","0","2991183","0","0.07"
"2991184","0","2991184","0","0.07"
"2991185","0","2991185","0","0.07"
"2991186","0","2991186","0","0.07"
"2991187","1","2991187","-1","0.07"
"2991188","1","2991188","-1","0.07"
"2991189","0","2991189","0","0.07"
"2991190","0","2991190","0","0.07"
"2999101","0","2999101","0","0.07"
"2999102","0","2999102","0","0.08"
"2999103","0","2999103","0","0.07"
"2999104","0","2999104","0","20"
"2999105","0","2999105","0","40"
"2999106","0","2999106","0","60"
"2999107","0","2999107","0","0.1"
"2999108","0","2999108","0","0"
"2999112","1","2999112","-1","0.1"
"2999113","0","2999113","0","0"
"2999117","0","2999117","0","0.07"
"2999118","0","2999118","0","0.08"
"2999119","0","2999119","0","0.09"
"2999120","0","2999120","0","0.1"
"2999121","0","2999121","0","4.08"
"2999122","0","2999122","0","4.09"
"2999123","0","2999123","0","4.1"
"2999124","0","2999124","0","4.08"
"2999125","0","2999125","0","4.09"
"2999126","0","2999126","0","4.1"
"2999127","0","2999127","0","0.08"
"2999128","0","2999128","0","0.08"
"2999129","0","2999129","0","0.08"
"2999130","0","2999130","0","0.08"
"2999132","0","2999132","0","0.5"
"2999133","0","2999133","0","0.5"
"2999134","15","2999134","-1","15"
"2999139","15","2999139","-1","15.01"
"2999144","15","2999144","-1","15.02"
"2999149","15","2999149","-1","15"
"2999154","15","2999154","-1","15.01"
"2999159","15","2999159","-1","15.02"
"2999164","0","2999164","0","0.07"
"2999165","0","2999165","0","0.08"
"2999166","0","2999166","0","0.09"
"2999167","0","2999167","0","0.07"
"2999168","20","2999168","-1","20"
"2999172","9","2999172","-1","9"
"2999177","0","2999177","0","20"
"2999178","0","2999178","0","40"
"2999179","0","2999179","0","60"
"2999180","0","2999180","0","0.07"
"2999182","0","2999182","0","4.08"
"2999185","0","2999185","0","0.07"
"2999186","0","2999186","0","0.07"
"2999187","0","2999187","0","0.07"
"2999188","0","2999188","0","0.07"
"2999189","0","2999189","0","0.07"
"2999190","0","2999190","0","0.07"
"2999191","0","2999191","0","1"
"2999192","0","2999192","0","0.08"
"2999193","0","2999193","0","0.07"
"2999194","0","2999194","0","1"
"2999195","30","2999195","-1","30"
"2999197","15","2999197","-1","15"
"2999202","0","2999202","0","0.07"
"2999203","0","2999203","0","0.08"
"2999204","0","2999204","0","0.05"
"2999205","0","2999205","0","0.08"
"2999206","0","2999206","0","0.08"
"2999207","1","2999207","-1","4"
