4408a19e2af0864101903317853b6e28910fe069a3cc1ead55aa0f31d71a2663,d574561c5dde8ccd19398b74d0ca00c1e07d2bf3440e4e7dea35d933994a5522,6394118c7510d8a8bfbe750f2a65a8ef9b0d6982531da52df10d86b9e0767ee1,f13bc72d0e9c35655022046d6e7f4b4a07d9082a6e024933d5bff61153363bee,6a2f47cc3073650d039b859e1524695b9581b2173a6658598dd48935532523c7,0d2659d77115496b07d4af114a1f6eeb9961321ab7ff32a66be71b63316532ff,0f49e02f315953e70956f49b9665abbae66411744dee99402fb3370dfad50f89,9ab60a31967df7d7b1ef327b5661d82b06732b4c3b82fd5dff231e971ad1c05a,0fd58aa5401c6ce8d19032690cd23a574df9689b4a8493f6182ba1c05fa417c5,c36cc13bad8c71323644ece7b5977110cfc4783b8d0e851a70638104c8e31817,64924a82641b8a93bc6c3dd703eb6def38e65a22aa087c9840039c553ef8f883
"1000","1回バトルしよう","2021/08/17 12:00:00","2021/08/24 11:59:59","0","10000101","0","10","1","7000","10000101"
"1000","5回バトルしよう","2021/08/17 12:00:00","2021/08/24 11:59:59","0","10000102","0","10","5","7000","10000102"
"1000","10回バトルしよう","2021/08/17 12:00:00","2021/08/24 11:59:59","0","10000103","0","10","10","7000","10000103"
"1000","15回バトルしよう","2021/08/17 12:00:00","2021/08/24 11:59:59","0","10000104","0","10","15","7000","10000104"
"1000","20回バトルしよう","2021/08/17 12:00:00","2021/08/24 11:59:59","0","10000105","0","10","20","7000","10000105"
"1000","25回バトルしよう","2021/08/17 12:00:00","2021/08/24 11:59:59","0","10000106","0","10","25","7000","10000106"
"1000","30回バトルしよう","2021/08/17 12:00:00","2021/08/24 11:59:59","0","10000107","0","10","30","7000","10000107"
"1000","35回バトルしよう","2021/08/17 12:00:00","2021/08/24 11:59:59","0","10000108","0","10","35","7000","10000108"
"1000","40回バトルしよう","2021/08/17 12:00:00","2021/08/24 11:59:59","0","10000109","0","10","40","7000","10000109"
"1005","ミソラに累積300万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1005","10050501","0","50","3000000","7001","10050501"
"1005","ミソラに累積900万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1005","10050502","0","50","9000000","7001","10050502"
"1005","ミソラに累積1500万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1005","10050503","0","50","15000000","7001","10050503"
"1005","ミソラに1度のバトルで100万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1005","10050511","1000000","51","1","7002","10050511"
"1005","ミソラに1度のバトルで300万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1005","10050512","3000000","51","1","7002","10050512"
"1006","ランファに累積500万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1006","10060601","0","60","5000000","7001","10060601"
"1006","ランファに累積1500万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1006","10060602","0","60","15000000","7001","10060602"
"1006","ランファに累積2400万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1006","10060603","0","60","24000000","7001","10060603"
"1006","ランファに1度のバトルで200万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1006","10060611","2000000","61","1","7002","10060611"
"1006","ランファに1度のバトルで500万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1006","10060612","5000000","61","1","7002","10060612"
"1007","アゾールドに累積300万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1007","10070701","0","70","3000000","7001","10070701"
"1007","アゾールドに累積900万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1007","10070702","0","70","9000000","7001","10070702"
"1007","アゾールドに累積1500万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1007","10070703","0","70","15000000","7001","10070703"
"1007","アゾールドに1度のバトルで100万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1007","10070711","1000000","71","1","7002","10070711"
"1007","アゾールドに1度のバトルで300万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1007","10070712","3000000","71","1","7002","10070712"
"1008","カリザに累積500万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1008","10080801","0","80","5000000","7001","10080801"
"1008","カリザに累積1500万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1008","10080802","0","80","15000000","7001","10080802"
"1008","カリザに累積2400万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1008","10080803","0","80","24000000","7001","10080803"
"1008","カリザに1度のバトルで200万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1008","10080811","2000000","81","1","7002","10080811"
"1008","カリザに1度のバトルで500万ダメージ与えよう","2021/08/17 12:00:00","2021/08/24 11:59:59","1008","10080812","5000000","81","1","7002","10080812"
