e95c3de6f427f3a95a6d0031f3e178561bdb9a9a1eb2072d052fad433d9583e4,6d3fcbb155215d24b1b67b68a662bdb812570fc10f03dac6fad63027dee3f58b,3b3e7feb466bb4d128d128ea17d9aaef1c179fc365b63418d5b0c74063691a14,c0cd0f6ac5648f2a987b6cd73fff7e94453d65ee0949640d41c26117f0744cb4,e1dde957565a1fa13600a8435ef968046f8a021237d8f925c7ddb86b5fb5c28a
"100101","1","94002","12","5000000"
"100102","2","90008","2","2000"
"100103","3","25001","2","20"
"100104","4","90008","2","2500"
"100105","5","25001","2","30"
"100106","6","91002","8","300"
"100107","7","41000","2","1"
"100108","8","94002","12","5000000"
"100109","9","94002","12","1000000"
"100110","10","94002","12","1000000"
"100111","11","94002","12","1000000"
"100112","12","20004","2","400"
"100113","13","20004","2","300"
"100114","14","20004","2","200"
"100115","15","94002","12","1000000"
"100116","16","94002","12","1000000"
"100117","17","94002","12","1000000"
"100118","18","20004","2","400"
"100119","19","20004","2","300"
"100120","20","20004","2","200"
"100121","21","94002","12","1000000"
"100122","22","94002","12","1000000"
"100123","23","94002","12","1000000"
"100124","24","20004","2","400"
"100125","25","20004","2","300"
"100126","26","20004","2","200"
"100201","27","94002","12","5000000"
"100202","28","90008","2","2000"
"100203","29","25001","2","20"
"100204","30","90008","2","2500"
"100205","31","25001","2","30"
"100206","32","91002","8","300"
"100207","33","41000","2","1"
"100208","34","94002","12","5000000"
"100209","35","94002","12","1000000"
"100210","36","94002","12","1000000"
"100211","37","94002","12","1000000"
"100212","38","20004","2","400"
"100213","39","20004","2","300"
"100214","40","20004","2","200"
"100215","41","94002","12","1000000"
"100216","42","94002","12","1000000"
"100217","43","94002","12","1000000"
"100218","44","20004","2","400"
"100219","45","20004","2","300"
"100220","46","20004","2","200"
"100221","47","94002","12","1000000"
"100222","48","94002","12","1000000"
"100223","49","94002","12","1000000"
"100224","50","20004","2","400"
"100225","51","20004","2","300"
"100226","52","20004","2","200"
"100301","53","94002","12","5000000"
"100302","54","90008","2","2000"
"100303","55","25001","2","20"
"100304","56","90008","2","2500"
"100305","57","25001","2","30"
"100306","58","91002","8","300"
"100307","59","41000","2","1"
"100308","60","94002","12","5000000"
"100309","61","94002","12","1000000"
"100310","62","94002","12","1000000"
"100311","63","94002","12","1000000"
"100312","64","20004","2","400"
"100313","65","20004","2","300"
"100314","66","20004","2","200"
"100315","67","94002","12","1000000"
"100316","68","94002","12","1000000"
"100317","69","94002","12","1000000"
"100318","70","20004","2","400"
"100319","71","20004","2","300"
"100320","72","20004","2","200"
"100321","73","94002","12","1000000"
"100322","74","94002","12","1000000"
"100323","75","94002","12","1000000"
"100324","76","20004","2","400"
"100325","77","20004","2","300"
"100326","78","20004","2","200"
"100401","79","94002","12","5000000"
"100402","80","90008","2","2000"
"100403","81","25001","2","20"
"100404","82","90008","2","2500"
