46f98ee0ec592c1ac92860e2ab406e972ba889ff805781d11893b57fe134b014,0edbc54bb5fb8408a8735a5c7b542dfeb0e123d5755e4ebee19929f96112d742,c219c43a80de8e5d937a5a20a8ac0397de49a1147f6cc558a53ba3dd7e656174,48c456dfb726e3cead84780cee3ffd5eeb2e89125fbc977deefd1808dfdaf2b3,43d9b4f61d0925dc6c6cf601fd1422697d19cc700869fed8a1081c1c6900756e,44594dc39e46d4c05421501bf3f023cc1541bd03496dfe246e136dc36e36b44f,ebd1fa6ceedefbf2439e16c081c4244ab61736a3bc7e04b5d643caf0e8a6a81c,bef6786781efc712adf6d573fd607b2eb1c9842e9e584293687dd1fc6ef3e62a
"52001","1","【料理】ダイスが2個に増える","0","0","1","1","1"
"52002","1","【料理】ダイスの目が必ず「1」になる","0","0","1","1","2"
"52002","2","【料理】次のターン数のカウントをスキップする","0","0","3","1","3"
"52004","1","【料理】ダイスの目が必ず「4」になる","0","0","1","1","4"
"52006","1","【料理】ダイスの目が\n「4・5・6」のみになる","0","0","1","1","5"
"52007","1","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる","0","0","1","1","6"
"52003","1","【料理】ダイスの目が必ず「5」になる","0","0","1","1","7"
"52008","7","【料理】マイルマスの獲得マイルが200%アップする","0","0","2","1","8"
"4","2","【イベント】次のターン数のカウントをスキップする","0","0","3","2","9"
"5","3","【イベント】マイルマスの獲得マイルが100%アップする","0","0","2","2","10"
"6","5","【イベント】ミニゲームの獲得マイルが100%アップする","0","0","2","2","11"
"7","4","【イベント】マイルショップの全商品が20%以上割引される","0","0","3","2","12"
"52009","1","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる","0","0","1","1","13"
"52010","6","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","0","0","2","1","14"
"52011","1","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる","0","0","1","1","15"
"52012","1","【料理】ダイスの目が\n「1・2・3」のみになる","0","0","1","1","16"
"52012","2","【料理】次のターン数のカウントをスキップする","0","0","3","1","17"
"52014","8","【料理】移動時にマイルマスをスキップできる","0","0","1","1","18"
"52005","1","【料理】次回移動時に1マス分多く進める","0","0","1","1","19"
"52014","1","【料理】次回移動時に1マス分多く進める","2","2","1","1","20"
"52015","1","【料理】ダイスが2個に増える","0","0","1","1","21"
"52015","1","【料理】次回移動時に1マス分多く進める","0","0","1","1","22"
"52016","1","【料理】ダイスの目が必ず「6」になる","0","0","1","1","23"
"52017","9","【料理】移動系カテゴリーの料理が食べられなくなる","0","0","1","1","24"
"52018","1","【料理】ダイスの目が必ず「3」になる","0","0","1","1","25"
"52019","1","【料理】ダイスの目が必ず「8」になる","0","0","1","1","26"
"98011","2","【イベント】次のターン数のカウントをスキップする","0","0","3","2","27"
"98012","2","【イベント】次のターン数のカウントをスキップする","0","0","3","2","28"
"52020","10","【料理】移動時にマイルマスをスキップできる","0","0","2","1","29"
"52020","1","【料理】次回移動時に1マス分多く進める","2","2","1","1","30"
"52021","10","【料理】移動時にトレジャーマスをスキップできる","0","0","2","1","31"
"52022","1","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","0","0","1","1","32"
"52023","1","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる","0","0","1","1","33"
"52024","1","【料理】次回移動時に3マス分多く進める","0","0","1","1","34"
"52025","10","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","0","0","2","1","35"
"52027","1","【料理】ダイスの目が必ず「5」になる","0","0","1","1","36"
"52028","1","【料理】ダイスの目が\n「1・2」のみになる","0","0","1","1","37"
"52029","1","【料理】ダイスの目が必ず「2」になる","0","0","1","1","38"
"52029","2","【料理】次のターン数のカウントをスキップする","0","0","3","1","39"
"8","4","【イベント】マイルショップの全商品が20%以上割引される","0","0","3","2","40"
"52030","11","【料理】「マイルマス」を「トレジャーマス」に変化させる","0","0","3","1","41"
"52031","1","【料理】ダイスの目が\n「1・6・6・6・8・8」になる","0","0","1","1","42"
"52032","10","【料理】移動時に料理マスをスキップできる","0","0","2","1","43"
"52034","8","【料理】移動時にマイルマスをスキップできる","0","0","1","1","44"
"52036","1","【料理】ダイスの目が1ターン目は必ず「12」に、2・3ターン目は必ず「1」になる","0","0","1","1","45"
"52037","6","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","0","0","2","1","46"
"52038","1","【料理】ダイスが2個に増える","0","0","1","1","47"
"52039","11","【料理】「マイルマス」を「ショップマス」に変化させる","0","0","3","1","48"
"52040","10","【料理】移動時にトレジャーマスをスキップできる","0","0","2","1","49"
"52041","1","【料理】ダイスの目が1ターン目は必ず「7」に、2ターン目は必ず「2」になる","0","0","1","1","50"
"52042","1","【料理】ダイスの目が\n「4・5・6」のみになる","0","0","1","1","51"
"52043","9","【料理】移動系カテゴリーの料理が食べられなくなる","0","0","1","1","52"
"52044","1","【料理】ダイスの目が\n「1・2・3」のみになる","0","0","1","1","53"
"52044","2","【料理】次のターン数のカウントをスキップする","0","0","3","1","54"
"52045","10","【料理】移動時に「ショップマス」「ミニゲームマス」「イベントマス」をスキップできる","0","0","2","1","55"
"52046","8","【料理】移動時にマイルマスをスキップできる","0","0","1","1","56"
"1","99","最大ｎマイルを入手する","0","0","1","3","1001"
"2","99","ダイスを1回振りなおせる","0","0","1","3","1002"
"3","99","ダイスを1回振りなおせる_有効ターン2","0","0","1","3","1003"
"1001","126501","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","0","1","3","11001"
"1002","105301","【仲間】最大1000マイルを入手する","0","0","1","3","11002"
"1003","126401","【仲間】料理を1つ入手する","0","0","1","3","11003"
"1004","100501","【仲間】ダイスの目を1回振りなおせる","0","0","1","3","11004"
"1005","101301","【仲間】ダイスの目を2回振りなおせる","0","0","1","3","11005"
"1006","104301","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","0","1","3","11006"
"1007","102701","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","0","0","1","3","11007"
"1008","100901","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","0","1","3","11008"
"1009","105101","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","0","1","3","11009"
"1010","101801","【仲間】最大1000マイルを入手する","0","0","1","3","11010"
"1011","129701","【仲間】ダイスの表と裏どちらを適用するか選択できる","0","0","1","3","11011"
"1012","101601","【仲間】ダイスの目を1回振りなおせる","0","0","1","3","11012"
"1013","105601","【仲間】ダイスの目を2回振りなおせる","0","0","1","3","11013"
"1014","102001","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","0","0","1","3","11014"
"1015","129601","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","0","1","3","11015"
"1016","100401","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","0","0","1","3","11016"
"1017","127701","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","0","0","1","3","11017"
"1018","127801","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる","0","0","1","3","11018"
"1019","104801","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","0","1","3","11019"
"1020","104701","【仲間】ダイスの目を2回振りなおせる","0","0","1","3","11020"
"1021","105001","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","0","1","3","11021"
"1022","103201","【仲間】最大2000マイルを入手する","0","0","1","3","11022"
"1023","130901","【仲間】福引券を1枚入手する","0","0","1","3","11023"
"1024","102501","【仲間】料理を1つ入手する","0","0","1","3","11024"
"1025","100801","【仲間】ダイスの表と裏どちらを適用するか選択できる","0","0","1","3","11025"
"1026","123301","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","0","1","3","11026"
"1027","104601","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","0","1","3","11027"
"1028","118101","【仲間】ダイスの目を2回振りなおせる","0","0","1","3","11028"
"1029","103401","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","0","1","3","11029"
"1030","118001","【仲間】最大2000マイルを入手する","0","0","1","3","11030"
"1031","102801","【仲間】福引券を1枚入手する","0","0","1","3","11031"
"1032","100201","【仲間】料理を1つ入手する","0","0","1","3","11032"
"1033","101201","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","0","0","1","3","11033"
"1034","118201","【仲間】ダイスの目を1回振りなおせる","0","0","1","3","11034"
"1035","106101","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","0","1","3","11035"
"1036","103101","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","0","1","3","11036"
"1037","103301","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","0","1","3","11037"
"1038","103601","【仲間】最大2000マイルを入手する","0","0","1","3","11038"
"1039","133001","【仲間】福引券を1枚入手する","0","0","1","3","11039"
"1040","133101","【仲間】料理を1つ入手する","0","0","1","3","11040"
"1041","106801","【仲間】ダイスの表と裏どちらを適用するか選択できる","0","0","1","3","11041"
"1042","107101","【仲間】ダイスの目を1回振りなおせる","0","0","1","3","11042"
"1043","107001","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","0","1","3","11043"
"1044","106501","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","0","1","3","11044"
"1045","111001","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","0","1","3","11045"
"1046","134901","【仲間】最大2000マイルを入手する","0","0","1","3","11046"
"1047","105401","【仲間】福引券を1枚入手する","0","0","1","3","11047"
"1048","134701","【仲間】料理を1つ入手する","0","0","1","3","11048"
"1049","100101","【仲間】ダイスの表と裏どちらを適用するか選択できる","0","0","1","3","11049"
"1050","100701","【仲間】ダイスの目を1回振りなおせる","0","0","1","3","11050"
"1051","103001","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","0","1","3","11051"
"1052","101401","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","0","0","1","3","11052"
"1053","135901","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","0","1","3","11053"
"1054","102601","【仲間】最大2000マイルを入手する","0","0","1","3","11054"
"1055","132401","【仲間】福引券を1枚入手する","0","0","1","3","11055"
"1056","135801","【仲間】料理を1つ入手する","0","0","1","3","11056"
"1057","100301","【仲間】ダイスの表と裏どちらを適用するか選択できる","0","0","1","3","11057"
"1058","106701","【仲間】ダイスの目を1回振りなおせる","0","0","1","3","11058"
"1059","132301","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","0","1","3","11059"
"1060","105201","【仲間】出たダイスの目が奇数だった場合、1マス分多く進める","0","0","1","3","11060"
"1061","102201","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","0","1","3","11061"
"1062","100601","【仲間】最大2000マイルを入手する","0","0","1","3","11062"
"1063","136201","【仲間】福引券を1枚入手する","0","0","1","3","11063"
"1064","110901","【仲間】料理を1つ入手する","0","0","1","3","11064"
"1065","103801","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","0","0","1","3","11065"
"1066","101501","【仲間】ダイスの目を1回振りなおせる","0","0","1","3","11066"
"1067","102901","【仲間】出目の合計が7以上になるまでダイスを追加で振れる","0","0","1","3","11067"
"1068","101701","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める","0","0","1","3","11068"
"1069","132501","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","0","0","1","3","11069"
"1070","104201","【仲間】最大2000マイルを入手する","0","0","1","3","11070"
"1071","101101","【仲間】福引券を1枚入手する","0","0","1","3","11071"
"1072","104901","【仲間】料理を1つ入手する","0","0","1","3","11072"
