f80bb3eb52d732880701932af65d6a70a0137d117a6d1d5242c4010bd78cce1b,3058e4d06e7843162df8c46dae47df7a1e8b308ba9c3819415f85a9fa811e379,8b91a730629e860c5de53be26c2e282415c87ed6b84868cc235ef804c2708cd0,d3385d91274aaf409255531702463cd7ae056af6b41059ea7d962f8d3080dd80,e7c77063be7d897d8c34d3b0fe020d4faebed587fb09dff3064f5f50a440799f,842f5964aab7257835ef42f2cce6c32316f2c7771da15aed55260be084cfd488,98095dceb05287f3e40e39564050a3a6c5179637a612cacc40f3b2935acb39af,e5d4dfb5a6fb5e1e659c07c063a7d9097e627a211e7bb8eed8bdc453fc245b30,aaa23f399e0c5175f9c76b83ee7fec0ee101008638c3643294464b1fa0d8d513
"1","0","0","1","2018/05/22 5:00:00","0","2018/06/01 4:59:59","0","1"
"1","0","0","2","2018/08/21 5:00:00","0","2018/09/01 4:59:59","0","2"
"1","0","0","3","2018/12/22 5:00:00","0","2019/01/04 4:59:59","0","3"
"1","0","0","4","2019/02/15 5:00:00","0","2019/03/01 4:59:59","1","4"
"0","4","14","5","2019/03/01 5:00:00","0","2019/03/31 11:59:59","1","5"
"1","0","0","6","2019/08/15 5:00:00","0","2019/09/01 4:59:59","1","6"
"1","0","0","7","2019/12/20 5:00:00","0","2020/01/03 18:59:59","1","7"
"1","0","0","8","2020/02/15 5:00:00","0","2020/03/01 4:59:59","1","8"
"1","0","0","9","2020/04/30 5:00:00","0","2020/05/07 4:59:59","1","9"
"1","0","0","10","2020/08/15 5:00:00","0","2020/09/01 4:59:59","1","10"
"1","0","0","11","2020/11/10 5:00:00","0","2020/11/17 4:59:59","1","11"
"0","11","7","12","2020/11/17 5:00:00","0","2020/11/30 11:59:59","1","12"
"1","0","0","13","2020/12/21 5:00:00","0","2021/01/04 4:59:59","1","13"
"0","13","14","14","2021/01/04 5:00:00","0","2021/01/31 11:59:59","1","14"
"1","0","0","15","2021/02/15 5:00:00","0","2021/03/01 4:59:59","1","15"
"0","15","14","16","2021/03/01 5:00:00","0","2021/03/31 11:59:59","1","16"
"1","0","0","17","2021/04/30 5:00:00","0","2021/05/10 4:59:59","1","17"
"1","0","0","18","2021/08/15 5:00:00","0","2021/09/01 4:59:59","1","18"
"0","18","17","19","2021/09/01 5:00:00","0","2021/09/30 11:59:59","1","19"
"1","0","0","20","2021/11/03 5:00:00","0","2021/11/10 4:59:59","1","20"
"0","20","7","21","2021/11/10 5:00:00","0","2021/11/30 4:59:59","1","21"
"1","0","0","22","2021/12/22 5:00:00","0","2022/01/04 4:59:59","1","22"
"0","22","13","23","2022/01/04 5:00:00","0","2022/01/31 4:59:59","1","23"
"1","0","0","24","2022/02/15 5:00:00","0","2022/03/01 4:59:59","1","24"
"0","24","14","25","2022/03/01 5:00:00","0","2022/03/31 4:59:59","1","25"
"1","0","0","26","2022/04/30 5:00:00","0","2022/05/10 4:59:59","1","26"
"1","0","0","27","2022/08/15 5:00:00","0","2022/09/01 4:59:59","1","27"
"1","0","0","28","2022/10/25 5:00:00","0","2022/11/01 4:59:59","1","28"
"1","0","0","29","2022/12/23 5:00:00","0","2023/01/04 4:59:59","1","29"
"1","0","0","30","2023/02/15 5:00:00","0","2023/03/01 4:59:59","1","30"
"1","0","0","31","2023/04/25 5:00:00","0","2023/05/01 4:59:59","1","31"
"1","0","0","32","2023/08/15 5:00:00","0","2023/09/01 4:59:59","1","32"
"1","0","0","33","2023/10/26 5:00:00","0","2023/11/01 4:59:59","1","33"
"1","0","0","34","2023/12/22 5:00:00","0","2024/01/04 4:59:59","2","34"
"1","0","0","35","2024/02/15 5:00:00","0","2024/03/01 4:59:59","2","35"
"1","0","0","36","2024/04/26 5:00:00","0","2024/05/01 4:59:59","2","36"
"1","0","0","37","2024/08/15 5:00:00","0","2024/09/01 4:59:59","2","37"
