d8d261bd7ef6caf545084f888172a2aacd563f327e73d6f3dc8023f8a49880f5,b997b60e353487e965b79e871fa2dced282e88263bca7fe39af3cc88b759245d,6d25e45151bab227c43dff0627ac5cfdf0d1de0ed97869db05cd68244433ff5c,2c411f522d1ebb2e9589529e693827fd6bbf052944182ad1a57a8e9ab268ba21,e2fecad82fa4bbe14ba61befe8a52e4d530c2d32bf63a28b7344840dfd35e253,0d9d96dae81914a43d72feddca6e8feb77ae9f72f358a4693557cda2432136f5,51889032933f9e993ee1a43bf6862a93ac68e7fb226723d80c215021f01bf1c6,ddba239e7af5378b2b30175bf92bb00851dad2bae74d8effdb24a00212e642fb,60b08602c535e6a6ab6e0b0a88cc53032964942dec1cbdcbffb45ea68f7f6db1,e4fe48f9a01631f0a7c34dc9433bc138cdcd8aeff287967d65d562fe077fc581,cd8ce25ad2a6499c4f9f4f73cc239df4d9445ed75c16b80a9fb2f38b8244913d,0f186ababdea32e156a82f85455b00f3a8fb33919cdb575fddeb0623ecea233f,2fb2865fc74c6dc9ff32e0515893af3667f02dda12cba78fbf216a5fa2190efb,73a4a23452ae9b6cb76173184cf17b120cc326bf0137f7737c4cde6a2c520a40
"1","6","1","30","1","1","4","1","1","-1","1","7","1001","30"
"1","6","1","60","1","1","31","1","1","-1","1","11","1002","60"
"1","6","1","90","1","1","61","1","1","-1","1","15","1003","90"
"1","6","1","120","1","1","91","1","1","-1","1","19","1004","120"
"1","6","1","150","1","1","121","1","1","-1","1","23","1005","150"
"1","6","1","180","1","1","151","1","1","-1","1","27","1006","180"
"1","6","1","210","1","1","181","1","1","-1","1","29","1007","210"
"1","6","1","240","1","1","211","1","1","-1","1","31","1008","240"
"1","6","1","270","1","1","241","1","1","-1","1","31","1009","270"
"1","6","1","300","1","1","271","1","1","-1","1","31","1010","300"
"1","6","1","-1","1","1","301","1","1","-1","1","31","1011","310"
"1","5","2","30","1","1","4","1","1","-1","1","7","1101","30"
"1","5","2","60","1","1","31","1","1","-1","1","11","1102","60"
"1","5","2","90","1","1","61","1","1","-1","1","15","1103","90"
"1","5","2","120","1","1","91","1","1","-1","1","19","1104","120"
"1","5","2","150","1","1","121","1","1","-1","1","23","1105","150"
"1","5","2","180","1","1","151","1","1","-1","1","27","1106","180"
"1","5","2","210","1","1","181","1","1","-1","1","29","1107","210"
"1","5","2","240","1","1","211","1","1","-1","1","31","1108","240"
"1","5","2","270","1","1","241","1","1","-1","1","31","1109","270"
"1","5","2","300","1","1","271","1","1","-1","1","31","1110","300"
"1","5","2","-1","1","1","301","1","1","-1","1","31","1111","310"
"1","5","3","30","1","1","4","1","1","-1","1","7","1201","-1"
"1","5","3","60","1","1","31","1","1","-1","1","11","1202","-1"
"1","5","3","90","1","1","61","1","1","-1","1","15","1203","-1"
"1","5","3","120","1","1","91","1","1","-1","1","19","1204","-1"
"1","5","3","150","1","1","121","1","1","-1","1","23","1205","-1"
"1","5","3","180","1","1","151","1","1","-1","1","27","1206","-1"
"1","5","3","210","1","1","181","1","1","-1","1","29","1207","-1"
"1","5","3","240","1","1","211","1","1","-1","1","31","1208","-1"
"1","5","3","270","1","1","241","1","1","-1","1","31","1209","-1"
"1","5","3","300","1","1","271","1","1","-1","1","31","1210","-1"
"1","5","3","-1","1","1","301","1","1","-1","1","31","1211","-1"
"1","5","4","30","1","1","4","1","1","-1","1","7","1301","30"
"1","5","4","60","1","1","31","1","1","-1","1","10","1302","60"
"1","5","4","90","1","1","61","1","1","-1","1","13","1303","90"
"1","5","4","120","1","1","91","1","1","-1","1","16","1304","120"
"1","5","4","150","1","1","121","1","1","-1","1","19","1305","150"
"1","5","4","180","1","1","151","1","1","-1","1","22","1306","180"
"1","5","4","210","1","1","181","1","1","-1","1","25","1307","210"
"1","5","4","240","1","1","211","1","1","-1","1","28","1308","240"
"1","5","4","270","1","1","241","1","1","-1","1","28","1309","270"
"1","5","4","300","1","1","271","1","1","-1","1","28","1310","300"
"1","5","4","-1","1","1","301","1","1","-1","1","28","1311","310"
"1","5","5","30","1","1","4","1","1","-1","1","7","1401","-1"
"1","5","5","60","1","1","31","1","1","-1","1","10","1402","-1"
"1","5","5","90","1","1","61","1","1","-1","1","13","1403","-1"
"1","5","5","120","1","1","91","1","1","-1","1","16","1404","-1"
"1","5","5","150","1","1","121","1","1","-1","1","19","1405","-1"
"1","5","5","180","1","1","151","1","1","-1","1","22","1406","-1"
"1","5","5","210","1","1","181","1","1","-1","1","25","1407","-1"
"1","5","5","240","1","1","211","1","1","-1","1","28","1408","-1"
"1","5","5","270","1","1","241","1","1","-1","1","28","1409","-1"
"1","5","5","300","1","1","271","1","1","-1","1","28","1410","-1"
"1","5","5","-1","1","1","301","1","1","-1","1","28","1411","-1"
"1","3","6","30","1","1","4","1","1","-1","1","7","1501","-1"
"1","3","6","60","1","1","31","1","1","-1","1","10","1502","-1"
"1","3","6","90","1","1","61","1","1","-1","1","13","1503","-1"
