f9324b06905b9ba6cdbbedd403562f851a71927279465c733eec28418f927921,0dd6ad49190ebe2f3f13c431517276a16e8f4c3b69953816ebef126b9deddc79,24c5dd4fbc9229895137a7a2e726172f2dbc91577b87977b43ba5c5836f4f295,55aa2eb8e0d6fa573d58202322beb18598ea715a53d866dc37bbf44702556400,8a714e4bd49347a31fad2c43c775e4efafeef0ba36d53ab6fa6e2f51eef12323,588d4ac09d9f39b9b46a0f7d0372c4583dfe1e5e5b928e48553d2c38299d1600,d4b5b255379246ae2a380d8b8d2134b7df4cfdc76c2f2d224346e952bd7b8c77,125e6fb0f70595fbf71cc2dd6c3c27ab235945a1be63c3a89479383aca386825,b72cb0986f73c37cd0db606349287bb37b14913e57a84c9d94d5d68d382e1d5f,7d95a0f4719e42d6a9997b440432fa17d606d755fc54698471123982e7aac282,b325c1b93c60dbfecddd6c0e83f5097ffea2ad1ce6ed9106df84c756a56163cf,c97b9e4b2de192ffe6715afbbac85bf422ab3976217a0c6346f0865fb5ab1cfc
"0","11041","1","1","0","101","0","4","2","0","104","0"
"1","10141","2","2","0","201","0","2","3","0","14","0"
"2","11031","3","3","0","301","0","2","2","0","103","0"
"3","11021","4","4","0","401","0","1","1","0","102","0"
"4","11041","5","5","0","501","0","4","2","0","104","0"
"5","10011","6","6","0","601","0","1","3","0","1","0"
"6","11011","7","7","0","701","0","3","4","0","101","0"
"7","11001","8","8","0","801","0","1","3","0","100","0"
"8","11041","9","9","0","901","0","4","2","0","104","0"
"9","10011","10","10","0","1001","0","2","3","0","1","0"
"10","10511","11","11","0","1101","0","1","4","0","51","0"
"11","10521","12","12","0","1201","0","2","3","0","52","0"
"12","11041","13","13","0","1301","0","4","2","0","104","0"
"13","11031","14","14","0","1401","0","1","1","0","103","0"
"14","11021","15","15","0","1501","0","1","2","0","102","0"
"15","10011","16","16","0","1601","0","1","3","0","1","0"
"16","11041","17","17","0","1701","0","4","2","0","104","0"
"17","10501","18","18","0","1801","0","2","3","0","50","0"
"18","11011","19","19","0","1901","0","3","4","0","101","0"
"19","11001","20","20","0","2001","0","2","3","0","100","0"
"20","11041","21","21","0","2101","0","4","2","0","104","0"
"21","10011","22","22","0","2201","0","3","1","0","1","0"
"22","11001","23","23","0","2301","0","2","3","0","100","0"
"23","11011","24","24","0","2401","0","2","2","0","101","0"
"24","11041","25","25","0","2501","0","4","3","0","104","0"
"25","10501","26","26","0","2601","0","3","4","0","50","0"
"26","10521","27","27","0","2701","0","3","3","0","52","0"
"27","10501","28","28","0","2801","0","1","1","0","50","0"
"28","11041","29","29","0","2901","0","4","2","0","104","0"
"29","10511","30","30","0","3001","0","3","1","0","51","0"
"30","11001","31","31","0","3101","0","2","2","0","100","0"
"31","11011","32","32","0","3201","0","1","3","0","101","0"
"32","11041","33","33","0","3301","0","4","4","0","104","0"
"33","11001","34","34","0","3401","0","3","3","0","100","0"
"34","11041","35","35","0","3501","0","4","2","0","104","0"
"35","11031","36","36","0","3601","0","2","3","0","103","0"
"36","11021","37","37","0","3701","0","1","2","0","102","0"
"37","10501","38","38","0","3801","0","2","1","0","50","0"
"38","11021","39","39","0","3901","0","3","3","0","102","0"
"39","11041","40","40","0","4001","0","4","4","0","104","0"
"40","11001","41","41","0","4101","0","1","3","0","100","0"
"41","10521","42","42","0","4201","0","3","2","0","52","0"
"42","11041","43","43","0","4301","0","4","1","0","104","0"
"43","11031","44","44","0","4401","0","1","2","0","103","0"
"44","11041","45","45","0","4501","0","4","1","0","104","0"
"45","11011","46","46","0","4601","0","3","3","0","101","0"
"46","11021","47","47","0","4701","0","1","4","0","102","0"
"47","11041","48","48","0","4801","0","4","2","0","104","0"
"48","11031","49","49","0","4901","0","2","3","0","103","0"
"49","11041","50","50","0","5001","0","4","2","0","104","0"
"50","11011","51","51","0","5101","0","2","1","0","101","0"
"51","11021","52","52","0","5201","0","3","2","0","102","0"
"52","11041","53","53","0","5301","0","4","3","0","104","0"
"53","10521","54","54","0","5401","0","1","4","0","52","0"
"54","11031","55","55","0","5501","0","3","3","0","103","0"
"55","11041","56","56","0","5601","0","4","4","0","104","0"
"56","11001","57","57","0","5701","0","1","2","0","100","0"
"57","11011","58","58","0","5801","0","3","3","0","101","0"
"58","11031","59","59","0","5901","0","2","4","0","103","0"
"59","11041","60","60","0","6001","0","4","3","0","104","0"
"60","11021","61","61","0","6101","0","1","1","0","102","0"
"61","10501","62","62","0","6201","0","3","2","0","50","0"
"62","11041","63","63","0","6301","0","4","1","0","104","0"
"63","11031","64","64","0","6401","0","2","2","0","103","0"
"64","11021","65","65","0","6501","0","1","3","0","102","0"
"65","11041","66","66","0","6601","0","4","2","0","104","0"
