47406ff4148f7cd11e824a9562a307c3b32901a9eb994f69a1e494e6fd46ca61,27a04e4dc6562757790554c38ead4cfaa9c219ab137e86484b3b67f75b8f6299,bced4201410e8583a7ab55b015516f84c208853881b0c3f11f801b397ca37e3f,b12156eb8904bc3361f80d5892facf330cbb5732753f9c4467906d5b03cb00b1,be5ca928ed77615e07b01e2bd070d5df69c53331f5be796befce6eafd834f43c,e0ba9fdc06b5a1ff9ccb9268437866cd648eb1820c4a3063de53b35a33a48915,089eb00cf6e4ae115099e140f936d06c5d65dcc059d3687877bb34e2e9b6e809,a4a8bbfa307819a60676e0d0a0928ee885b61931f1d3d32d8e496f1828d7497f,b9bb3bbe009ceb9897586937aa87d687151541b5311f4abcbc2b6139b8570722,7d2eb419ed01c2d585c79345b9e123f5b1c4ad2d9aea0518228702f0af8c134b
"パグ","ハグ","バグ","0","2110001","0","0","0","バク","1"
"手首","テイク","テクノロジー","0","2110003","0","0","0","テクニック","1"
"ゆきやけ","じひびき","なだれ","0","2110005","0","0","0","ふぶき","1"
"大理石","黒曜石","磁石","0","2110006","0","0","0","化石","1"
"ミスト","ガルフ","オーシャン","0","2110007","0","0","0","リバー","1"
"カットマーク","バットマーク","アットマーク","0","2110008","0","0","0","ラットマーク","1"
"建物の中の場所","いつもすずしい場所","太陽の日があたる場所","0","2110010","0","0","0","太陽があたらない場所","1"
"バレンタインデート","ハッピーデート","アップデート","0","2110011","0","0","0","ダブルデート","1"
"バリケード","オブリガード","ブリザード","0","2110012","0","0","0","ブルドーザー","1"
"火星","地球","太陽","0","2110014","0","0","0","月","1"
"新幹線","電話線","地平線","0","2110016","0","0","0","放物線","1"
"青歴史","赤歴史","黒歴史","0","2110018","0","0","0","白歴史","1"
"みそ","お酢","しょうゆ","0","2110019","0","0","0","みりん","1"
"顔","手のひら","背中","0","2110021","0","0","0","お腹","1"
"看板","ベニヤ板","鉄板","0","2110022","0","0","0","ガラス板","1"
"エンコード","バーコード","ドレスコード","0","2110023","0","0","0","プレスコード","1"
"まくおとし","やくおとし","こけらおとし","0","2110024","0","0","0","だるまおとし","1"
"ライン","ライス","コイン","0","2110025","0","0","0","コイル","1"
"パラソル","ナチュラル","アパレル","0","2110026","0","0","0","パラレル","1"
"薄塗り","上塗り","透かし","0","2110028","0","0","0","ぼかし","1"
"胃薬","塗り薬","目薬","0","2110031","0","0","0","風邪薬","1"
"石の上","馬の耳","ぬか","0","2110032","0","0","0","のれん","1"
"豆腐","カナブン","金棒","0","2110034","0","0","0","なみだ","1"
"サイダー","コーラ","水","0","2110035","0","0","0","レモネード","1"
"四度","二度","三度","0","2110036","0","0","0","一度","1"
"メガネ","手ぬぐい","たんこぶ","0","2110037","0","0","0","髪の毛","1"
"天国","極楽","闇","0","2110038","0","0","0","光","1"
"あんみつ","ようかん","ぼた餅","0","2110039","0","0","0","団子","1"
"あぶ","か","はち","0","2110040","0","0","0","はえ","1"
"猫","羊","馬","0","2110041","0","0","0","猿","1"
"土","火","水","0","2110042","0","0","0","風","1"
"水","氷","冷","0","2110043","0","0","0","寒","1"
"脇","散","朝","0","2110044","0","0","0","韓","1"
"生卵","生米","生姜","0","2110045","0","0","0","生麦","1"
"占星","先制","宣誓","0","2110046","0","0","0","先生","1"
"気性","希少","起床","0","2110047","0","0","0","気象","1"
"未","無","不","0","2110049","0","0","0","非","1"
"未","無","非","0","2110050","0","0","0","不","1"
"未","非","無","0","2110051","0","0","0","不","1"
"無","非","未","0","2110052","0","0","0","不","1"
"有名無実","一日千秋","三日坊主","0","2110053","0","0","0","馬耳東風","1"
"きつね","いぬ","たぬき","0","2110054","0","0","0","ねこ","1"
"あしのうら","てぶくろ","たび","0","2110056","0","0","0","くつひも","1"
"万 ","千","百","0","2110058","0","0","0","十","1"
"七","八","十","0","2110060","0","0","0","九","1"
"ハイテンション","アジテーション","ハッピーエンド","0","2111001","0","0","0","ジャッジメント","1"
"夢はスーパースター☆☆★","やばいですね★","どるるるる～ん★","0","2111002","0","0","0","ちぇる～ん☆","1"
"二つの角を頭部に持つ","最も人口が多い","尖った長い耳","0","2111003","0","0","0","獣の耳と尻尾がある","1"
"キャォン","パォン","カォン","0","2111004","0","0","0","クォン","1"
"教育","高価","成長","0","2111005","0","0","0","輝く","1"
"金","鉄","銀","0","2120002","0","0","0","銅","1"
