9fb922d3a780f63d659948cc372108fdcc6eedd0ecd5f2cad068627f4e22e787,f7617bcfada302c75b07307e84c13643a4eb788357e733579e0bc61e339f5440,1f1ad7d40a895fcabb8e75108ef9beb5155e3538c5bf653f45673aaa3262ef78,3caad5fe1fab2fdb2c79d55600b86087dcd994e4c5b6df61acf550afe9af22b0,6d74c1b123ed778d306369c552af55127521f6a25da54c942735d095e6791a2d,d9b5ab876d847d8575b6900433380a5e2c2eded7051822114af79923bc46b832,e9eabc6b40354134a347e86b1b1546dbb2857d61526283733639bfcda55a37dd,87be6007cdcf855cd3ed42801001e31097752303890828a42efddde4f3dcd2ea
"52001","1","1","1","【料理】ダイスが2個に増える","1","0","0"
"52002","1","1","2","【料理】ダイスの目が必ず「1」になる","1","0","0"
"52002","2","1","3","【料理】次のターン数のカウントをスキップする","3","0","0"
"52004","1","1","4","【料理】ダイスの目が必ず「4」になる","1","0","0"
"52006","1","1","5","【料理】ダイスの目が\n「4・5・6」のみになる","1","0","0"
"52007","1","1","6","【料理】ダイスの目が1回目は必ず「3」に、2回目は必ず「6」になる","1","0","0"
"52003","1","1","7","【料理】ダイスの目が必ず「5」になる","1","0","0"
"52008","7","1","8","【料理】マイルマスの獲得マイルが200%アップする","2","0","0"
"4","2","2","9","【イベント】次のターン数のカウントをスキップする","3","0","0"
"5","3","2","10","【イベント】マイルマスの獲得マイルが100%アップする","2","0","0"
"6","5","2","11","【イベント】ミニゲームの獲得マイルが100%アップする","2","0","0"
"7","4","2","12","【イベント】マイルショップの全商品が20%以上割引される","3","0","0"
"52009","1","1","13","【料理】ダイスの目が1回目は必ず「8」に、2回目は必ず「1」になる","1","0","0"
"52010","6","1","14","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる","2","0","0"
"52011","1","1","15","【料理】ダイスの目が1回目は必ず「2」に、2回目は必ず「7」になる","1","0","0"
"52012","1","1","16","【料理】ダイスの目が\n「1・2・3」のみになる","1","0","0"
"52012","2","1","17","【料理】次のターン数のカウントをスキップする","3","0","0"
"52014","8","1","18","【料理】移動時にマイルマスをスキップできる","1","0","0"
"52005","1","1","19","【料理】次回移動時に1マス分多く進める","1","0","0"
"52014","1","1","20","【料理】次回移動時に1マス分多く進める","1","2","2"
"52015","1","1","21","【料理】ダイスが2個に増える","1","0","0"
"52015","1","1","22","【料理】次回移動時に1マス分多く進める","1","0","0"
"52016","1","1","23","【料理】ダイスの目が必ず「6」になる","1","0","0"
"52017","9","1","24","【料理】移動系カテゴリーの料理が食べられなくなる","1","0","0"
"52018","1","1","25","【料理】ダイスの目が必ず「3」になる","1","0","0"
"52019","1","1","26","【料理】ダイスの目が必ず「8」になる","1","0","0"
"98011","2","2","27","【イベント】次のターン数のカウントをスキップする","3","0","0"
"98012","2","2","28","【イベント】次のターン数のカウントをスキップする","3","0","0"
"52020","10","1","29","【料理】移動時にマイルマスをスキップできる","2","0","0"
"52020","1","1","30","【料理】次回移動時に1マス分多く進める","1","2","2"
"52021","10","1","31","【料理】移動時にトレジャーマスをスキップできる","2","0","0"
"52022","1","1","32","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる","1","0","0"
"52023","1","1","33","【料理】ダイスの目が1回目は必ず「6」に、2回目は必ず「3」になる","1","0","0"
"52024","1","1","34","【料理】次回移動時に3マス分多く進める","1","0","0"
"52025","10","1","35","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる","2","0","0"
"52027","1","1","36","【料理】ダイスの目が必ず「5」になる","1","0","0"
"52028","1","1","37","【料理】ダイスの目が\n「1・2」のみになる","1","0","0"
"52029","1","1","38","【料理】ダイスの目が必ず「2」になる","1","0","0"
"52029","2","1","39","【料理】次のターン数のカウントをスキップする","3","0","0"
"8","4","2","40","【イベント】マイルショップの全商品が20%以上割引される","3","0","0"
"1","99","3","1001","最大ｎマイルを入手する","1","0","0"
"2","99","3","1002","ダイスを1回振りなおせる","1","0","0"
"3","99","3","1003","ダイスを1回振りなおせる_有効ターン2","1","0","0"
"1001","126501","3","11001","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）","1","0","0"
"1002","105301","3","11002","【仲間】最大1000マイルを入手する","1","0","0"
"1003","126401","3","11003","【仲間】料理を1つ入手する","1","0","0"
"1004","100501","3","11004","【仲間】ダイスの目を1回振りなおせる","1","0","0"
"1005","101301","3","11005","【仲間】ダイスの目を2回振りなおせる","1","0","0"
"1006","104301","3","11006","【仲間】出目が4のダイスを同時に振ってどちらか選択できる","1","0","0"
"1007","102701","3","11007","【仲間】出目が3のダイスを同時に振ってどちらか選択できる","1","0","0"
