c8cbefbf14948ff8f414f201ecc6bbf1e78efc3c031c13eea990b5c6bbb4cf42,f3d53bacdc516f72817a734a33a840f917845831c9a778702083f0e4419ddd64,22e6fc9f4d760edec6f682c97f0591b048f885d92a9d0bd8cec15b1f1cfc2c17,2292beb2c6fd57ffdf8a814c8413fec052f469b9352c599e20e8502bf3f4870b,a3cd08f717537cf95d148d6d85357b8528695000e519a9067c591bfdf623b66b,0219eb62450def73dd33ad48e6569a7e1e62f36273b456f55806afc1df3f9d45,d93e3f33985a32f0083d10378aa6b9a12bdea4ce034138ec80984d1325dd5a10,cbc896fe6182bdc3c39ec9ed6b8b8981ae593c6a540de1fe2a10afd12c0466e4,48d563767f21b3585214340e6631d3969724fd7f3ab967c4cf3e558bd471a572,8bcdad2a419b6d74e5446a249d0973f37a9c5438acbb2a60ac0b9bbc78115c83,b02766cd3b03d51bc3d9769cae6ba83f3c1f7119ceab707c9972bbf08c414e8e,c391b1209d2efe0b293517621a8e72a261791afc9f2bde2eec6b38bcda11d5d4,8265bfff8e4e2595c580ea4ff83d2f399f7de8285b57afcbc06ad74028b32835,c3b790290086bc3b66631bfd515cf4a074d43429300d5ecc517f6ed2f47bf939,9c85f9f991a3bbeb510ddb94e016bf8596ef0c791154d643486f57d215bec8b3,aac539897eb10dae2699ca8fbe8aa5ba843b8247223cfe2d5e277d42144f9062
"23003","150008","10","2","2","10","4","2","25000","94002","150009","12","72001","4","2","202011"
"0","0","0","0","0","50","0","0","0","0","0","0","91002","0","8","202012"
"0","0","0","0","0","10","0","0","0","0","0","0","72001","0","2","202013"
"0","0","0","0","0","30","0","0","0","0","0","0","72001","0","2","202014"
"0","0","0","0","0","50","0","0","0","0","0","0","72001","0","2","202015"
"94002","25205","5000","2","2","5","2","12","2","25201","25203","2","72001","2","2","202021"
"25202","0","60","0","0","30","0","2","0","0","0","0","91002","0","8","202022"
"25204","0","30","0","0","30","0","2","0","0","0","0","91002","0","8","202023"
"25206","0","10","0","0","30","0","2","0","0","0","0","91002","0","8","202024"
"0","0","0","0","0","5","0","0","0","0","0","0","72001","0","2","202025"
"0","0","0","0","0","10","0","0","0","0","0","0","72001","0","2","202026"
"0","0","0","0","0","15","0","0","0","0","0","0","72001","0","2","202027"
