ccdf70b35a5c3649d33bca4375f4828be7884659bdb565185e6f4de790d05388,3cdea32e198d7ed2517b0a9c241e10aad7b2d82dd07dbd9716907a5b3a3a424e,d83df07286938eff9141fffef0a1bf5a245a504095ca9ae03bf1699de17af0ad,859b1901479ff0f8f388b02524bf721699f132019bb5bc97f999e259c8ceba78,f7f2a1c09fa0ee7e3fd65455824f6673cff9189b46660783a45a2f9c5836daf3,7a723c420fd8438a6e34360450ae99efe52e42805c2f2944811a62ff3d864ad3,66c88829bd7ac363377099fe09a64d8046f2faa727af63cc2a7595fafc95c0a1,f285694a8b574f91c890a53a09e97cb6aca09251df0604e84dfff56208ff3855,f08372993d71e86a5ce38e0fbcff6580a771b7af385c36f4af635d3e9d215975,bf4d74630412276038da0c6bf6b308556591ef6c15ba1e1a61fa09b59f8fdd9e,cb1eae2179db0817f9dcbe5256c302d76b201617d9c9d1d680d898c74ac592a7,58a6b47897bf5a3b1bcc961ee99d1d242ff1ca3d2bd2dd064eacf47dbb807738,a88aba44a56d0163afb941e70747cb81694fd03e263fa80a6556a83301d4eb53,5054a0a72a601ec4c895270a54479c039deb246a1b882a9e55e220bd4dd3271d,f56aa9932ec0e4d9a9c2fadb4d1cfa08796b76ec46ddf691344358bb1cd3a610,9bfc5a7be8a633d30cbd7167b154530b4f914e8ea17fac653cc92663dc950aa9,ad111a795b387952e10470d28f38765e8437ebbc972be1d263f76c796a91ae9d,bd9598125fd645bcf3ce1090646c923d34d2e07b673780229b63f652627e8524
"30","20004","2","1001","91002","150003","3","1","4","3","100","12","90005","2","8","300000","94002","8"
"30","140001","4","1001","91002","150004","3","2","4","3","150","12","90005","2","8","400000","94002","60"
"30","20004","2","1001","91002","150005","3","3","4","3","150","12","90005","2","8","500000","94002","10"
"30","140001","4","1001","91002","150006","3","4","4","3","200","12","90005","2","8","750000","94002","90"
"30","21951","2","1001","91002","150007","3","5","4","3","200","12","90005","2","8","1000000","94002","1"
"30","20004","2","1002","91002","150003","3","1","4","3","100","12","90005","2","8","300000","94002","8"
"30","140001","4","1002","91002","150004","3","2","4","3","150","12","90005","2","8","400000","94002","60"
"30","20004","2","1002","91002","150005","3","3","4","3","150","12","90005","2","8","500000","94002","10"
"30","140001","4","1002","91002","150006","3","4","4","3","200","12","90005","2","8","750000","94002","90"
"30","21951","2","1002","91002","150007","3","5","4","3","200","12","90005","2","8","1000000","94002","1"
"100","20004","2","1003","91002","150003","100","1","4","3","50","12","150004","4","8","300000","94002","8"
"50","140001","4","1003","91002","150005","5","2","4","3","100","12","90005","2","8","400000","94002","60"
"50","20004","2","1003","91002","150006","500000","3","4","3","100","0","94002","12","8","0","0","10"
"50","140001","4","1003","91002","150007","10","4","4","3","150","12","90005","2","8","750000","94002","90"
"50","21951","2","1003","91002","150008","1000000","5","4","3","150","0","94002","12","8","0","0","1"
"100","20004","2","1004","91002","150003","100","1","4","3","50","12","150004","4","8","300000","94002","8"
"50","140001","4","1004","91002","150005","5","2","4","3","100","12","90005","2","8","400000","94002","60"
"50","20004","2","1004","91002","150006","500000","3","4","3","100","0","94002","12","8","0","0","10"
"50","140001","4","1004","91002","150007","10","4","4","3","150","12","90005","2","8","750000","94002","90"
"50","21951","2","1004","91002","150008","1000000","5","4","3","150","0","94002","12","8","0","0","1"
"100","20004","2","1005","91002","150003","100","1","4","3","50","12","150004","4","8","300000","94002","8"
"50","140001","4","1005","91002","150005","5","2","4","3","100","12","90005","2","8","400000","94002","60"
"50","20004","2","1005","91002","150006","500000","3","4","3","100","0","94002","12","8","0","0","10"
"50","140001","4","1005","91002","150007","10","4","4","3","150","12","90005","2","8","750000","94002","90"
"50","21951","2","1005","91002","150008","1000000","5","4","3","150","0","94002","12","8","0","0","1"
"100","20004","2","1006","91002","150004","100","1","4","3","50","12","150005","4","8","300000","94002","8"
"50","140001","4","1006","91002","150006","5","2","4","3","100","12","90005","2","8","400000","94002","60"
"50","20004","2","1006","91002","150007","500000","3","4","3","100","0","94002","12","8","0","0","10"
"50","140001","4","1006","91002","150008","10","4","4","3","150","12","90005","2","8","750000","94002","90"
"50","21951","2","1006","91002","150009","1000000","5","4","3","150","0","94002","12","8","0","0","1"
