b3b8a4a7cc2fb3007a28193dcc078305d3402ba9b461db189fa36a73b0300349,6ba06104d96d457cb6714d638e6113fb35bbfdacc859ac7375fe1ed682f9fac4,8dc6a64a4ecf7363657378575bf7a21213eb9cc8c38aa38dbefca52fbfb86d32,c5b492e948c3fa4ce97262c552629633f8ecc0bdbc2099ac808af28e773ea6a8,6227f76e689e11a89c6db5ab8c061a0d60e38d216555dd5e0727870a9328d9d9,a344793c1724d2f687f393842617ed956d4b8f674a4b47a8978a17ba206aec38,b73bfedecea9603f86695f682010a7c5eec225bcaf52cbfb900f64a057713b5e,b48121640979587eb20867040286c8add6cfb10e9e769546d0ac0d59cde9a620,5a78bd824bfc9a1a86ba8b242434ac43d46d4f10c0a16da09a48580bb72f1ec8,b7920504c7d825ad02c8277e506911792f1f59434dc35cc5dcced0fa207505cc,c970a429ac7d1f6237cb44bf3b81afe2a53652e298efe701bcf4c0bedde82b55,e8e1a63032ea2b5473a6387e1a770b19d1001a843555ddbd3949eb1c91c1adb1
"100101","3","1","1","1","1","13","1","1","-1","100","-1"
"100201","4","1","1","1","1","15","1","1","-1","130","-1"
"100301","4","1","1","1","1","17","1","1","-1","160","-1"
"100401","4","1","1","1","1","19","1","1","120","180","-1"
"100402","4","1","1","1","1","19","1","1","-1","180","-1"
"100501","4","1","1","1","1","21","1","1","150","200","-1"
"100502","4","1","1","1","1","21","1","1","-1","200","-1"
"100601","5","1","1","1","1","23","1","1","180","220","-1"
"100602","5","1","1","1","1","23","1","1","-1","220","-1"
"100701","5","1","1","1","1","25","1","1","210","240","-1"
"100702","5","1","1","1","1","25","1","1","-1","240","-1"
"100801","5","1","1","1","1","27","1","1","240","260","-1"
"100802","5","1","1","1","1","27","1","1","-1","260","-1"
"100901","5","1","1","1","1","29","1","1","270","280","-1"
"100902","5","1","1","1","1","29","1","1","-1","280","-1"
"101001","6","1","1","1","1","32","1","1","300","300","1"
"101002","6","1","1","1","1","32","1","1","300","300","-1"
"101003","6","1","1","1","1","32","1","1","-1","300","-1"
"101004","5","1","1","1","1","32","1","1","300","300","1"
"101005","5","1","1","1","1","32","1","1","300","300","-1"
"101006","5","1","1","1","1","32","1","1","-1","300","-1"
"101101","6","1","1","1","1","32","1","1","300","310","1"
"101102","6","1","1","1","1","32","1","1","300","310","-1"
"101103","6","1","1","1","1","32","1","1","-1","310","-1"
"101104","5","1","1","1","1","32","1","1","300","310","1"
"101105","5","1","1","1","1","32","1","1","300","310","-1"
"101106","5","1","1","1","1","32","1","1","-1","310","-1"
"101201","6","1","1","1","1","32","1","1","300","320","1"
"101202","6","1","1","1","1","32","1","1","300","320","-1"
"101203","6","1","1","1","1","32","1","1","-1","320","-1"
"101204","5","1","1","1","1","32","1","1","300","320","1"
"101205","5","1","1","1","1","32","1","1","300","320","-1"
"101206","5","1","1","1","1","32","1","1","-1","320","-1"
"101301","6","1","1","1","1","32","1","1","300","330","3"
"101302","6","1","1","1","1","32","1","1","300","330","-1"
"101303","6","1","1","1","1","32","1","1","-1","330","-1"
"101304","5","1","1","1","1","32","1","1","300","330","3"
