7cdb1a187ff94af5d2127f6687243c57233979afba80242512dcf339eee22461,f9ae35e3d9616daa8eda67879292a3b671978f139db984bfc8a4214206bea10a,cf768cdd270b9472d38308e9b878c75c2e18864db4293da146c3e759dda5b453,6bb3803c7a0949c911d989dfc9533e120b6f2ba6361ac762655c8bf92fb0f83e,12f6552194ca5841c933851de894ea335295f395b2571d9b536a89f42c7ea07d,2c94ddbc0b11c6f2a800f72c94bd54482ec0897af5d05b6f470351c576f9bd9b,c74bb6db10cac366257f5a0b189010916dbda3ba92b2687d1563a092ce011a10
"1","1","1001101","0","306700","0","81001105"
"1","1","1001102","0","306700","0","81001106"
"1","1","1001201","0","306800","0","81001205"
"1","1","1001202","0","306800","0","81001206"
"1","1","1001301","0","307000","0","81001305"
"1","1","1001302","0","307000","0","81001306"
"1","1","1001401","0","307500","0","81001405"
"1","1","1001402","0","307500","0","81001406"
"1","1","1001501","0","307300","0","81001505"
"1","1","1001502","0","307300","0","81001506"
"1","1","1001601","0","307700","0","81001605"
"1","1","1001602","0","307700","0","81001606"
"1","1","1001701","0","307400","0","81001705"
"1","1","1001702","0","307400","0","81001706"
"1","1","1001801","0","307900","0","81001805"
"1","1","1001802","0","307900","0","81001806"
"1","1","1001901","0","307800","0","81001905"
"1","1","1001902","0","307800","0","81001906"
"1","1","1002001","0","308100","0","81002005"
"1","1","1002002","0","308100","0","81002006"
"1","1","1002101","0","308000","0","81002101"
"1","1","1002102","0","308000","0","81002102"
"1","1","1002201","0","308300","0","81002205"
"1","1","1002202","0","308300","0","81002206"
"1","1","1002301","0","308200","0","81002301"
"1","1","1002302","0","308200","0","81002302"
"1","1","1002401","0","304705","0","81002405"
"1","1","1002402","0","304705","0","81002406"
"1","1","1002501","0","308400","0","81002501"
"1","1","1002502","0","308400","0","81002502"
"1","1","1002601","0","305004","0","81002605"
"1","1","1002602","0","305004","0","81002606"
"1","1","1002701","0","308600","0","81002701"
"1","1","1002702","0","308600","0","81002702"
