3494e2a920da43a90c72aefd68d1c36c6c3c277e576823b51805a098ae062a57,8ebf7681db34f211cee60414b203665278424e8e0a9f243f4fccdf8633d19460,34dd32aa34cce38b54790b7eab15a52d2f32b4209562e16c7a9e0b9ee3ecc5ab,59097277d62fcc07c620232266b93fe7943fa037bd3193af0fb71430f0ecc073,263375e485c6e73b20e0bdfb2cb6682df20950f2c54d32b4ded866b5e19584b6,26a46ee498904f30c8b417ac6939bef640f5a73faaf4ecdcc6633ef1bc2714f9
"1005","802100290","2114001","211","1","212"
"1006","802100290","2114002","211","1","212"
"1007","802100290","2114003","211","1","212"
"1008","802100290","2114004","211","1","212"
"100501","802100266","2113061","104","0","100"
"100502","802100266","2113062","104","0","100"
"100503","802100266","2113063","105","0","102"
"100504","802100266","2113064","106","0","103"
"100505","802100266","2113065","104","0","100"
"100506","802100266","2113066","104","0","100"
"100507","802100266","2113067","105","0","102"
"100508","802100266","2113068","106","0","103"
"100509","802100266","2113069","104","0","100"
"100510","802100266","2113070","104","0","100"
"100511","802100267","2113071","104","0","100"
"100512","802100267","2113072","104","0","100"
"100513","802100267","2113073","105","0","102"
"100514","802100267","2113074","106","0","103"
"100515","802100267","2113075","104","0","100"
"100516","802100267","2113076","104","0","100"
"100517","802100267","2113077","105","0","102"
"100518","802100267","2113078","106","0","103"
"100519","802100267","2113079","104","0","100"
"100520","802100267","2113080","104","0","100"
"100521","802100268","2113081","104","0","100"
"100522","802100268","2113082","104","0","100"
"100523","802100268","2113083","105","0","102"
"100524","802100268","2113084","106","0","103"
"100525","802100268","2113085","104","0","100"
"100526","802100268","2113086","208","1","112"
"100527","802100268","2113087","201","1","110"
"100528","802100268","2113088","104","0","100"
"100529","802100268","2113089","105","0","102"
"100530","802100268","2113090","106","0","103"
"100601","802100263","2113031","203","1","114"
"100602","802100263","2113032","202","1","113"
"100603","802100263","2113033","105","0","102"
"100604","802100263","2113034","106","0","103"
"100605","802100263","2113035","203","1","114"
"100606","802100263","2113036","202","1","113"
"100607","802100263","2113037","204","1","111"
"100608","802100263","2113038","202","1","113"
"100609","802100263","2113039","202","1","113"
"100610","802100263","2113040","106","0","103"
"100611","802100264","2113041","203","1","114"
"100612","802100264","2113042","202","1","113"
"100613","802100264","2113043","105","0","102"
"100614","802100264","2113044","106","0","103"
"100615","802100264","2113045","203","1","114"
"100616","802100264","2113046","202","1","113"
"100617","802100264","2113047","204","1","111"
"100618","802100264","2113048","202","1","113"
"100619","802100264","2113049","202","1","113"
"100620","802100264","2113050","106","0","103"
"100621","802100265","2113051","105","0","102"
"100622","802100265","2113052","203","1","114"
"100623","802100265","2113053","202","1","113"
"100624","802100265","2113054","204","1","111"
"100625","802100265","2113055","106","0","103"
"100626","802100265","2113056","208","1","112"
"100627","802100265","2113057","201","1","110"
"100628","802100265","2113058","203","1","114"
"100629","802100265","2113059","202","1","113"
"100630","802100265","2113060","106","0","103"
"100701","802100269","2113091","205","1","112"
"100702","802100269","2113092","206","1","112"
"100703","802100269","2113093","102","0","117"
"100704","802100269","2113094","105","0","102"
"100705","802100269","2113095","105","0","102"
"100706","802100269","2113096","202","1","113"
"100707","802100269","2113097","203","1","114"
"100708","802100269","2113098","102","0","117"
"100709","802100269","2113099","105","0","102"
"100710","802100269","2113100","202","1","113"
"100711","802100270","2115001","205","1","112"
"100712","802100270","2115002","102","0","117"
"100713","802100270","2115003","105","0","102"
"100714","802100270","2115004","106","0","103"
"100715","802100270","2115005","203","1","114"
"100716","802100270","2115006","202","1","113"
"100717","802100270","2115007","207","1","112"
"100718","802100270","2115008","105","0","102"
"100719","802100270","2115009","106","0","103"
"100720","802100270","2115010","202","1","113"
"100721","802100271","2115011","205","1","112"
"100722","802100271","2115012","208","1","112"
"100723","802100271","2115013","102","0","117"
"100724","802100271","2115014","105","0","102"
"100725","802100271","2115015","106","0","103"
"100726","802100271","2115016","208","1","112"
"100727","802100271","2115017","201","1","110"
"100728","802100271","2115018","102","0","117"
"100729","802100271","2115019","105","0","102"
"100730","802100271","2115020","106","0","103"
"100801","802100260","2113001","103","0","104"
"100802","802100260","2113002","104","0","100"
"100803","802100260","2113003","104","0","100"
"100804","802100260","2113004","105","0","102"
"100805","802100260","2113005","105","0","102"
"100806","802100260","2113006","104","0","100"
"100807","802100260","2113007","104","0","100"
"100808","802100260","2113008","105","0","102"
"100809","802100260","2113009","105","0","102"
"100810","802100260","2113010","107","0","101"
"100811","802100261","2113011","103","0","104"
"100812","802100261","2113012","104","0","100"
"100813","802100261","2113013","104","0","100"
"100814","802100261","2113014","105","0","102"
"100815","802100261","2113015","106","0","103"
"100816","802100261","2113016","104","0","100"
"100817","802100261","2113017","104","0","100"
"100818","802100261","2113018","105","0","102"
"100819","802100261","2113019","106","0","103"
"100820","802100261","2113020","104","0","100"
"100821","802100262","2113021","103","0","104"
"100822","802100262","2113022","104","0","100"
"100823","802100262","2113023","104","0","100"
"100824","802100262","2113024","105","0","102"
"100825","802100262","2113025","105","0","102"
"100826","802100262","2113026","208","1","112"
"100827","802100262","2113027","201","1","110"
"100828","802100262","2113028","105","0","102"
"100829","802100262","2113029","106","0","103"
"100830","802100262","2113030","103","0","104"
