72971cad14af09b84046ae9638200010c4855ee2fabf8bbf8ebd2f8a3f96e49c,f2c421359d027b8e3cb6693555b418a04c540e5ca22cf4b27c2db537ec42966e,785615ef20ed316c7fb219c5b9e92892ac6de08e5467488daaeef0bc4e1a6167,67acc6c9284a73ea8eb4c9c0719a8436f08fb3999b33b5ba2e81140fcb40867c,51bd45d7f7e9382932ae8e225da6d1b34f27f4b88cf760003e56f106916e4623
"1","1","300","135","1"
"1","2","-100","425","1"
"2","3","125","-100","1"
"2","4","-415","375","1"
"3","5","-50","25","1"
"3","6","-300","-25","1"
"4","7","-335","-195","1"
"4","8","-415","105","1"
"5","9","-160","135","1"
"6","10","-40","345","1"
"7","11","90","-230","1"
"8","12","-420","230","1"
"9","13","250","30","1"
"10","14","-245","280","1"
"11","15","-110","-150","1"
