8ec33b1beb602686b8105c36e2b6a74b554c214166d183e706c7d2e455951ec4,de214712657351cc4d49e261457dfb22eddebdb2c38063be390c0cec32d2fecc,84273b421d0b16737fa9c2d3c38721cb01e5f71410baaf15a584a676715bf0fe,6134d99cac65b183987328159bbfd437b718d2f8eeb2d329050acb45ed38ea54,2fddd367c00b7f4cf8f86dd178ee0103b593b0613b5b5bcfb80273592a644efc,5b1a2769e31574b098ec50c07ea3a295f6afc8dc88df36e683569846278876e0,b1831264f55b102d746f630193add3143d4dea24b0fbe2b14973e512039ce5aa,d9c74660b99d75287fd08ca057f1ba12d804d2cd6bc2ec94777a8909f7dfde03,6b093ef6e76969dcf334d9831130ae3e6a58c43545c9b487225c9aca8a8a2a6b,c1427d24ed9baf4dd592e1f52b828de285f5c92b5033dc20281f563a68e8026c,1aab82a8af9e876b7a4f86e936eda7994a9cd7d25e000d6c023d4e8ada213a36
"lsv_idle_normal","1","-495","-200","122711","1.95","1","1009801","102","0","1009801001"
"lsv_idle_normal","1","-480","100","122811","1.95","1","1009801","100","1","1009801002"
"lsv_idle_normal","1","-510","270","122911","1.95","1","1009801","101","1","1009801003"
"lsv_white_loop","5","0","0","333","1","1","1009801","0","0","1009801004"
"","6","0","1","1","0","333","1009801","1","0","1009801005"
"","6","0","1","1","0","122711","1009801","1","0","1009801006"
"","6","0","1","1","0","122811","1009801","1","0","1009801007"
"","6","0","1","1","0","122911","1009801","1","0","1009801008"
"","93","","","0","","1","1009801","","","1009801009"
"","6","0.4","1","1","0.8","333","1009801","1","0","1009801010"
"","3","1","lsv_idle_normal","lsv_jump1","0.2","122711","1009801","0","0.2","1009801011"
"","3","1","lsv_idle_normal","lsv_jump1","0.2","122811","1009801","0","0.2","1009801012"
"","3","1","lsv_idle_normal","lsv_jump1","0.2","122911","1009801","0","0.2","1009801013"
"","93","","","","","0.3","1009801","","","1009801014"
"","2","0","0.75","-200","","122711","1009801","-235","","1009801015"
"","2","0","0.75","100","","122811","1009801","-220","","1009801016"
"","2","0","0.75","270","","122911","1009801","-250","","1009801017"
"","6","1","1","1","0.4","122711","1009801","1","0","1009801018"
"","6","1","1","1","0.4","122811","1009801","1","0","1009801019"
"","6","1","1","1","0.4","122911","1009801","1","0","1009801020"
"","93","","","0","","2","1009801","","","1009801021"
"","3","","","lsv_talk_joy1","0.2","122911","1009801","1","","1009801022"
"","21","","0","vo_lsv_0121","","vo_lsv","1009801","0","","1009801023"
"0","11","1","1","『みゅ～ちゃん　すくすく日記』♪\nはじまりはじまり～","0","122911","1009801","10","0","1009801024"
"","91","","","","","0","1009801","","","1009801025"
"","3","","","lsv_idle_normal_joyR","0.2","122911","1009801","1","","1009801026"
"","3","","","lsv_talk_normal","0.2","122711","1009801","1","","1009801027"
"","21","","0","vo_lsv_0122","","vo_lsv","1009801","0","","1009801028"
"0","11","1","1","この日記をみんなで書いて、\nみゅ～ちゃんとの思い出を\n作っていこうね。","0","122711","1009801","10","0","1009801029"
"","91","","","","","0","1009801","","","1009801030"
"","3","","","lsv_idle_normal","0.2","122711","1009801","1","","1009801031"
"","3","","","lsv_idle_normal","0.2","122911","1009801","1","","1009801032"
"","3","1","lsv_talk_cool_loop","lsv_talk_cool","0","122811","1009801","0","0.2","1009801033"
"","21","","0","vo_lsv_0123","","vo_lsv","1009801","0","","1009801034"
"0","11","1","1","それにしても…キョウカは\n日記もまじめだねー\n先生に見せるみたい！","0","122811","1009801","10","0","1009801035"
"","91","","","","","0","1009801","","","1009801036"
"","3","","","lsv_talk_bitter","0.2","122811","1009801","1","","1009801037"
"","21","","0","vo_lsv_0124","","vo_lsv","1009801","0","","1009801038"
"0","11","1","1","ミソギたちしか読まないんだし\nもっとふざけちゃっても\nいいのに～♪","0","122811","1009801","10","0","1009801039"
"","91","","","","","0","1009801","","","1009801040"
"","3","","","lsv_idle_joy","0.2","122811","1009801","1","","1009801041"
"","3","","","lsv_talk_anger2","0.2","122711","1009801","1","","1009801042"
"","21","","0","vo_lsv_0125","","vo_lsv","1009801","0","","1009801043"
"0","11","1","1","ふ、ふざけて書くなんて…！\n私にはできないよっ。","0","122711","1009801","10","0","1009801044"
"","91","","","","","0","1009801","","","1009801045"
"","3","","","lsv_idle_anger2","0.2","122711","1009801","1","","1009801046"
"","3","","","lsv_talk_normal","0.2","122911","1009801","1","","1009801047"
"","21","","0","vo_lsv_0126","","vo_lsv","1009801","0","","1009801048"
"0","11","1","1","大丈夫だよ～\nミミは、キョウカちゃんの\n日記もいいなって思うもん♪","0","122911","1009801","10","0","1009801049"
"","91","","","","","0","1009801","","","1009801050"
"","3","","","lsv_idle_normal_joyR","0.2","122911","1009801","1","","1009801051"
"","3","1","lsv_talk_guts2_anger_loop","lsv_talk_guts2_anger","0","122711","1009801","0","0.2","1009801052"
"","21","","0","vo_lsv_0127","","vo_lsv","1009801","0","","1009801053"
"0","11","1","1","と、とにかくっ！　この日記は\nみゅ～ちゃんのことを知って\nいくためにも書くんだよ？","0","122711","1009801","10","0","1009801054"
"","91","","","","","0","1009801","","","1009801055"
"","3","","","lsv_talk_normal_worry","0.2","122711","1009801","1","","1009801056"
"","21","","0","vo_lsv_0128","","vo_lsv","1009801","0","","1009801057"
"0","11","1","1","どんな生き物かわからないと\n育てるのも大変だし…\nそのこと、忘れないようにね？","0","122711","1009801","10","0","1009801058"
"","91","","","","","0","1009801","","","1009801059"
"","3","","","lsv_idle_normal","0.2","122711","1009801","1","","1009801060"
"","3","1","lsv_idle_normal","lsv_hello","0","122811","1009801","0","0.2","1009801061"
"","3","1","lsv_idle_normal_joyR","lsv_hello","0","122911","1009801","0","0.2","1009801062"
"","21","","0","vo_lsv_0129","","vo_lsv","1009801","0","","1009801063"
"0","11","1","1","はーい！","0","122811","1009801","10","0","1009801064"
"0","11","1","1","はーい！","0","122911","1009801","10","0","1009801065"
"","91","","","","","0","1009801","","","1009801066"
"","3","","","lsv_idle_normal","0.2","122711","1009801","1","","1009801067"
"","3","","","lsv_talk_surprise","0.2","122911","1009801","1","","1009801068"
"","21","","0","vo_lsv_0130","","vo_lsv","1009801","0","","1009801069"
"0","11","1","1","みゅ～ちゃんはふしぎだよね～\nはじめて会ったときは\nびっくりしちゃった！","0","122911","1009801","10","0","1009801070"
"","91","","","","","0","1009801","","","1009801071"
"","3","","","lsv_idle_normal_suprise1","0.2","122911","1009801","1","","1009801072"
"","3","1","lsv_talk_cool_loop","lsv_talk_cool","0","122811","1009801","0","0.2","1009801073"
"","21","","0","vo_lsv_0131","","vo_lsv","1009801","0","","1009801074"
"0","11","1","1","タマゴも石みたいだったしね！\nねっ、にいちゃんは、\nどんな生き物だと思う？","0","122811","1009801","10","0","1009801075"
"","91","","","","","0","1009801","","","1009801076"
"","3","1","lsv_look_idle_normal","lsv_choice","0","122711","1009801","0","0.2","1009801077"
"","3","1","lsv_look_idle_normal","lsv_choice","0","122811","1009801","0","0.2","1009801078"
"","3","1","lsv_look_idle_normal","lsv_choice","0","122911","1009801","0","0.2","1009801079"
"","93","","","0","","0.1","1009801","","","1009801080"
"","2","2","0.33","-452","","122711","1009801","-235","0.2","1009801081"
"","2","2","0.33","420","","122811","1009801","-220","0.2","1009801082"
"","2","2","0.33","545","","122911","1009801","-250","0.2","1009801083"
"","22","","","0","0.2","0","1009801","1","","1009801084"
"","103","","","1009801088","","怪獣の赤ちゃん。","1009801","0","","1009801085"
"","103","","","1009801102","","おっきなナメクジ。","1009801","0","","1009801086"
"","103","","","1009801115","","毒のある生き物。","1009801","0","","1009801087"
"","3","1","lsv_idle_normal","lsv_choice","0","122711","1009801","0","0.2","1009801088"
"","3","1","lsv_idle_normal","lsv_choice","0","122811","1009801","0","0.2","1009801089"
"","3","1","lsv_idle_normal","lsv_choice","0","122911","1009801","0","0.2","1009801090"
"","93","","","0","","0.1","1009801","","","1009801091"
"","2","2","0.33","-200","","122711","1009801","-235","0.2","1009801092"
"","2","2","0.33","100","","122811","1009801","-220","0.2","1009801093"
"","2","2","0.33","270","","122911","1009801","-250","0.2","1009801094"
"","93","","","0","","0.7","1009801","","","1009801095"
"","3","","","lsv_talk_wish_joy","0.2","122911","1009801","1","","1009801096"
"","21","","0","vo_lsv_0132","","vo_lsv","1009801","0","","1009801097"
"0","11","1","1","怪獣さんっ？\nきっと、おっきくなるね～♪\nお城よりもおっきくなるかな？","0","122911","1009801","10","0","1009801098"
"","91","","","","","0","1009801","","","1009801099"
"","3","","","lsv_idle_normal","0.2","122911","1009801","1","","1009801100"
"","101","","","","","1009801129","1009801","","","1009801101"
"","3","1","lsv_idle_normal","lsv_choice","0","122711","1009801","0","0.2","1009801102"
"","3","1","lsv_idle_normal","lsv_choice","0","122811","1009801","0","0.2","1009801103"
