5b2e590a701300ec559a710ece7208a57b5f26dddef030cea7a3d68db3ce5a9b,11a25510d5be75eb5affa3f8bf98c31ac50f47c2591071d92186e2c8a6d0ef77,83c6c2e179b293c01b10ab65561fc024298ae44e89ec6e986e405ef923176fae,98c6119bfb0122e2e0d592bfe2b38719a2151ede3f4ed12537e593e244921dd9,4c61749f2ae5f30762ecad7da0ef510eb4763d8f06dc547f08c1cd14660a954b,544a9fbc93bec4380a1dade3536db70516d34cc0afc2bbeb5b1bf476fffe8540,931d2e58fdbd4a4a408f2dcdd7d801e14f15a01aebe31225ffcf32939d599b37,30281ab8c0b7f4dca9728e4d0490702391b5a24f0f0f958a7b9490a3a986607f,777d6286a9818aea356bc87c3f6c2a955365ad214ea41a3581e72d7fc57d48f9
"7","20","1","22","15","10701","1","53002","15"
"7","22","2","22","14","10702","1","53002","14"
"7","24","3","22","13","10703","2","53002","13"
"7","26","4","22","12","10704","2","53002","12"
"7","28","5","22","11","10705","3","53002","11"
"7","30","6","22","10","10706","3","53002","10"
"7","32","7","22","9","10707","4","53002","9"
"7","34","8","22","8","10708","4","53002","8"
"7","36","9","22","7","10709","5","53002","0"
"8","20","1","22","15","10801","1","53002","15"
"8","22","2","22","14","10802","1","53002","14"
"8","24","3","22","13","10803","2","53002","13"
"8","26","4","22","12","10804","2","53002","12"
"8","28","5","22","11","10805","3","53002","11"
"8","30","6","22","10","10806","3","53002","10"
"8","32","7","22","9","10807","4","53002","9"
"8","34","8","22","8","10808","4","53002","8"
"8","36","9","22","7","10809","5","53002","0"
"9","20","1","22","15","10901","1","53002","15"
"9","22","2","22","14","10902","1","53002","14"
"9","24","3","22","13","10903","2","53002","13"
"9","26","4","22","12","10904","2","53002","12"
"9","28","5","22","11","10905","3","53002","11"
"9","30","6","22","10","10906","3","53002","10"
"9","32","7","22","9","10907","4","53002","9"
"9","34","8","22","8","10908","4","53002","8"
"9","36","9","22","7","10909","5","53002","0"
