9e601b0038445261e49f484763719cd0beabcaecfc6c685150a9a303bf5155ab,49a6ff381eebf9aac87d2021e66287ac6c52b9cdaff735b8f34248a698710d79,71e53940b5295b324357e4ea25b92184b041c78957f1fa4b3de7025f5ddd72be,e3bede4c818a5f71c76bae4e4bb807ead20439d1b504f53fb39e581588f808c0,ebfc09777931f55b4ce8e547ce651f09163da31650c2b85d60892d1bc00b4a6c,4ec2b0fef1205f6caee6996be03c08bc577a34ba3ad96cac98248f789c924715,714fae2d3edaf5c8e42100be52c48012c803446b0d016485e692770634966168,5f7305349562c44f108a490e561ea148b6d41b998263ae48fb5a9d9dc678bc6c,926747fec25e3fcb59fc0adee6c6bc90fb9b121600ebe4575a7cc2d12aaa42ca,fbaffd017f775d82d2da3eb62d6393662117592a3b99fc3d8b843517e31bfa8e,f72c73af228a95c8a05120892b9494b4539e1824c651f6c129a377dab260449a,6238c382830b2c9f42e219734c78d0a18d563f3d6f43049d9a0e82942251df7c,fd300fba901d833389e852da83e82917617350a7d9c2b3146362995c3a3e7f14,cecacd6d2524e34c5e3ec3a689a0f0a8c75449dd379f3e125179eeacb004c8af,53afdab43c0aa1b7d0685ddd3e5376173825311110e74d233b03dfd36ad56c4e,d9fabdfd227a09d0f345a8eed2aa9496ad9161f693b022f285da63a65d0bf9e7
"455","201","1","101","980","301","2","1","70","2","401","501","1008201","3","215","-110"
"230","202","2","102","515","302","2","1","70","2","402","502","1008202","3","215","-110"
"230","203","3","103","515","303","1","1","70","2","403","503","1008203","3","215","-110"
"230","204","4","104","515","304","1","1","70","2","404","504","1008204","3","215","-110"
"355","205","5","105","787","305","2","1","78","2","405","505","1008205","3","233","-110"
"355","206","6","106","787","306","3","1","78","2","406","506","1008206","3","233","-110"
"345","207","7","107","777","307","3","1","88","2","407","507","1008207","3","233","-110"
"345","208","8","108","777","308","1","1","88","2","408","508","1008208","3","233","-110"
"345","209","9","109","777","309","1","1","88","2","409","509","1008209","3","233","-110"
"355","210","10","110","810","310","3","1","88","2","410","510","1008210","3","233","-110"
"345","211","11","111","777","311","2","1","88","2","411","511","1008211","3","233","-110"
"230","212","12","112","515","312","2","1","70","2","412","512","1008212","3","215","-110"
"355","213","13","113","810","313","1","1","78","2","413","513","1008213","3","233","-110"
"230","214","14","114","515","314","1","1","70","2","414","514","1008214","3","215","-110"
"230","215","15","115","515","315","3","1","70","2","415","515","1008215","3","215","-110"
"275","216","16","116","655","316","2","1","70","2","416","516","1008216","3","215","-110"
"230","217","17","117","515","317","3","1","70","2","417","517","1008217","3","215","-110"
"345","218","18","118","777","318","3","1","88","2","418","518","1008218","3","233","-110"
