a36ee370f986f1bcd271d6faee9f2e87188c5066c9c6880c02ba460ecbdedd2b,f2c580a25a51b4ed47b0a40dac1427aa4ca9364611f5ef7cb89e56f7e669ec7d,767132435c7026bdb61d4a252ea9bf9cde98f68b81f1a024dc1165a2ae0de570,e925d4dea7656de6b8fd6c14caf43d09255423b1d5a33fca44d1cadbff2028af,1ade4480a5fdcb9473fb4facd658466cd60cfb511774f16799f80ed963465611,a8474f81bf18b1ed710b4c5a67ff46107bf37fbf83d77110b8c32b2385acb56f,0f3f420eaa5a9e361ca9db6e2f1e9b5bbbc482525c16530cfbd30d0557a553dd,0c453073002f63b158bb60a1e5f06ccdd8963da32b2a9018b5ccbb9fa6e07874,1fd8183cd71ff93d37811ad31149bff51a72e378d1d949e217ebfd1098e1b251,fa4571809ab718e1180f4b994d91b7736a3476af4096d6548f32cc01b3089d02,170c4d6b888c1905ae1c7ada9c81e15ccfa71d69dfe5900d37af2abe57a8b27a
"se_10053800","","101","23","","11010001","","","","se_fpc_water_random",""
"1","23","101","1","-850","11010002","1.75","cmn_swm_tread","-180","<unit_id>","0"
"1","22","101","5","-850","11010003","1.75","cmn_swm_tread_pink","-180","1","0"
"3","-850","101","31","-180","11010004","1","","1","3",""
"0","","101","91","","11010005","","","","0",""
"<unit_id>","-180","101","2","10","11010006","","","","850",""
"1","-180","101","2","10","11010007","","","","850",""
"3","-180","101","33","10","11010008","","","","850",""
"se_10053800","","102","23","","11020001","","","","se_fpc_water_random",""
"1","23","102","1","-850","11020002","1.75","cmn_swm_tread","-180","<unit_id>","0"
"1","22","102","5","-850","11020003","1.75","cmn_swm_tread_blue","-180","1","0"
"3","-850","102","31","-180","11020004","1","","1","3",""
"0","","102","91","","11020005","","","","0",""
"<unit_id>","-180","102","2","10","11020006","","","","850",""
"1","-180","102","2","10","11020007","","","","850",""
"3","-180","102","33","10","11020008","","","","850",""
"se_10053800","","103","23","","11030001","","","","se_fpc_water_random",""
"1","23","103","1","-850","11030002","1.75","cmn_swm_tread","-180","<unit_id>","0"
"1","22","103","5","-850","11030003","1.75","cmn_swm_tread","-180","1","0"
"3","-850","103","31","-180","11030004","1","","1","3",""
"0","","103","91","","11030005","","","","0",""
"<unit_id>","-180","103","2","10","11030006","","","","850",""
"1","-180","103","2","10","11030007","","","","850",""
"3","-180","103","33","10","11030008","","","","850",""
"se_10053800","","151","23","","11510001","","","","se_fpc_water_random",""
"1","22","151","1","-850","11510002","1.75","cmn_swm_flutterKick","-180","<unit_id>","0"
"1","-850","151","31","-180","11510003","1","","1","1",""
"0","","151","91","","11510004","","","","0",""
"<unit_id>","-180","151","2","10","11510005","","","","1050",""
"1","-180","151","33","10","11510006","","","","1050",""
"se_10053800","","201","23","","12010001","","","","se_fpc_water_random",""
"1","22","201","1","-850","12010002","1.75","cmn_swm_breastStroke","-180","<unit_id>","0"
"2","-850","201","31","-180","12010003","1","","1","2",""
"0","","201","91","","12010004","","","","0",""
"<unit_id>","-180","201","2","10","12010005","","","","850",""
"2","-180","201","33","10","12010006","","","","850",""
"se_10053800","","251","23","","12510001","","","","se_fpc_water_random",""
"1","22","251","1","-850","12510002","1.75","cmn_swm_diving","-180","<unit_id>","0"
"9","-850","251","31","-180","12510003","1","","1","9",""
"0","","251","91","","12510004","","","","0",""
"<unit_id>","-180","251","2","10","12510005","","","","850",""
"9","-180","251","33","10","12510006","","","","850",""
"se_10053800","","301","23","","13010001","","","","se_fpc_water_random",""
"1","23","301","1","-850","13010002","1.75","cmn_swm_flutterKick_floatRing","-180","<unit_id>","0"
"1","22","301","5","-850","13010003","1.75","cmn_swm_flutterKick_floatRing_pink","-180","1","0"
"1","-850","301","31","-180","13010004","1","","1","1",""
"0","","301","91","","13010005","","","","0",""
"<unit_id>","-180","301","2","10","13010006","","","","1050",""
"1","-180","301","2","10","13010007","","","","1050",""
"1","-180","301","33","10","13010008","","","","1050",""
"se_10053800","","302","23","","13020001","","","","se_fpc_water_random",""
"1","23","302","1","-850","13020002","1.75","cmn_swm_flutterKick_floatRing","-180","<unit_id>","0"
"1","22","302","5","-850","13020003","1.75","cmn_swm_flutterKick_floatRing_blue","-180","1","0"
"1","-850","302","31","-180","13020004","1","","1","1",""
"0","","302","91","","13020005","","","","0",""
"<unit_id>","-180","302","2","10","13020006","","","","1050",""
"1","-180","302","2","10","13020007","","","","1050",""
"1","-180","302","33","10","13020008","","","","1050",""
"se_10053800","","303","23","","13030001","","","","se_fpc_water_random",""
"1","23","303","1","-850","13030002","1.75","cmn_swm_flutterKick_floatRing","-180","<unit_id>","0"
"1","22","303","5","-850","13030003","1.75","cmn_swm_flutterKick_floatRing","-180","1","0"
"1","-850","303","31","-180","13030004","1","","1","1",""
"0","","303","91","","13030005","","","","0",""
"<unit_id>","-180","303","2","10","13030006","","","","1050",""
"1","-180","303","2","10","13030007","","","","1050",""
"1","-180","303","33","10","13030008","","","","1050",""
"se_10053800","","351","23","","13510001","","","","se_fpc_water_random",""
"1","23","351","1","-850","13510002","1.75","cmn_swm_flutterKick_floatRing","-180","<unit_id>","0"
"1","22","351","5","-850","13510003","1.75","cmn_swm_flutterKick_floatBoad","-180","1","0"
"1","-850","351","31","-180","13510004","1","","1","1",""
"0","","351","91","","13510005","","","","0",""
"<unit_id>","-180","351","2","10","13510006","","","","1050",""
"1","-180","351","2","10","13510007","","","","1050",""
"1","-180","351","33","10","13510008","","","","1050",""
"se_10053800","","352","23","","13520001","","","","se_fpc_water_random",""
"1","23","352","1","-850","13520002","1.75","cmn_swm_flutterKick_floatRing","-180","<unit_id>","0"
"1","22","352","5","-850","13520003","1.75","cmn_swm_flutterKick_floatBoad_blue","-180","1","0"
"1","-850","352","31","-180","13520004","1","","1","1",""
"0","","352","91","","13520005","","","","0",""
"<unit_id>","-180","352","2","10","13520006","","","","1050",""
"1","-180","352","2","10","13520007","","","","1050",""
"1","-180","352","33","10","13520008","","","","1050",""
"se_10053800","","401","23","","14010001","","","","se_fpc_water_random",""
"1","22","401","1","-850","14010002","1.75","cmn_float","-180","<unit_id>","0"
"6","-850","401","31","-180","14010003","1","","1","6",""
"0","","401","91","","14010004","","","","0",""
"<unit_id>","-180","401","2","10","14010005","","","","1050",""
"6","-180","401","33","10","14010006","","","","1050",""
"se_10053800","","402","23","","14020001","","","","se_fpc_water_random",""
"1","22","402","1","-850","14020002","1.75","cmn_float_4","-180","<unit_id>","0"
"6","-850","402","31","-180","14020003","1","","1","6",""
"0","","402","91","","14020004","","","","0",""
"<unit_id>","-180","402","2","10","14020005","","","","1050",""
"6","-180","402","33","10","14020006","","","","1050",""
"se_10053800","","451","23","","14510001","","","","se_fpc_water_random",""
"1","22","451","1","-850","14510002","1.75","cmn_crawl","-180","<unit_id>","0"
"1","-850","451","31","-180","14510003","1","","1","1",""
"0","","451","91","","14510004","","","","0",""
"<unit_id>","-180","451","2","10","14510005","","","","1050",""
"1","-180","451","33","10","14510006","","","","1050",""
"se_10053800","","501","23","","15010001","","","","se_fpc_water_random",""
"1","45","501","1","-850","15010002","1.75","cmn_surfing","-250","<unit_id>","0"
"6","44","501","5","-850","15010003","1.75","cmn_surfing","-250","6","0"
"11","-850","501","31","-250","15010004","1","","1","11",""
"0","","501","91","","15010005","","","","0",""
"<unit_id>","-250","501","2","6","15010006","","","","1800",""
"6","-250","501","2","6","15010007","","","","1800",""
"11","-250","501","33","6","15010008","","","","1800",""
"se_10053800","","501","23","","15010009","","","","se_10053800_surfing_wave",""
"se_10053800","","851","23","","18510001","","","","se_fpc_water_random",""
"1","45","851","1","-850","18510002","1.75","cmn_surfing","-125","107511","0"
"1","45","851","1","-1100","18510003","1.75","cmn_surfing","-250","107611","0"
"1","45","851","1","-1350","18510004","1.75","cmn_surfing","-125","107811","0"
"6","44","851","5","-850","18510005","1.75","cmn_surfing","-125","1","0"
"6","44","851","5","-1100","18510006","1.75","cmn_surfing","-250","2","0"
"6","44","851","5","-1350","18510007","1.75","cmn_surfing","-125","3","0"
"11","-850","851","31","-125","18510008","1","","1","1",""
"11","-1100","851","31","-250","18510009","1","","1","2",""
"11","-1350","851","31","-125","18510010","1","","1","3",""
"107511","-125","851","2","6","18510011","","","","2350",""
"107611","-250","851","2","6","18510012","","","","2100",""
"107811","-125","851","2","6","18510013","","","","1850",""
"1","-125","851","2","6","18510014","","","","2350",""
"2","-250","851","2","6","18510015","","","","2100",""
"3","-125","851","2","6","18510016","","","","1850",""
"1","-125","851","33","6","18510017","","","","2350",""
"2","-250","851","33","6","18510018","","","","2100",""
"3","-125","851","33","6","18510019","","","","1850",""
"se_10053800","","851","23","","18510020","","","","se_10053800_surfing_wave",""
"0.3","","851","93","","18510021","","","","",""
"vo_fpc","","851","21","0","18510022","","","","vo_fpc_85101",""
"se_10053800","","852","23","","18520001","","","","se_fpc_water_random",""
"1","13","852","1","-850","18520002","1.75","cmn_swm_flutterKick_floatRing","-125","122411","0"
"1","33","852","1","-1100","18520003","1.75","cmn_swm_flutterKick_floatRing","-250","122511","0"
"1","13","852","1","-1350","18520004","1.75","cmn_swm_flutterKick_floatRing","-125","122611","0"
"1","12","852","5","-850","18520005","1.75","cmn_swm_flutterKick_floatRing","-125","1","0"
"1","32","852","5","-1100","18520006","1.75","cmn_swm_flutterKick_floatRing_blue","-250","2","0"
"1","12","852","5","-1350","18520007","1.75","cmn_swm_flutterKick_floatRing_pink","-125","3","0"
"7","-850","852","31","-125","18520008","1","","1","1",""
"1","-1100","852","31","-250","18520009","1","","1","2",""
"7","-1350","852","31","-125","18520010","1","","1","3",""
"122411","-125","852","2","10","18520011","","","","1750",""
"122511","-250","852","2","10","18520012","","","","1500",""
"122611","-125","852","2","10","18520013","","","","1250",""
"1","-125","852","2","10","18520014","","","","1750",""
"2","-250","852","2","10","18520015","","","","1500",""
"3","-125","852","2","10","18520016","","","","1250",""
"1","-125","852","33","10","18520017","","","","1750",""
"2","-250","852","33","10","18520018","","","","1500",""
"3","-125","852","33","10","18520019","","","","1250",""
"se_10053800","","853","23","","18530001","","","","se_fpc_water_random",""
"1","12","853","1","-850","18530002","1.75","cmn_swm_breastStroke","-125","117211","0"
"1","32","853","1","-1100","18530003","1.75","cmn_swm_breastStroke","-250","117311","0"
"1","12","853","1","-1350","18530004","1.75","cmn_swm_breastStroke","-125","117411","0"
"2","-850","853","31","-125","18530005","1","","1","1",""
"2","-1100","853","31","-250","18530006","1","","1","2",""
"2","-1350","853","31","-125","18530007","1","","1","3",""
"117211","-125","853","2","10","18530008","","","","1750",""
"117311","-250","853","2","10","18530009","","","","1500",""
"117411","-125","853","2","10","18530010","","","","1250",""
"1","-125","853","33","10","18530011","","","","1750",""
"2","-250","853","33","10","18530012","","","","1500",""
"3","-125","853","33","10","18530013","","","","1250",""
"se_10053800","","854","23","","18540001","","","","se_fpc_water_random",""
"1","13","854","1","-850","18540002","1.75","cmn_swm_flutterKick_floatRing","-125","122711","0"
"1","33","854","1","-1100","18540003","1.75","cmn_swm_flutterKick_floatRing","-250","122811","0"
"1","13","854","1","-1350","18540004","1.75","cmn_swm_flutterKick_floatRing","-125","122911","0"
"1","12","854","5","-850","18540005","1.75","cmn_swm_flutterKick_floatBoad","-125","1","0"
"1","32","854","5","-1100","18540006","1.75","cmn_swm_flutterKick_floatBoad_blue","-250","2","0"
"1","12","854","5","-1350","18540007","1.75","cmn_swm_flutterKick_floatBoad","-125","3","0"
"7","-850","854","31","-125","18540008","1","","1","1",""
"1","-1100","854","31","-250","18540009","1","","1","2",""
"7","-1350","854","31","-125","18540010","1","","1","3",""
"122711","-125","854","2","10","18540011","","","","1750",""
"122811","-250","854","2","10","18540012","","","","1500",""
"122911","-125","854","2","10","18540013","","","","1250",""
"1","-125","854","2","10","18540014","","","","1750",""
"2","-250","854","2","10","18540015","","","","1500",""
"3","-125","854","2","10","18540016","","","","1250",""
"1","-125","854","33","10","18540017","","","","1750",""
"2","-250","854","33","10","18540018","","","","1500",""
"3","-125","854","33","10","18540019","","","","1250",""
"se_10053800","","855","23","","18550001","","","","se_fpc_water_random",""
"1","13","855","1","-850","18550002","1.75","cmn_swm_flutterKick_floatRing","-125","113411","0"
"1","33","855","1","-1100","18550003","1.75","cmn_swm_flutterKick_floatRing","-250","113511","0"
"1","12","855","5","-850","18550004","1.75","cmn_swm_flutterKick_floatBoad","-125","1","0"
"1","32","855","5","-1100","18550005","1.75","cmn_swm_flutterKick_floatBoad_blue","-250","2","0"
"7","-850","855","31","-125","18550006","1","","1","1",""
"1","-1100","855","31","-250","18550007","1","","1","2",""
"113411","-125","855","2","10","18550008","","","","1750",""
"113511","-250","855","2","10","18550009","","","","1500",""
"1","-125","855","2","10","18550010","","","","1750",""
"2","-250","855","2","10","18550011","","","","1500",""
"1","-125","855","33","10","18550012","","","","1750",""
"2","-250","855","33","10","18550013","","","","1500",""
"se_10053800","","856","23","","18560001","","","","se_fpc_water_random",""
"1","13","856","1","-850","18560002","1.75","cmn_swm_tread","-125","110311","0"
"1","33","856","1","-1100","18560003","1.75","cmn_swm_tread","-250","107711","0"
"1","12","856","5","-850","18560004","1.75","cmn_swm_tread_pink","-125","1","0"
"1","32","856","5","-1100","18560005","1.75","cmn_swm_tread","-250","2","0"
"13","-850","856","31","-125","18560006","1","","1","1",""
"3","-1100","856","31","-250","18560007","1","","1","2",""
"110311","-125","856","2","13.5","18560008","","","","1750",""
"107711","-250","856","2","13.5","18560009","","","","1500",""
"1","-125","856","2","13.5","18560010","","","","1750",""
"2","-250","856","2","13.5","18560011","","","","1500",""
"1","-125","856","33","13.5","18560012","","","","1750",""
"2","-250","856","33","13.5","18560013","","","","1500",""
"se_10053800","","857","23","","18570001","","","","se_fpc_water_random",""
"1","13","857","1","-850","18570002","1.75","cmn_swm_tread","-125","110411","0"
"1","33","857","1","-1100","18570003","1.75","cmn_swm_tread","-250","110511","0"
