f016410917a598aac65f7dee2064eb05e707de037085493b732af66afedf9207,f523330c614d942683db0391736ddc7d8906391b6cddb02e4025f9bc89e1b5d6,2a75f0d2265f58e68024702ca9fe9f14c839725a416e6c040b43edbfe94e4870,a177721149de62c103d21d35043936ba71d5ba6791d6381e6d2d239d746c6928,1736cd728cb63f821e803621069375abc1daf771bb6e6b288d22bc3cb1f62fd0,7b5e9f4e847a49abd92855e5c667f95af6470760ad1b0d5d64ee0ac3e941b57d,d7c61bdc07d7b28e99b8d682138f63ce0b59b73e57853be902558e1c36db3d75,426bd661a39d0c6551645c3ea0ee1b9ebc6467ef5bafb6b79cfedcedf2075800,46966e6e52d760cfd0a607d389f3fbdf4993d0b24e546f246fbedbb632b43888,c6f6bfdb8e1bba2d7997b27d33a433b4fece74ca0c5464097f0baf38112673e8,5b7184949e88cbe5beb2b80e319b420f86b2b0511ea718771a16f2637a3bb1a4,e6febd97eb38f36b83a606c7ce5f757c23968377c67b6dae0de3e0771401c22b,ff433f2dd2358813eb236d6f3844f7064d35e3322fec6f8501b05e29eaac537a,5e789598731bd00526151c3808786ede99b2665d7f9ac0ccec2458f5472aa674
"いらっしゃいませっ♪\nキャラバンコインを使って\n買い物ができますよっ！","126401","1","1","0","2023/09/22 14:59:59","2002","2","-470","10001","1","クローチェ","1.47","2023/06/30 12:00:00"
"素敵な品が揃ってるので\nたーっくさん買っていって\nくださいねっ♪","126401","2","2","0","2023/09/22 14:59:59","2002","1","-470","10002","1","クローチェ","2.15","2023/06/30 12:00:00"
"ショップへようこそ\nキャラバンコインはこちら\nで買い物に使えますよ","126501","2","1","0","2023/09/22 14:59:59","2002","2","-470","10003","1","ライラエル","0","2023/06/30 12:00:00"
"こちらのショップで\n買い物をして、素敵な\n旅を楽しんでくださいね","126501","1","2","0","2023/09/22 14:59:59","2002","1","-470","10004","1","ライラエル","0","2023/06/30 12:00:00"
"いらっしゃいませ\nキャラバンコインを使って\nお買い物ができますよ","127702","2","1","0","2023/12/22 14:59:59","2002","2","-470","10005","2","リンド","0","2023/09/15 15:00:00"
"ショップの掃除は完璧です\n姫さま直営のお店として\n当然のことですから","127702","2","2","0","2023/12/22 14:59:59","2002","2","-470","10006","2","リンド","0","2023/09/15 15:00:00"
"ショップへようこそ\nキャラバンコインと品物を\n交換できるんで、よければ","127802","1","1","0","2023/12/22 14:59:59","2002","1","-470","10007","2","ヴルム","0","2023/09/15 15:00:00"
"なんで店番なんか…\nま、やりますけど\n好きな品物をどうぞ","127802","2","2","0","2023/12/22 14:59:59","2002","1","-470","10008","2","ヴルム","6.5","2023/09/15 15:00:00"
"──いらっしゃいませ\n買い物しても、いいですよ\nキャラバンコインがあれば","129602","2","1","0","2024/03/22 14:59:59","2002","1","-470","10009","3","アネモネ","0","2023/12/15 15:00:00"
"──もっと笑顔がほしい？\nいくらコインを積まれても\n売れない物はありますから","129602","2","2","0","2024/03/22 14:59:59","2002","1","-470","10010","3","アネモネ","0","2023/12/15 15:00:00"
"ようこそおいでなんし\nキャラバンコインをこちら\nで交換して進ぜんしょう","129701","1","1","0","2024/03/22 14:59:59","2002","1","-470","10011","3","ネフィ=ネラ","0","2023/12/15 15:00:00"
"ところで、お前さまは\nいくらで贖えるのか喃？\n──フフ、冗談でありんす","129701","2","2","0","2024/03/22 14:59:59","2002","1","-470","10012","3","ネフィ=ネラ","6.2","2023/12/15 15:00:00"
"い、いらっしゃいませっ！\n…くっ…このあたくし様が\n店番なんて…屈辱ですわっ","130301","3","1","0","2024/06/22 14:59:59","2002","5","-470","10013","4","カノン","3.1","2024/03/15 15:00:00"
"あら、あたくしをご所望？\nお生憎様、そんな小銭では\n…買えちゃうんですの！？","130301","3","2","0","2024/06/22 14:59:59","2002","2","-470","10014","4","カノン","6.15","2024/03/15 15:00:00"
"いらっしゃいませ～♪\nきゃらばんこいん？を\n交換できるんだってー","130401","2","1","0","2024/06/22 14:59:59","2002","2","-470","10015","4","ナーナ","0","2024/03/15 15:00:00"
"甘いのくれたら、\nお礼にナーナの拾った\n松ぼっくりあげちゃうよ！","130401","2","2","0","2024/06/22 14:59:59","2002","1","-470","10016","4","ナーナ","3.35","2024/03/15 15:00:00"
"ショップへようこそ\nこの鳳凰が、皆さんに\n祝福を差し上げましょう","130502","1","1","0","2024/09/22 14:59:59","2002","1","-470","10017","5","ホウオウ","0","2024/06/15 15:00:00"
"ほーちゃんと呼ぶ権利は\n売っていませんよ？\n騎士さんへの、特別です！","130502","2","2","0","2024/09/22 14:59:59","2002","1","-470","10018","5","ホウオウ","3.18","2024/06/15 15:00:00"
"うﾞぇぇえんっ！まﾞだごの\n格好になっぢゃいまじだ！\n寄付をお願いじまず～っ！","130503","4","3","0","2024/09/22 14:59:59","2002","4","-470","10019","5","ホウオウ","0","2024/06/15 15:00:00"
"おっすー♪\nなんでも交換してけー\nカリザきゅん以外で","123301","1","1","0","2024/09/22 14:59:59","2002","2","-470","10020","5","ネア","4.9","2024/06/15 15:00:00"
"ところで、騎士きゅんは\nおいくら万ルピ？\nジョーダンぬ・き・で♡","123301","1","2","0","2024/09/22 14:59:59","2002","2","-470","10021","5","ネア","4.8","2024/06/15 15:00:00"
"ケッ、なんでオレ様が店番\nなんざ…って来んなキイロ\nオレは売りモンじゃねー！","133301","3","1","0","2024/12/22 14:59:59","2002","1","-470","10022","6","カリザ","4.922","2024/09/15 15:00:00"
"い、言わなきゃダメか？\n「…いらっしゃいませ…」\nクソッ、笑うんじゃねー！","133301","3","2","0","2024/12/22 14:59:59","2002","5","-470","10023","6","カリザ","9.638","2024/09/15 15:00:00"
"ショップへようこそ～\nネラさまの腹心…的な私が\n店番させていただきま～す","133401","1","1","0","2024/12/22 14:59:59","2002","2","-470","10024","6","ミーア","2.88","2024/09/15 15:00:00"
"私の抜け殻とか、\n需要ありますかね～…\nって冗談ですよ、冗談！","133401","5","2","0","2024/12/22 14:59:59","2002","1","-470","10025","6","ミーア","4.818","2024/09/15 15:00:00"
