4d17e08c0de44f2e50258d50e0b77fb6372cd222e27bfcf5e6b3fc491c231c40,deab271065173d54a815dd8514090eb5c4fa3de1498b794ef999adb8810f54a5,3f4dda2aacb9e7aaa7b7b4c166f8b8d387dbc951b3645af60c588d6bba59b899,a1bca1928b990df098fc1721a69ba6a3712531afa9e94b75ee067e835e868667,14516e8f1d6251ec4c750839290c857f6f84bc2d8f1aa44744b7ad2e8760984b,688f810cf97d206e2a692a7420581fff09680c2be40935314c4f61875d4469ee,fab4e24d340702a3dc0228e5251723ed5fb049c676d3ea7d945e2a610ce643a1,297d4051889474bc82a3cece08e6020b3c10cb4ff7adc455a3f5a2af6b60fa01,08f6003eb25ddd914792eb81678a82e1fe699e03b33b40fda700aa2188f8b7ba,7fb00373c59a96ee08340fe49787b858ba9e2de953c3a2c4f56f9294eb51bef7,9df9d8cd4b420c2a475b266042b353a9e94b503e2e0194bd4a17ecd31e37bea2,35c53b1de5b49425785bbba8f69e31c743c09a03b88ae108338664c323ccb8c0,3ea76ffd2d270c4b664be654027c87960a540d04cbe91c79295c3cad7e047f3e,1697e5864b78c0ca063754b11ee663e2748a3accb1c8718c671685797881530a,4bea9d5d7371629bae12e56ae68e1e117c3494c060564e7cc4f57d8103f3fbe0
"2001","2","1","1","0","7","20011","20012","0","0","0","0","0","40001","1"
"2002","2","1","1","0","7","20021","20022","0","0","0","0","0","40001","1"
"2003","2","1","1","0","7","20031","20032","0","0","0","0","0","40001","1"
"2004","2","1","1","0","7","20041","20042","0","0","0","0","0","40001","1"
"2005","2","1","1","0","7","20051","20052","0","0","0","0","0","40001","1"
"2006","2","1","1","0","7","20061","20062","0","0","0","0","0","40001","1"
"2007","2","1","1","0","7","20071","20072","0","0","0","0","0","40001","1"
"2008","2","1","1","0","7","20081","20082","0","0","0","0","0","40001","1"
"2009","2","1","1","0","7","20091","20092","0","0","0","0","0","40001","1"
"2010","2","1","1","0","7","20101","20102","0","0","0","0","0","40001","1"
"2011","2","1","1","0","7","20111","20112","0","0","0","0","0","40001","1"
"2012","2","1","1","0","7","20121","20122","0","0","0","0","0","40001","1"
"2013","2","1","1","0","7","20131","20132","0","0","0","0","0","40001","1"
"2014","2","1","1","0","7","20141","20142","0","0","0","0","0","40001","1"
"2015","2","1","1","0","7","20151","20152","0","0","0","0","0","40001","1"
"2016","2","1","1","0","7","20161","20162","0","0","0","0","0","40001","1"
"2017","2","1","1","0","7","20171","20172","0","0","0","0","0","40001","1"
"2018","2","1","1","0","7","20181","20182","0","0","0","0","0","40001","1"
"2019","2","1","1","0","7","20191","20192","0","0","0","0","0","40001","1"
"2020","2","1","1","0","7","20201","20202","0","0","0","0","0","40001","1"
"2021","2","1","1","0","7","20211","20212","0","0","0","0","0","40001","1"
"2022","2","1","1","0","7","20221","20222","0","0","0","0","0","40001","1"
"2023","2","1","1","0","7","20231","20232","0","0","0","0","0","40001","1"
"2024","2","1","1","0","7","20241","20242","0","0","0","0","0","40001","1"
"2025","2","1","1","0","7","20251","20252","0","0","0","0","0","40001","1"
"2026","2","1","1","0","7","20261","20262","0","0","0","0","0","40001","1"
"2027","2","1","1","0","7","20271","20272","0","0","0","0","0","40001","1"
"2028","2","1","1","0","7","20281","20282","0","0","0","0","0","40001","1"
"3001","1","1","1","40","7","30011","30012","0","0","0","0","0","40001","1"
"3002","1","1","5","40","7","30021","30022","0","0","0","0","0","40001","1"
"3003","1","1","6","40","7","30031","30032","0","0","0","0","0","40001","1"
"3004","1","1","6","-58","0","30041","30042","0","0","0","0","0","40001","2"
"3005","1","1","1","-42","-20","30051","30052","0","0","0","0","0","40001","1"
"3006","1","1","5","-42","-20","30061","30062","0","0","0","0","0","40001","1"
"3007","1","1","1","0","40","30071","30072","0","0","0","0","0","40001","1"
"3008","1","1","5","0","40","30081","30082","0","0","0","0","0","40001","1"
"3009","1","1","6","0","40","30091","30092","0","0","0","0","0","40001","1"
"4001","1","2","1","0","0","40011","40012","0","0","0","0","0","40001","1"
"4002","1","2","5","0","0","40021","40022","0","0","0","0","0","40001","1"
"4005","1","2","1","0","0","40051","40052","0","0","0","0","0","40001","1"
"4006","1","2","5","0","0","40061","40062","0","0","0","0","0","40001","1"
"4007","1","2","6","0","0","40071","40072","0","0","0","0","0","40001","2"
"4009","1","2","6","0","0","40091","40092","0","0","0","0","0","40004","2"
"4010","1","2","1","0","0","40101","40102","0","0","0","0","0","40004","1"
"4011","1","2","5","0","0","40111","40112","0","0","0","0","0","40004","1"
"4012","1","2","6","0","0","40121","40122","0","0","0","0","0","40001","1"
"4013","1","2","1","0","0","40131","40132","0","0","0","0","0","40004","1"
"4014","1","2","5","0","0","40141","40142","0","0","0","0","0","40004","1"
"4015","1","2","6","0","0","40151","40152","0","0","0","0","0","40001","1"
"4016","1","2","1","0","0","40161","40162","0","0","0","0","0","40004","1"
"4017","1","2","5","0","0","40171","40172","0","0","0","0","0","40004","1"
"4018","1","2","6","0","0","40181","40182","0","0","0","0","0","40001","1"
