46ecafcb513a92d264ad3135961a979799c12847f52f0d9ed3e15e5b33f58095,c6323fbfc6fa52bcbe1dbbae0f9aa997e615a26098ccbce5d5fdb86ed3d149bd,99255866d7ff99056829a73c0077175be965b1dbedbaff4e79f8afb43bbdd88b,aab40fc63769cd49d989321072309304e661f1a44ce8e34d18682664a0528fae,ac99b5871f9b7da9b435f4c4b5f1ae3fc004131dd1cecb7422d9a0eed4d82c4b,a62bf00c4cd9997d87df0ba059a1d2725aa24505b4873921cd01456fef49bb69,87b436019e099f5d660c18a4257bfcb4894d39b18952d5eab9b78968cabf9ab2,ad4a22acd2182effe6100d0b6926ebcf76923a6d7e913b72118c7a5e75f852c3,b54743731ffbc6c7d1d55a1b4d7012c66f62d4e4636074ae3a716c7568e1e8f3,f9591dfb2e2e18b8189768a1ca976c7c63729339c9bdbe57bc40f48462ea7dcd
"1","3000","2","訓練はまだ\nここからですわ","vo_minigame_1013_icon_1_002_001","調子が上がって\nきたなっ","2","vo_minigame_1013_icon_2_002_001","2","1000"
"2","3000","2","クスクス、悪くない\n流れですわね","vo_minigame_1013_icon_1_003_001","ほらほら、\nまだいけるだろ？","2","vo_minigame_1013_icon_2_003_001","2","5000"
"3","3000","2","すばらしい\n記録ですわ","vo_minigame_1013_icon_1_004_001","へへっ、おまえら\nやるじゃねえか！","3","vo_minigame_1013_icon_2_004_001","2","10000"
"4","3000","3","乗りに乗って\nいますわね","vo_minigame_1013_icon_1_005_001","あたしたちはまだ\n止まらねえぜ！","3","vo_minigame_1013_icon_2_005_001","2","10000"
"5","3000","3","まだまだ行きます\nついてきなさい","vo_minigame_1013_icon_1_005_002","見てろよ！\nマコト班の快進撃だ！","3","vo_minigame_1013_icon_2_005_002","2","10000"
"6","3000","3","エリコ班の\n本領発揮ですわ！","vo_minigame_1013_icon_1_005_003","うおぉぉっ！\n絶好調だぜ！","3","vo_minigame_1013_icon_2_005_003","2","10000"
"7","3000","4","ここからは\n前人未到の領域です！","vo_minigame_1013_icon_1_006_001","どこまで行けるか\n楽しみだなっ！","3","vo_minigame_1013_icon_2_006_001","2","0"
"8","1000","5","厄介でしたわ…","vo_minigame_1013_icon_1_007_001","まだ諦めんなよっ","4","vo_minigame_1013_icon_2_007_001","3","1"
"9","1000","5","油断大敵です","vo_minigame_1013_icon_1_007_002","冷やっとしたぜ…！","4","vo_minigame_1013_icon_2_007_002","3","1"
"10","1000","5","忌々しいっ…","vo_minigame_1013_icon_1_007_003","弱音を吐くなっ","4","vo_minigame_1013_icon_2_007_003","3","1"
"11","1500","6","大所帯ですわね","vo_minigame_1013_icon_1_008_001","マコト班集合！","3","vo_minigame_1013_icon_2_008_001","4","99"
"12","1500","6","エリコ班へようこそ","vo_minigame_1013_icon_1_008_002","連携してくぞ！","3","vo_minigame_1013_icon_2_008_002","4","99"
"13","3000","8","ナナカちゃんに\nお任せあれ","vo_minigame_1013_icon_1_020_001","みんなに力を！","6","vo_minigame_1013_icon_2_020_001","1","0"
"14","3000","9","はっはっは！\n任せろ！","vo_minigame_1013_icon_1_022_001","任せてくれたまえ","7","vo_minigame_1013_icon_2_022_001","1","0"
"15","3000","10","どんどんいくわよ","vo_minigame_1013_icon_1_023_001","ほな、いきまひょか","8","vo_minigame_1013_icon_2_023_001","1","0"
