9f63ac35e657ffe4a9b4fd6d2952500113e3431d9f27c9c09dce63972c1908f5,62f6cd48557b3a8e57844f60b03422d68917d123bd077c32dc9395e40da717a4,3d9f04ee4503eb4ee48db51f87b5d9553ae70bf9f3ebc556aa1f0599e8b4d515,6096b6954e9ec25c3aaee73ace24b79f8329c987ecad61b86fe8c35dc3524351
"4301511","1","18","1"
"4301512","2","18","1"
"4301513","3","18","1"
"4301514","4","18","1"
"4301515","5","18","1"
"26202","6","2","1"
"4302511","1","18","2"
"4302512","2","18","2"
"4302513","3","18","2"
"4302514","4","18","2"
"4302515","5","18","2"
"26202","6","2","2"
"4303511","1","18","3"
"4303512","2","18","3"
"4303513","3","18","3"
"4303514","4","18","3"
"4303515","5","18","3"
"26202","6","2","3"
"4304511","1","18","4"
"4304512","2","18","4"
"4304513","3","18","4"
"4304514","4","18","4"
"4304515","5","18","4"
"26202","6","2","4"
"4305511","1","18","5"
"4305512","2","18","5"
"4305513","3","18","5"
"4305514","4","18","5"
"4305515","5","18","5"
"26202","6","2","5"
