0f73206687f40266217e5d84dc08d91ce3b74be25c2f90d14b6fa74578d12121,e611a8d5f0cc504ccc79ef2abe074622cb30ceaf857e857c960fffd925299b0e,77cbb35cde72ede9e958a30c283473e765fd10e4ea295bf782486c282924e679,278d4eacf5a7bf87c75d2b9a349234d30172c6770ac14cd8138ca447f6ce80d8,cc06ae265eae84106e927b60cc660021905ecc1523e74e0e5446f1ab7b475ce6,9fb7f52affecce5a9feb3043b98785dd6f3eb906b160836c7a437191096d5f95,95c1f1043411adbafc173677952a649b04aeb9850b98ac22ae26f007cae0cfff,9f0fb4b9aaa98a1d7170b373d0ec8284c4bdb9fc101144b334e0381056b28e2e,00f7cd6242897748ddc176cad5515a967bad197dedefab35ffe5eb4b9ce7b88d,d4e9b9043326c0c45c6aed5c42d36cf954e1cd37eab322808547ebe7f6ffa519,a348c68d4d7d8b077ea7e3a8a5f89f2e91ad4092177f3341b0706805938f509d,2f58116ba2b070cf3168fa94a5942d73e5e1cbaecb6c6043aa28c336de65858d,1c97a91e9f81f54a3fa52365686dac162a35400d0f7261a0e84dbc951103193e,5609133051e8cdd8d1c5a7dc0031ca6836fdb66e0d870badfb8719050edbdeb5,11eb7f1251aa3ef6b95905e109469a913954dbfb530df5077cb39ad27bd6ed97,0e5d9dd1cdc3f061633db9e84e73491997ce11b8e1228f402e0dd4d9bba52932
"1008201","201","3","455","1","215","301","401","-110","1","70","2","501","101","2","980"
"1008202","202","3","230","1","215","302","402","-110","2","70","2","502","102","2","515"
"1008203","203","3","230","1","215","303","403","-110","3","70","1","503","103","2","515"
"1008204","204","3","230","1","215","304","404","-110","4","70","1","504","104","2","515"
"1008205","205","3","355","1","233","305","405","-110","5","78","2","505","105","2","787"
"1008206","206","3","355","1","233","306","406","-110","6","78","3","506","106","2","787"
"1008207","207","3","345","1","233","307","407","-110","7","88","3","507","107","2","777"
"1008208","208","3","345","1","233","308","408","-110","8","88","1","508","108","2","777"
"1008209","209","3","345","1","233","309","409","-110","9","88","1","509","109","2","777"
"1008210","210","3","355","1","233","310","410","-110","10","88","3","510","110","2","810"
"1008211","211","3","345","1","233","311","411","-110","11","88","2","511","111","2","777"
"1008212","212","3","230","1","215","312","412","-110","12","70","2","512","112","2","515"
"1008213","213","3","355","1","233","313","413","-110","13","78","1","513","113","2","810"
"1008214","214","3","230","1","215","314","414","-110","14","70","1","514","114","2","515"
"1008215","215","3","230","1","215","315","415","-110","15","70","3","515","115","2","515"
"1008216","216","3","275","1","215","316","416","-110","16","70","2","516","116","2","655"
"1008217","217","3","230","1","215","317","417","-110","17","70","3","517","117","2","515"
"1008218","218","3","345","1","233","318","418","-110","18","88","3","518","118","2","777"
