9391df34b99263076fa14bf53d6367a66805584920300bce7dd033e421120ae7,5b8a8bc1c19e0fbe17f6525a0db39b6c527cddcf7b10e2d68e5974765728e211,dceceac1ece3da0023870b7c740de36b73549dc460e87785369be338fc3c28cd,2a753cf6ee5e9a3e803be9c93d2f4dc12bf2db995049e7469f8c141a2fc6e572,00b9a6a05fdb023d111dc4bc2c7d431ddc0371c42b5286c77b17cdde765c703e,47abe7552ed940a83b23c11c86d2d5806c91750bf79a49e116ee8f86329d7015,84daaab0100a4d1d4a10fad8fd1ec49e838841a0244045716de04e296cbadab5,04f42a5e9aff5b76b383b9a3b10168a8038665e53544204089f16976e5eb8268,e5b3655d52cb4ae7495b9b516ad4ef1bf30b5f501424956cca6e8e398f5a7683,70f3f8fc739bdf492e416adb0f36de5ead64ef1539d641527dab76b90d1cc751,45db637e88f5cee5af1cc15d2fa56ea164c4fcee676406d4af1b8a4556db4951
"1","1","0","10011105","2","1001","10011","pt","0","0","0"
"1","2","0","10015103","2","1002","10015","m","0","1","0"
"1","3","0","10021108","2","1003","10021","pt","0","0","5021700"
"1","4","0","5027007","3","1004","10027","pt","0","0","5027700"
"1","5","0","10040105","2","1005","10040","pt","0","0","5040700"
"1","6","1","5046006","1","1006","10046","pt","5046006","0","0"
"1","7","3","5072006","3","1007","10072","pt","5072006","0","0"
"0","8","3","5080007","3","1008","10080","pt","5080000","0","5080700"
"0","9","0","0","0","1009","0","pt","0","0","9004201"
"1","10","3","5096007","1","1010","10096","pt","5096007","0","5096700"
"1","11","3","10126107","2","1012","10126","pt","5126000","0","0"
"1","12","1","5142007","3","1013","10142","pt","5142000","0","5142700"
"1","13","1","5156007","3","1014","10156","pt","5156000","0","5156700"
