cfe8ae0ce7ea689ff9b4d0db5d20027c6aebc987cc4c8d58f14fc8dd620ae4ac,659ccd55781271b7c5207c19a9dcc9d18a800fec796fc3dbd8e24a4df6836c55,67619868765ca58c54c605a6199ede6312c074f98d3bd781442b5470953cf605
"1","サイドストーリーでは、特別なストーリーを楽しめます。\nイベントストーリーはイベントクエストを進めると解放されていきます。","101"
"2","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","201"
"3","ボスに挑戦すると、信頼度エピソードが発生する\nことがございます。会話の結果によって信頼度がアップし、\n特定の信頼度に到達するとプレゼントがもらえます。","301"
"4","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20005"
"5","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20007"
"6","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20009"
"7","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20010"
"8","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20011"
"9","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20013"
"10","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20015"
"11","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20016"
"12","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20018"
"13","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20020"
"14","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20021"
"15","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20022"
"16","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20025"
"17","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20026"
"18","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20027"
"19","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20029"
"20","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20031"
"21","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20032"
"22","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20033"
"23","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20035"
"24","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20038"
"25","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20040"
"26","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20042"
"27","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20044"
"28","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20045"
"29","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20047"
"30","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20051"
"31","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20052"
"32","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20053"
"33","ミッションを達成すると解放できるキャラが登場します。\nミッションクリアを目指しましょう。","20055"
"2003201","VERY HARDでカズマサさまが援護してくれるようです。\n強力なスタン効果のユニオンバーストで、サポートしてくださいますよ。\nボスが身動きを取れなくなっている間に、一気に倒しましょう。","2003201"
"2003901","主さまが宿題に励んでおられるようです。\n宿題が終わるまでモンスターの攻撃を耐え抜けば勝利となりますよ。\n宿題がどこまで進んでいるかは画面のゲージを確認しましょう。	","2003901"
