f1e70a08e31139dc736d8d9e44bc3effa898f79878c88b190e38a30a772530bb,af6316328e565ededacb7183ecb3af26048754b1e9284098743f25d725ee4520,7c346289e166ac9fed92420d0428a995a4436b713a97c5c416f4d2b1b38acd40,1f2827627d8b80f6add3b09a8cf8ac67e881a9711e3e01443d73b03d9ac3f404
"1","52007","1","11511"
"2","52007","2","11512"
"1","52009","1","100901"
"2","52009","2","100902"
"1","52011","1","11521"
"2","52011","2","11522"
"1","52023","1","11512"
"2","52023","2","11511"
"1","52036","1","11531"
"2","52036","2","11532"
"3","52036","3","11532"
