d505d528869d350c88b7f25dbd764daf987b46907374f7adb15a2fd6b4958c79,5700b4652782b1295354134dcc6b568506e236214fe13270db1b78a569f4d68e,d3d4359749fb2ae1db6cd997b53d4d9f63736d7ec7b64ff5f9eb1d199756c0af,48af7528f8f3f92f72526c8b8814bdcf5b57f33f7a95c739e1d95e75b133f261,3c55b6d51af1ae74a5501b6615b965a067ac4d549ea2bf9261487ad50a590026,60baac0340dd9d7cd5c61d3439e0c3527dfef0ae1dbeb5090c4ab5ede0cd16ea,1d7385c2ed29706942d30032ff0af3b46cd9aa375f87538d1d0ba1afb85a6372,5b947d844cd29360f73489c6f205c97e3a1751c7e6d8d073478118900356b862,202e36875865df201031cdade6061514722579773698dbfab0dd3968f44c1f42,bedeec15aa3c93cb8f9af0a1ee84957e5ecad45c8afbc700d23e0d86efc97acb,b86e28c17f08eb4d767d563840e77148e0af4b3155d567e4e7eda1d3d81e0e6f
"1","1","72","100","1","-194","1.65","taq_karin_idle","1001","1","118511"
"21","vo_minigame_1009","0","0","","","","","1002","1","vo_minigame_1009_top_001"
"11","118511","0","8","0","0","0","0","1003","1","賞品も用意して\nいますので頑張って\nくださいね♪"
"3","118511","","1","","","0.2","","1004","1","taq_karin_talk_normal"
"91","1003","","","","","","","1005","1",""
"3","118511","","1","","","0.2","","1006","1","taq_karin_idle"
"1","1","72","100","1","-194","1.65","taq_karin_idle","2001","2","118511"
"21","vo_minigame_1009","0","0","","","","","2002","2","vo_minigame_1009_top_002"
"11","118511","0","8","0","0","0","0","2003","2","みなさんの知識が\n試されますよ"
"3","118511","","1","","","0.2","","2004","2","taq_karin_talk_thinking"
"91","2003","","","","","","","2005","2",""
"3","118511","","1","","","0.2","","2006","2","taq_karin_idle"
"1","1","72","100","1","-194","1.65","taq_karin_idle","3001","3","118511"
"21","vo_minigame_1009","0","0","","","","","3002","3","vo_minigame_1009_top_003"
"11","118511","0","8","0","0","0","0","3003","3","世の中にはまだまだ\n知らないことが\nたくさんあるんですね"
"3","118511","","1","","","0.2","","3004","3","taq_karin_talk_surprise"
"91","3003","","","","","","","3005","3",""
"3","118511","","1","","","0.2","","3006","3","taq_karin_idle"
"1","1","72","100","1","-194","1.65","taq_karin_idle","4001","4","118511"
"21","vo_minigame_1009","0","0","","","","","4002","4","vo_minigame_1009_top_004"
"11","118511","0","8","0","0","0","0","4003","4","わからないときは\n勘に頼ってみても\nいいと思います"
"3","118511","","1","","","0.2","","4004","4","taq_karin_talk_normal2"
"91","4003","","","","","","","4005","4",""
"3","118511","","1","","","0.2","","4006","4","taq_karin_idle"
"1","1","72","100","1","-194","1.65","taq_karin_idle","5001","5","118511"
"21","vo_minigame_1009","0","0","","","","","5002","5","vo_minigame_1009_top_005"
"11","118511","0","7","0","0","0","0","5003","5","仲よく協力して\n全問正解を\n目指してくださいね♪"
"3","118511","","1","","","0.2","","5004","5","taq_karin_talk_joy3"
"91","5003","","","","","","","5005","5",""
"3","118511","","1","","","0.2","","5006","5","taq_karin_idle"
