2aa8ecc18e445afca2079ab98dc3c93b222212f16d3b1777140c620918130fc5,607574ebd2d9358cae0fa1dbdc9472773ea6ebfbc88544535c937fe03394c65e,f23b36804a13bc4fd3ad01342ceea8fe22240175fedd0e5444c70abcd245e35d,eca0e65ac5e87e17a79ac98db9d01712f534c0f7173f92f4be6e8551b395f6df,06dcc56d7685fe1036bb0d539d61ac8489092b09eb0643ceae5075c0cabebd2e,e0841cde43b8db897aafbdc05ab14565d5f05a9504df44c455ab584b20c6893f,d8986b7d888c80b878ae53e49a97ebced1d7b8b0e21abadc2001ee259f3c22a4
"101","1","91002","10","2500","8","累計スコアを2500pt 獲得しよう"
"102","1","91002","10","5000","8","累計スコアを5000pt 獲得しよう"
"103","1","91002","10","10000","8","累計スコアを10000pt 獲得しよう"
"104","1","91002","10","12500","8","累計スコアを12500pt 獲得しよう"
"105","1","91002","10","15000","8","累計スコアを15000pt 獲得しよう"
"106","1","91002","10","20000","8","累計スコアを20000pt 獲得しよう"
"107","1","91002","10","25000","8","累計スコアを25000pt 獲得しよう"
"108","1","91002","10","30000","8","累計スコアを30000pt 獲得しよう"
"109","1","91002","10","35000","8","累計スコアを35000pt 獲得しよう"
"110","1","91002","10","40000","8","累計スコアを40000pt 獲得しよう"
"111","1","91002","10","45000","8","累計スコアを45000pt 獲得しよう"
"112","1","11001302","1","50000","15","累計スコアを50000pt 獲得しよう"
"201","2","91002","10","2500","8","累計スコアを2500pt 獲得しよう"
"202","2","91002","10","5000","8","累計スコアを5000pt 獲得しよう"
"203","2","91002","10","10000","8","累計スコアを10000pt 獲得しよう"
"204","2","91002","10","12500","8","累計スコアを12500pt 獲得しよう"
"205","2","91002","10","15000","8","累計スコアを15000pt 獲得しよう"
"206","2","91002","10","20000","8","累計スコアを20000pt 獲得しよう"
"207","2","91002","10","25000","8","累計スコアを25000pt 獲得しよう"
"208","2","91002","10","30000","8","累計スコアを30000pt 獲得しよう"
"209","2","91002","10","35000","8","累計スコアを35000pt 獲得しよう"
"210","2","91002","10","40000","8","累計スコアを40000pt 獲得しよう"
"211","2","91002","10","45000","8","累計スコアを45000pt 獲得しよう"
"212","2","11001303","1","50000","15","累計スコアを50000pt 獲得しよう"
