e69a45fcc80049721cfa2dc55d6d89a46c35c7957a59152fe48e6abdb58a82e7,58025315c329c5f9a63324aa14bfc3accb55f72d4b2b20c0b1b3f3bd9b2e95e9,cbec36246b6e2d551230dc9a9f6e3c9fe9c7c9e6c388db4b315c1e022cce9d68,94b0da1c4823557e998463dba924b278d90f34e8f216f719f05f5551268ddc47,84df9aff386ac80fb20423118392e28ca5c6f5b208a1e97a9f8084481a5ca080,1813f53e4ec5a35bb50f8957fe8117406918f3455ff30abad6600883994a7d87,9d7f8b4418a955161dedc243870fdd43f51654f3749bd698156a02d8a725173e,f742ea2e80e110e29e95489be16ac9b1dfc3f39b3eefe1422f8acf6bb05222d1,1472a75a363cd3aad6e54135151df9f6aea51787b62a0f8550908cc8b3e15e99,65f619b6dd249c3ab7261d4718d1f5eee0032b708988a2ce69ff9f7716bed0d1,515a1ce5f0ce84fb63c3f9a7eae10dd185607d33d9e4278ed11a7abdb2d7311f,ab5222ce50cfde4e1089e78c95f9e2c80daa1f388d1b02558ca81ade7d0a3ea8,7bb002f0478469d825b737d958146b5d3d157c4551b70b5798abefe5ae652a29,c33d9c2f029ff762c5170564ee01a682dce8ee152868539a6aff19213875e027,b615a6e8d8efd3fd0a92f18233ebce7e1d3351ea7ae79067f59d9c1cf8787c63
"10011","2","1","0","8","90005","81","難易度VERY HARDのゴブリングレートを0:30秒以上残してクリアしよう","100001","91002","0","10","1001","50","0"
"10012","2","1","0","8","90005","82","難易度VERY HARDのトライロッカーを0:30秒以上残してクリアしよう","100002","91002","0","10","1001","50","0"
"10013","2","1","0","8","90005","83","難易度VERY HARDのマスター・ウキキーを0:30秒以上残してクリアしよう","100003","91002","0","10","1001","50","0"
"10014","2","1","0","8","90005","84","難易度VERY HARDの歪音の精霊を0:30秒以上残してクリアしよう","100004","91002","0","10","1001","50","0"
"10015","2","1","0","8","90005","85","難易度VERY HARDのラストドラゴンを0:30秒以上残してクリアしよう","100005","91002","0","10","1001","50","0"
"10016","2","1","0","4","90008","85","難易度VERY HARDのラストドラゴンをパーティ2までにクリアしよう","100006","140001","0","1000","1001","20","0"
"10017","2","1","0","4","90008","85","難易度VERY HARDのラストドラゴンをパーティ1までにクリアしよう","100007","140001","0","1000","1001","20","0"
"10021","2","1","0","8","90005","81","難易度VERY HARDのゴブリングレートを0:30秒以上残してクリアしよう","100001","91002","0","10","1002","50","0"
"10022","2","1","0","8","90005","82","難易度VERY HARDのトライロッカーを0:30秒以上残してクリアしよう","100002","91002","0","10","1002","50","0"
"10023","2","1","0","8","90005","83","難易度VERY HARDのマスター・ウキキーを0:30秒以上残してクリアしよう","100003","91002","0","10","1002","50","0"
"10024","2","1","0","8","90005","84","難易度VERY HARDの歪音の精霊を0:30秒以上残してクリアしよう","100004","91002","0","10","1002","50","0"
"10025","2","1","0","8","90005","85","難易度VERY HARDのラストドラゴンを0:30秒以上残してクリアしよう","100005","91002","0","10","1002","50","0"
"10026","2","1","0","4","90008","85","難易度VERY HARDのラストドラゴンをパーティ2までにクリアしよう","100006","140001","0","1000","1002","20","0"
"10027","2","1","0","4","90008","85","難易度VERY HARDのラストドラゴンをパーティ1までにクリアしよう","100007","140001","0","1000","1002","20","0"
"10028","2","1","0","4","90008","85","風属性か水属性だけを編成して難易度VERY HARDのラストドラゴンをパーティ1までにクリアしよう","100208","140001","0","1000","1002","20","0"
"10031","2","1","0","8","90005","81","難易度VERY HARDのゴブリングレートを0:30秒以上残してクリアしよう","100001","91002","0","10","1003","50","0"
"10032","2","1","0","8","90005","82","難易度VERY HARDのトライロッカーを0:30秒以上残してクリアしよう","100002","91002","0","10","1003","50","0"
"10033","2","1","0","8","90005","83","難易度VERY HARDのマスター・ウキキーを0:30秒以上残してクリアしよう","100003","91002","0","10","1003","50","0"
"10034","2","1","0","8","90005","84","難易度VERY HARDの歪音の精霊を0:30秒以上残してクリアしよう","100004","91002","0","10","1003","50","0"
"10035","2","1","0","8","90005","85","難易度VERY HARDのラストドラゴンを0:30秒以上残してクリアしよう","100005","91002","0","10","1003","50","0"
"10036","2","1","0","4","90008","85","難易度VERY HARDのラストドラゴンをパーティ2までにクリアしよう","100006","140001","0","1000","1003","20","0"
"10037","2","1","0","4","90008","85","難易度VERY HARDのラストドラゴンをパーティ1までにクリアしよう","100007","140001","0","1000","1003","20","0"
"10038","2","1","0","4","90008","85","光属性か闇属性だけを編成して難易度VERY HARDのラストドラゴンをパーティ1までにクリアしよう","100308","140001","0","1000","1003","20","0"
"10041","2","1","0","8","90005","81","難易度VERY HARDのタフガイストを0:30秒以上残してクリアしよう","100001","91002","0","10","1004","50","0"
"10042","2","1","0","8","90005","82","難易度VERY HARDのドロゲーターを0:30秒以上残してクリアしよう","100002","91002","0","10","1004","50","0"
"10043","2","1","0","8","90005","83","難易度VERY HARDのサイクロプスを0:30秒以上残してクリアしよう","100003","91002","0","10","1004","50","0"
"10044","2","1","0","8","90005","84","難易度VERY HARDのフラワーシュバリエを0:30秒以上残してクリアしよう","100004","91002","0","10","1004","50","0"
"10045","2","1","0","8","90005","85","難易度VERY HARDのジャバウォックを0:30秒以上残してクリアしよう","100005","91002","0","10","1004","50","0"
"10046","0","1","0","4","0","85","難易度VERY HARDのジャバウォックをパーティ2までにクリアしよう","100006","140001","0","0","1004","20","0"
"10047","0","1","0","4","0","85","難易度VERY HARDのジャバウォックをパーティ1までにクリアしよう","100007","140001","0","0","1004","20","0"
"10048","0","1","0","4","0","85","火属性か水属性だけを編成して難易度VERY HARDのジャバウォックをパーティ1までにクリアしよう","100408","140001","0","0","1004","20","0"
"10049","12","1","0","2","94002","121","難易度EXTREMEのタフガイストをクリアしよう","100008","26202","0","2000000","1004","1500","0"
