0e38b691b4ee48aa937f93b6faf5ac9bbd902ffd9c60d159c749d17ea5d9693c,621227b3e80a1053093a6177a2a838baf82d93fb5b2f9a18346778d76d035235,d64ae0622414d0f9ad41c3aec04cfe534eba713dbfa2a43422aeec302ed4978d,09f35eeee0a183219ea77ed1fa967c80947d81fc8d8d29f13d47cb1e7b867d81,6c417c014bfc901dc4d279fe22861af468ddef738899be6e561e5330970f98a1
"91002","30","72001001","8","20001001"
"22002","1","72001001","2","20001002"
"91002","30","72001002","8","20001003"
"22002","1","72001002","2","20001004"
"91002","30","72001003","8","20001005"
"22002","1","72001003","2","20001006"
"91002","30","72001004","8","20001007"
"22002","1","72001004","2","20001008"
"91002","30","72001005","8","20001009"
"22002","1","72001005","2","20001010"
"91002","30","72001006","8","20001011"
"22002","1","72001006","2","20001012"
"91002","30","72001007","8","20001013"
"22002","1","72001007","2","20001014"
"91002","30","72001008","8","20001015"
"22002","1","72001008","2","20001016"
"91002","30","72001009","8","20001017"
"22002","1","72001009","2","20001018"
"91002","30","72001010","8","20001019"
"22002","1","72001010","2","20001020"
"91002","30","72001011","8","20001021"
"22002","1","72001011","2","20001022"
"91002","30","72001012","8","20001023"
"22002","1","72001012","2","20001024"
"91002","30","72001013","8","20001025"
"22002","1","72001013","2","20001026"
"91002","30","72001014","8","20001027"
"22002","1","72001014","2","20001028"
"91002","200","72001015","8","20001029"
"22002","1","72001015","2","20001030"
"91002","60","72001016","8","20001031"
"22002","2","72001016","2","20001032"
"91002","60","72001017","8","20001033"
"22002","2","72001017","2","20001034"
"91002","60","72001018","8","20001035"
"22002","2","72001018","2","20001036"
"91002","60","72001019","8","20001037"
"22002","2","72001019","2","20001038"
"91002","300","72001020","8","20001039"
"22002","2","72001020","2","20001040"
"31012","5","72001021","2","20001041"
"31038","5","72001021","2","20001042"
"31012","5","72001022","2","20001043"
"31038","5","72001022","2","20001044"
"31012","10","72001023","2","20001045"
"31038","10","72001023","2","20001046"
"91002","30","72002001","8","20002001"
"22002","1","72002001","2","20002002"
"91002","30","72002002","8","20002003"
"22002","1","72002002","2","20002004"
"91002","30","72002003","8","20002005"
"22002","1","72002003","2","20002006"
"91002","30","72002004","8","20002007"
"22002","1","72002004","2","20002008"
"91002","30","72002005","8","20002009"
"22002","1","72002005","2","20002010"
"91002","30","72002006","8","20002011"
"22002","1","72002006","2","20002012"
"91002","30","72002007","8","20002013"
"22002","1","72002007","2","20002014"
"91002","30","72002008","8","20002015"
"22002","1","72002008","2","20002016"
"91002","30","72002009","8","20002017"
"22002","1","72002009","2","20002018"
"91002","30","72002010","8","20002019"
"22002","1","72002010","2","20002020"
"91002","30","72002011","8","20002021"
"22002","1","72002011","2","20002022"
"91002","30","72002012","8","20002023"
"22002","1","72002012","2","20002024"
"91002","30","72002013","8","20002025"
"22002","1","72002013","2","20002026"
"91002","30","72002014","8","20002027"
"22002","1","72002014","2","20002028"
"91002","200","72002015","8","20002029"
"22002","1","72002015","2","20002030"
"91002","60","72002016","8","20002031"
"22002","2","72002016","2","20002032"
"91002","60","72002017","8","20002033"
"22002","2","72002017","2","20002034"
"91002","60","72002018","8","20002035"
"22002","2","72002018","2","20002036"
"91002","60","72002019","8","20002037"
"22002","2","72002019","2","20002038"
"91002","300","72002020","8","20002039"
"22002","2","72002020","2","20002040"
"31020","5","72002021","2","20002041"
"31004","5","72002021","2","20002042"
"31020","5","72002022","2","20002043"
"31004","5","72002022","2","20002044"
"31020","10","72002023","2","20002045"
"31004","10","72002023","2","20002046"
"91002","30","72003001","8","20003001"
"22002","1","72003001","2","20003002"
"91002","30","72003002","8","20003003"
"22002","1","72003002","2","20003004"
"91002","30","72003003","8","20003005"
"22002","1","72003003","2","20003006"
"91002","30","72003004","8","20003007"
"22002","1","72003004","2","20003008"
"91002","30","72003005","8","20003009"
"22002","1","72003005","2","20003010"
"91002","30","72003006","8","20003011"
"22002","1","72003006","2","20003012"
"91002","30","72003007","8","20003013"
"22002","1","72003007","2","20003014"
"91002","30","72003008","8","20003015"
"22002","1","72003008","2","20003016"
"91002","30","72003009","8","20003017"
