cee74bf0e873bf9ff39e3ceae990408e8b4595a1210f87fea6c3125e9a1f241f,e5d82d83773fd92d0f598a8d697dd376905ed9e82a027690d40aac9f7aea5766,b8d8125cc277b139aa2c96fb7a781dccfc40d62c1d55970f5a9ca5f7caae7bc1,c3c79c45d1d2d6c570ddf4f85e619ecdd251bc041389bf959733094152ec1c59,82b2a4eeacdb970da1a9724a26f1d6082e97607736732145f5f13235d388768f,24bc28300130674b38d8a5fa350d5d4ad926166071e16f50474c60283dd9ebea
"0","10201","5201009","2","2","102010201"
"0","10201","5201010","2","3","102010202"
"0","10201","0","3","502510","102010301"
"0","10202","0","2","501220","102020201"
"0","10202","0","3","501201","102020301"
"0","10203","0","2","500801","102030201"
"0","10203","0","3","500031","102030301"
"0","10204","0","2","502360","102040201"
"0","10204","0","3","500030","102040301"
"0","10205","0","2","502170","102050201"
"0","10205","0","3","502080","102050301"
"0","10206","0","2","501030","102060201"
"0","10206","0","3","500160","102060301"
"0","10207","0","2","500690","102070201"
"0","10207","0","3","500163","102070301"
"0","10208","0","3","532300","102080201"
"0","10209","0","2","502460","102090201"
"0","10209","0","3","502290","102090301"
"0","10210","0","3","502080","102100201"
