3b2a53486e0c750d0a05c94f17bc0b4e860d7e5bd5a6da71c022528c6549fc6b,c83be518754a56ff30ffdd81a6a8ab0cf84eef240add483c63174c1d84d05411,4880ff6ec066b9bdca26378a43a210c5a828ed25d6aac936fbca9b5753e53d08,44f87417c0dfb37d01287cfc34c872d15000b0990eb27e532d62f8bd1958ae3c,3283716693c67eac1e863c54ebbe8cdff530772a55aa98c40b258db15a3c5792
"1","1","0","26999","ひよっこ"
"2","1","0","26999","未熟者"
"3","1","0","26999","稚魚"
"4","3","0","26999","ビギナーランナー"
"5","1","0","26999","赤ちゃん"
"6","1","0","26999","ベイビー"
"7","1","0","26999","小物"
"8","1","0","26999","へっぽこ"
"9","1","0","26999","素人"
"10","1","27000","33999","小魚"
"11","1","27000","33999","初心者"
"12","3","27000","33999","エンジョイランナー"
"13","1","27000","33999","若輩者"
"14","1","27000","33999","ルーキー"
"15","1","27000","33999","ガール"
"16","1","27000","33999","注目株"
"17","1","27000","33999","原石"
"18","2","27000","33999","ニューホープ"
"19","1","34000","50399","探究者"
"20","1","34000","50399","暴れん坊"
"21","1","34000","50399","申し子"
"22","1","34000","50399","奇才"
"23","1","34000","50399","大物"
"24","1","34000","50399","麒麟児"
"25","1","34000","50399","ホープ"
"26","1","34000","50399","新星"
"27","1","34000","50399","逸材"
"28","1","50400","59999","マーメイド"
"29","1","50400","59999","先輩"
"30","1","50400","59999","中級者"
"31","3","50400","59999","ビーチフラッガー"
"32","1","50400","59999","魚"
"33","1","50400","59999","チーフ"
"34","1","50400","59999","キャプテン"
"35","1","50400","59999","一人前"
"36","1","50400","59999","セミプロ"
"37","1","50400","59999","大型新人"
"38","1","60000","69999","流れ星"
"39","1","60000","69999","先生"
"40","1","60000","69999","ドルフィン"
"41","1","60000","69999","職人"
"42","1","60000","69999","レーサー"
"43","1","60000","69999","トゥンヌス"
"44","1","60000","69999","中の中"
"45","2","60000","69999","ビッグネーム"
"46","1","60000","69999","異才"
"47","1","60000","69999","エリート"
"48","1","60000","69999","仕事人"
"49","1","60000","69999","玄人"
"50","1","70000","83999","オルカ"
"51","1","70000","83999","名人"
"52","1","70000","83999","魔術師"
"53","1","70000","83999","師匠"
"54","1","70000","83999","サブマリン"
"55","2","70000","83999","スプリンター"
"56","1","70000","83999","名手"
"57","2","70000","83999","エースランナー"
"58","1","70000","83999","プロ"
"59","1","70000","83999","看板選手"
"60","1","70000","83999","第一人者"
"61","1","70000","83999","ドン"
"62","2","84000","99999","スピードスター"
"63","1","84000","99999","豪傑"
"64","1","84000","99999","プリンセス"
"65","1","84000","99999","女神"
"66","1","84000","99999","マスター"
"67","2","84000","99999","ナンバーワン"
"68","1","84000","99999","寵児"
"69","3","84000","99999","ワイルドグリフォン"
"70","1","84000","99999","ワイバーン"
"71","2","84000","99999","エキスパート"
"72","2","84000","99999","トップランナー"
"73","1","100000","119999","韋駄天"
"74","1","100000","119999","クイーン"
"75","2","100000","119999","チャンピオン"
"76","2","100000","119999","天才ランナー"
"77","3","100000","119999","レコードホルダー"
"78","1","100000","119999","極致"
"79","2","100000","119999","ネプテリオン"
"80","2","100000","119999","シードレイク"
"81","1","100000","119999","女傑"
"82","1","100000","119999","革命家"
"83","2","100000","119999","ビッグスター"
"84","2","120000","999999","ファンタジスタ"
"85","2","120000","999999","スーパースター"
"86","3","120000","999999","ワールドチャンプ"
"87","1","120000","999999","レジェンド"
"88","1","120000","999999","超人"
"89","1","120000","999999","トルペドン"
"90","1","120000","999999","カルキノス"
"91","2","120000","999999","アクアリオス"
"92","1","120000","999999","至宝"
"93","3","120000","999999","グランドマスター"
"94","1","120000","999999","英雄"
"95","1","120000","999999","天下取り"
