618d0dc0cec8d205cb195bd6e5aacb7b7a3642f1d9fe8b54931daadd5be5951a,b37f35d23e0949266b5eeedd362ef977d323d7742dbe45a33a94aede4ccebfc4,c0ad0670e5388b4ff5395e5ae01fc451939baa671f49382f3d400a861b42c9ea,a13f12e21a8800201a19981b152e364121d14a0e3a40b17adc389304a10ec5ac,e26e170ba5506666478c36d0f3f6d2ac23bcf91174dae2ab95a72014cf09929d,0ead26e3740cd3b318c1c3b8edff01e82c22d962551a411eae009b8caaf363c3,a28fcf92003a3017e2f97ddb407e6ef541a43b923ba83e1df0ec22cdfbcbbf9d,6df7dfc48853e144e5221a8f6c47af9b762f9374e48df2c3062028c19b04efaa
"1","48","2","5","4","3","1","111"
"1","96","2","5","4","3","1","121"
"1","144","2","5","4","3","1","131"
"1","192","2","5","4","3","1","141"
"1","240","2","5","4","3","1","151"
"1","84","0","0","0","0","2","211"
"1","168","0","0","0","0","2","221"
"1","252","0","0","0","0","2","231"
"1","336","0","0","0","0","2","241"
"1","420","0","0","0","0","2","251"
"3","36","0","0","0","0","5","311"
"3","72","0","0","0","0","5","321"
"3","108","0","0","0","0","5","331"
"3","144","0","0","0","0","5","341"
"3","180","0","0","0","0","5","351"
"4","84","0","0","0","0","4","411"
"4","168","0","0","0","0","4","421"
"4","252","0","0","0","0","4","431"
"4","336","0","0","0","0","4","441"
"4","420","0","0","0","0","4","451"
"2","84","0","0","0","0","4","511"
"2","168","0","0","0","0","4","521"
"2","252","0","0","0","0","4","531"
"2","336","0","0","0","0","4","541"
"2","420","0","0","0","0","4","551"
"4","84","0","0","0","0","2","611"
"4","168","0","0","0","0","2","621"
"4","252","0","0","0","0","2","631"
"4","336","0","0","0","0","2","641"
"4","420","0","0","0","0","2","651"
"5","56","0","0","0","0","1","711"
"5","112","0","0","0","0","1","721"
"5","168","0","0","0","0","1","731"
"5","224","0","0","0","0","1","741"
"5","280","0","0","0","0","1","751"
"2","1","0","0","0","0","101","811"
"3","84","0","0","0","0","2","911"
"3","168","0","0","0","0","2","921"
"3","252","0","0","0","0","2","931"
"3","336","0","0","0","0","2","941"
"3","420","0","0","0","0","2","951"
"1","1","0","0","0","0","101","1011"
"2","36","0","0","0","0","5","1111"
"2","72","0","0","0","0","5","1121"
"2","108","0","0","0","0","5","1131"
"2","144","0","0","0","0","5","1141"
"2","180","0","0","0","0","5","1151"
"5","84","0","0","0","0","4","1211"
"5","168","0","0","0","0","4","1221"
"5","252","0","0","0","0","4","1231"
"5","336","0","0","0","0","4","1241"
"5","420","0","0","0","0","4","1251"
"1","86","0","0","0","0","2","1311"
"1","172","0","0","0","0","2","1321"
"1","258","0","0","0","0","2","1331"
"1","344","0","0","0","0","2","1341"
"1","430","0","0","0","0","2","1351"
"3","44","0","0","0","0","1","1411"
"3","88","0","0","0","0","1","1421"
"3","132","0","0","0","0","1","1431"
"3","176","0","0","0","0","1","1441"
"3","220","0","0","0","0","1","1451"
"4","36","0","0","0","0","5","1511"
"4","72","0","0","0","0","5","1521"
"4","108","0","0","0","0","5","1531"
"4","144","0","0","0","0","5","1541"
"4","180","0","0","0","0","5","1551"
"5","1","0","0","0","0","101","1611"
"2","1","0","0","0","0","100","1711"
"3","84","0","0","0","0","4","1811"
"3","168","0","0","0","0","4","1821"
"3","252","0","0","0","0","4","1831"
"3","336","0","0","0","0","4","1841"
"3","420","0","0","0","0","4","1851"
"4","36","0","0","0","0","3","1911"
"4","72","0","0","0","0","3","1921"
"4","108","0","0","0","0","3","1931"
"4","144","0","0","0","0","3","1941"
"4","180","0","0","0","0","3","1951"
"1","84","0","0","0","0","4","2011"
"1","168","0","0","0","0","4","2021"
"1","252","0","0","0","0","4","2031"
"1","336","0","0","0","0","4","2041"
"1","420","0","0","0","0","4","2051"
"3","1","0","0","0","0","100","2111"
"5","84","0","0","0","0","2","2211"
"5","168","0","0","0","0","2","2221"
"5","252","0","0","0","0","2","2231"
"5","336","0","0","0","0","2","2241"
"5","420","0","0","0","0","2","2251"
"1","44","0","0","0","0","1","2311"
"1","88","0","0","0","0","1","2321"
"1","132","0","0","0","0","1","2331"
"1","176","0","0","0","0","1","2341"
"1","220","0","0","0","0","1","2351"
"2","84","0","0","0","0","2","2411"
"2","168","0","0","0","0","2","2421"
"2","252","0","0","0","0","2","2431"
"2","336","0","0","0","0","2","2441"
"2","420","0","0","0","0","2","2451"
"5","86","0","0","0","0","4","2511"
"5","172","0","0","0","0","4","2521"
"5","258","0","0","0","0","4","2531"
"5","344","0","0","0","0","4","2541"
"5","430","0","0","0","0","4","2551"
"1","1","2","5","4","3","100","2611"
"1","2","2","5","4","3","100","2621"
"1","3","2","5","4","3","100","2631"
"1","36","0","0","0","0","3","2711"
"1","72","0","0","0","0","3","2721"
"1","108","0","0","0","0","3","2731"
"1","144","0","0","0","0","3","2741"
"1","180","0","0","0","0","3","2751"
"4","86","0","0","0","0","4","2811"
"4","172","0","0","0","0","4","2821"
"4","258","0","0","0","0","4","2831"
"4","344","0","0","0","0","4","2841"
"4","430","0","0","0","0","4","2851"
"5","10","0","0","0","0","7","2911"
"5","20","0","0","0","0","7","2921"
"5","30","0","0","0","0","7","2931"
"5","40","0","0","0","0","7","2941"
"5","50","0","0","0","0","7","2951"
"2","36","0","0","0","0","3","3011"
"2","72","0","0","0","0","3","3021"
"2","108","0","0","0","0","3","3031"
"2","144","0","0","0","0","3","3041"
"2","180","0","0","0","0","3","3051"
"3","46","0","0","0","0","1","3111"
"3","92","0","0","0","0","1","3121"
"3","138","0","0","0","0","1","3131"
"3","184","0","0","0","0","1","3141"
"3","230","0","0","0","0","1","3151"
"4","88","0","0","0","0","4","3211"
"4","176","0","0","0","0","4","3221"
"4","264","0","0","0","0","4","3231"
"4","352","0","0","0","0","4","3241"
"4","440","0","0","0","0","4","3251"
"1","86","0","0","0","0","4","3311"
"1","172","0","0","0","0","4","3321"
"1","258","0","0","0","0","4","3331"
"1","344","0","0","0","0","4","3341"
"1","430","0","0","0","0","4","3351"
"2","86","0","0","0","0","2","3411"
"2","172","0","0","0","0","2","3421"
"2","258","0","0","0","0","2","3431"
"2","344","0","0","0","0","2","3441"
"2","430","0","0","0","0","2","3451"
"3","38","0","0","0","0","5","3511"
"3","76","0","0","0","0","5","3521"
"3","114","0","0","0","0","5","3531"
"3","152","0","0","0","0","5","3541"
"3","190","0","0","0","0","5","3551"
"4","86","0","0","0","0","2","3611"
"4","172","0","0","0","0","2","3621"
"4","258","0","0","0","0","2","3631"
"4","344","0","0","0","0","2","3641"
"4","430","0","0","0","0","2","3651"
"5","88","0","0","0","0","4","3711"
"5","176","0","0","0","0","4","3721"
"5","264","0","0","0","0","4","3731"
"5","352","0","0","0","0","4","3741"
