de810a9addb3630ab802fc35423a846e5d0dd0b87eb84ac2ccf647b9b90d2636,ea0e264de904f25340ce196e3a10f59d4ad4c1332c9a79942890749f23018d56,a4a00d07552016512d2a7456db4fd3fb75a9ca013d1f7218a17efbd74df02651,d815759b3412e3a484e5095d59404ff22a0ed9b8ac5646d463421906aeb1e6bd,1b8c8d162427c75fe57b83c5f32e16ec342fe6a645597f3801f4c0926cf7798d
"1","0","1","0","3030100"
"1","0","2","0","3050100"
"1","0","3","0","3040100"
"1","0","4","0","3020100"
"1","0","5","0","2040100"
"2","0","5","0","2040100"
"1","0","6","0","2020100"
"2","0","6","0","2020100"
"1","314","7","0","1030100"
"1","0","8","0","4030100"
"1","502","9","0","1050100"
"1","0","10","0","4020100"
"1","0","11","0","2030100"
"2","0","11","0","2030100"
"1","0","12","10301010","3040100"
"1","202","13","0","1020100"
"1","406","14","20201010","1040102"
"1","105","15","0","1010200"
"2","0","15","0","2010200"
"3","0","15","0","2010200"
"1","0","16","0","3050200"
"1","0","17","0","3040200"
"1","0","18","0","3020200"
"1","0","19","0","2040200"
"2","0","19","0","2040200"
"1","0","20","0","2020200"
"2","0","20","0","2020200"
"1","315","21","0","1030200"
"1","205","22","0","1020200"
"1","509","23","0","1050200"
"1","0","24","0","4020200"
"1","0","25","0","2030200"
"2","0","25","0","2030200"
"1","0","26","0","4030200"
"1","0","27","10101020","3020200"
"1","408","28","20201020","1040200"
"1","0","29","10101020","3040200"
"1","0","30","10101020","3010200"
"1","102","31","0","1010300"
"2","0","31","0","2010300"
"3","0","31","0","2010300"
"1","0","32","0","3050300"
"1","0","33","0","3040300"
"1","0","34","0","3020300"
"1","0","35","0","2040300"
"2","0","35","0","2040300"
"1","0","36","0","2020300"
"2","0","36","0","2020300"
"1","306","37","0","1030300"
"1","206","38","0","1020300"
"1","502","39","0","1050300"
"1","0","40","0","4020300"
"1","0","41","0","2030300"
"2","0","41","0","2030300"
"1","0","42","0","4030300"
"1","0","43","10101030","3020300"
"1","406","44","20201030","1040300"
"1","0","45","10101050","3010300"
"1","0","46","10101050","3040300"
"1","0","47","10101050","3030300"
"1","0","48","10101050","3010300"
"1","0","49","10101050","3020300"
"1","112","50","30102050","1010300"
