fcdc28153551c9446421456f889b00131778de59662530dc2fa8fac1d318dd95,58b2f0967c34af8aaad9d32a6fa12537434cc639e4cceed4e6910de68202bf03,e557be6c94be568034359c0c24c4c132e9bf18e999c6cc9689605a9463039c70,a79281651f61aa6630261f0520ac5676f3da3d4a7d43af8d04a29045939ff252,8ed1543fa7f4cc0a237078644536eb0bc962b64afa02854919f2743af574ad39
"1","74001102","ジータのシャドウが追加される。","シャドウ1体追加","add_shadow"
"2","74001103","ジータ、サレン（サマー）、アメスのシャドウが追加される。","シャドウ3体追加","add_shadow"
"3","74001104","ノゾミのシャドウが★6になる。","シャドウ★6化","star6_shadow"
"4","74001104","ジータ、サレン（サマー）、アメスのシャドウが追加される。","シャドウ3体追加","add_shadow"
"5","74001105","ノゾミ、ジータ、キョウカのシャドウが★6にな\nる。","シャドウ★6化","star6_shadow"
"6","74001105","ジータ、サレン（サマー）、アメスのシャドウが追加される。","シャドウ3体追加","add_shadow"
"7","74001202","ユカリのシャドウが追加される。","シャドウ1体追加","add_shadow"
"8","74001203","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","シャドウ3体追加","add_shadow"
"9","74001204","ユカリとユイのシャドウが★6になる。","シャドウ★6化","star6_shadow"
"10","74001204","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","シャドウ3体追加","add_shadow"
"11","74001205","ミヤコ、ユカリ、マホ、ユイのシャドウが★6になる。","シャドウ★6化","star6_shadow"
"12","74001205","ユカリ、ムイミ（ニューイヤー）、ユイのシャドウが追加される。","シャドウ3体追加","add_shadow"
"13","74001301","バトル開始時、ボスモンスターが魔法ダメージ20％カット状態になる。","ボス魔法ダメージカット","boss_magic_cut"
"14","74001302","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","ボス魔法ダメージカット","boss_magic_cut"
"15","74001302","シズル（サマー）のシャドウが追加される。","シャドウ1体追加","add_shadow"
"16","74001303","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","energy_recover"
"17","74001303","バトル開始時、ボスモンスターが魔法ダメージ50％カット状態になる。","ボス魔法ダメージカット","boss_magic_cut"
"18","74001303","シズル（サマー）とクリスティーナのシャドウが追加される。","シャドウ2体追加","add_shadow"
"19","74001304","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","boss_ub_enhance"
"20","74001304","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","energy_recover"
"21","74001304","バトル開始時、ボスモンスターが魔法ダメージ70％カット状態になる。","ボス魔法ダメージカット","boss_magic_cut"
"22","74001304","シズル（サマー）とクリスティーナのシャドウが追加される。","シャドウ2体追加","add_shadow"
"23","74001305","バトル時間が60秒になる。","バトル時間制限","limit_time"
"24","74001305","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","boss_ub_enhance"
"25","74001305","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","energy_recover"
"26","74001305","バトル開始時、ボスモンスターが魔法ダメージ100％カット状態になる。","ボス魔法ダメージカット","boss_magic_cut"
"27","74001305","シズル（サマー）とクリスティーナのシャドウが追加される。","シャドウ2体追加","add_shadow"
"28","74001401","バトル開始時、ボスモンスターが物理ダメージ20％カット状態になる。","ボス物理ダメージカット","boss_physics_cut"
"29","74001402","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","ボス物理ダメージカット","boss_physics_cut"
"30","74001402","クウカ（オーエド）のシャドウが追加される。","シャドウ1体追加","add_shadow"
"31","74001403","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","energy_recover"
"32","74001403","バトル開始時、ボスモンスターが物理ダメージ50％カット状態になる。","ボス物理ダメージカット","boss_physics_cut"
"33","74001403","クウカ（オーエド）とネネカのシャドウが追加される。","シャドウ2体追加","add_shadow"
"34","74001404","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","boss_ub_enhance"
"35","74001404","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","energy_recover"
"36","74001404","バトル開始時、ボスモンスターが物理ダメージ70％カット状態になる。","ボス物理ダメージカット","boss_physics_cut"
"37","74001404","クウカ（オーエド）とネネカのシャドウが追加される。","シャドウ2体追加","add_shadow"
"38","74001405","バトル時間が60秒になる。","バトル時間制限","limit_time"
"39","74001405","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","boss_ub_enhance"
"40","74001405","バトル開始時、ボスモンスターが敵全員のTPを中アップさせる。","開始時TP回復","energy_recover"
"41","74001405","バトル開始時、ボスモンスターが物理ダメージ100％カット状態になる。","ボス物理ダメージカット","boss_physics_cut"
"42","74001405","クウカ（オーエド）とネネカのシャドウが追加される。","シャドウ2体追加","add_shadow"
"43","74001502","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","開始時攻撃力アップ","boss_atk_up"
"44","74001503","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"45","74001503","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","開始時攻撃力アップ","boss_atk_up"
"46","74001504","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"47","74001504","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","boss_ub_enhance"
"48","74001504","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","開始時攻撃力アップ","boss_atk_up"
"49","74001505","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"50","74001505","パーティキャラの最大HPが20％ダウンする。","キャラ最大HPダウン","max_hp_down"
"51","74001505","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","boss_ub_enhance"
"52","74001505","バトル開始後一定時間、ボスモンスターの物理攻撃力が中アップする。","開始時攻撃力アップ","boss_atk_up"
"53","74002102","カリンのシャドウが追加される。","シャドウ1体追加","add_shadow"
"54","74002103","ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"55","74002103","カリンのシャドウが追加される。","シャドウ1体追加","add_shadow"
"56","74002104","ミヤコ、ユカリ、アユミのシャドウが★6になる。","シャドウ強化","star6_shadow"
"57","74002104","カリンのシャドウが追加される。","シャドウ1体追加","add_shadow"
"58","74002105","すべてのシャドウの物理攻撃力が大幅に上昇する。","シャドウ物理攻撃力アップ","boss_atk_up"
"59","74002105","ミヤコ、ユカリ、アユミのシャドウが★6になる。","シャドウ強化","star6_shadow"
"60","74002105","カリンのシャドウが追加される。","シャドウ1体追加","add_shadow"
"61","74002202","カヤ（リベレイター）のシャドウが追加される。","シャドウ1体追加","add_shadow"
"62","74002203","ツムギ（ハロウィン）、マヒル（クリスマス）、ミツキ、カスミ（マジカル）のシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"63","74002203","カヤ（リベレイター）のシャドウが追加される。","シャドウ1体追加","add_shadow"
"64","74002204","ミツキのシャドウが★6になる。ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"65","74002204","カヤ（リベレイター）のシャドウが追加される。","シャドウ1体追加","add_shadow"
"66","74002205","すべてのシャドウの魔法防御力が大幅に上昇する。","シャドウ魔法防御力アップ","boss_magic_def_up"
"67","74002205","ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加され、ミツキのシャドウが★6になる。","シャドウ強化","star6_shadow"
"68","74002205","カヤ（リベレイター）のシャドウが追加される。","シャドウ1体追加","add_shadow"
"69","74002302","ノゾミのシャドウが追加される。","シャドウ1体追加","add_shadow"
"70","74002303","ノゾミとキャル（プリンセス）のシャドウが追加される。","シャドウ2体追加","add_shadow"
"71","74002304","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"72","74002304","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"73","74002304","ノゾミとキャル（プリンセス）のシャドウが追加される。","シャドウ2体追加","add_shadow"
"74","74002305","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"75","74002305","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","開始時物理防御力アップ","boss_def_up"
"76","74002305","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","開始時魔法防御力アップ","boss_magic_def_up"
"77","74002305","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"78","74002305","ノゾミとキャル（プリンセス）のシャドウが追加される。","シャドウ2体追加","add_shadow"
"79","74002402","アヤネのシャドウが追加される。","シャドウ1体追加","add_shadow"
"80","74002403","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","シャドウ2体追加","add_shadow"
"81","74002404","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"82","74002404","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","シャドウ強化","star6_shadow"
"83","74002404","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","シャドウ2体追加","add_shadow"
"84","74002405","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"85","74002405","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","開始時物理防御力アップ","boss_def_up"
"86","74002405","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","開始時魔法防御力アップ","boss_magic_def_up"
"87","74002405","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","シャドウ強化","star6_shadow"
"88","74002405","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","シャドウ2体追加","add_shadow"
"89","74002502","バトル時間が70秒になる。","バトル時間制限","limit_time"
"90","74002503","バトル時間が60秒になる。","バトル時間制限","limit_time"
"91","74002504","バトル時間が60秒になる。","バトル時間制限","limit_time"
"92","74002504","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","boss_ub_enhance"
"93","74002505","バトル時間が45秒になる。","バトル時間制限","limit_time"
"94","74002505","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","boss_ub_enhance"
"95","74003102","カスミ、ハツネ、ユイ（プリンセス）のシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"96","74003103","ユキのシャドウが追加される。","シャドウ1体追加","add_shadow"
"97","74003103","ハツネ、ユキのシャドウが★6になる。","シャドウ強化","star6_shadow"
"98","74003104","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"99","74003105","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"100","74003105","すべてのシャドウの最大ＨＰが大幅に上昇する。","シャドウ最大ＨＰアップ","max_hp_up"
"101","74003202","カーズ・レリックが追加される。","モンスター1体追加","add_shadow"
"102","74003203","アオイのシャドウが★6になる。","シャドウ強化","star6_shadow"
"103","74003204","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。","開始時魔法ダメージカット","boss_magic_cut"
"104","74003204","カーズ・レリックのスキルが強化される。","モンスター強化","boss_ub_enhance"
"105","74003205","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。","開始時魔法ダメージカット","boss_magic_cut"
"106","74003205","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"107","74003302","ヒール・レリックが追加される。","モンスター1体追加","add_shadow"
"108","74003303","キャル（ニューイヤー）のシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"109","74003304","バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。","開始時物理ダメージカット","boss_physics_cut"
"110","74003304","ヒール・レリックのスキルが強化される。","モンスター強化","boss_ub_enhance"
"111","74003305","バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。","開始時物理ダメージカット","boss_physics_cut"
"112","74003305","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"113","74003402","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"114","74003402","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"115","74003403","バトル時間が70秒になる。","バトル時間制限","limit_time"
"116","74003403","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"117","74003403","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"118","74003404","バトル時間が70秒になる。","バトル時間制限","limit_time"
"119","74003404","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","boss_ub_enhance"
"120","74003404","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","ボスＴＰダウンカット","boss_tp_down_cut"
"121","74003404","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"122","74003404","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"123","74003405","バトル時間が50秒になる。","バトル時間制限","limit_time"
"124","74003405","ボスモンスターのユニオンバーストが強化される。","ボスUB強化","boss_ub_enhance"
"125","74003405","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","ボスＴＰダウンカット","boss_tp_down_cut"
"126","74003405","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"127","74003405","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"128","74003502","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"129","74003502","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"130","74003503","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"131","74003503","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"132","74003504","ルナポッドが追加される。","モンスター1体追加","add_shadow"
"133","74003504","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"134","74003504","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"135","74003505","カイザーインサイトのシャドウが追加される。","シャドウ1体追加","add_shadow"
"136","74003505","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit"
"137","74003505","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit"
"138","74004102","イノリ、サレン、ヨリ、ユニのシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"139","74004103","サレン（サマー）のシャドウが追加される。","シャドウ1体追加","add_shadow"
"140","74004103","サレン、ヨリのシャドウが★6になる。","シャドウ強化","star6_shadow"
"141","74004104","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"142","74004105","編成可能キャラ数が4キャラになる。","編成キャラ数制限","limit_chara_num"
"143","74004105","すべてのシャドウの最大ＨＰが大幅に上昇する。","シャドウ最大ＨＰアップ","max_hp_up"
"144","74004202","シールド・レリックが追加される。","モンスター1体追加","add_shadow"
"145","74004203","ネネカ（ニューイヤー）のシャドウに専用装備が追加される。","シャドウ強化","star6_shadow"
"146","74004204","シールド・レリックのスキルが強化される。","モンスター強化","boss_ub_enhance"
"147","74004204","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","開始時ＨＰ回復","hp_recover"
"148","74004205","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","開始時ＨＰ回復","hp_recover"
"149","74004205","バトル開始時、シールド・レリックのが味方全体に継続ＴＰ回復状態を付与する。","開始時ＴＰ継続回復付与","energy_recover"
