308055de4c08056023b325d3ec9d56536c7cffb2b43092cc4be056b9db1b72a4,950d3fd2c9c44fa50a4887aa14814871eb5954eaa043b75e438a23a360180793,9b9ae56f64eb8848205a359c6525943549c3e0977665c31a8d218ffcc075557c
"1","0","1"
"1","1","1"
"1","2","1"
"1","5","1"
"2","0","1"
"2","1","1"
"2","2","1"
"2","5","1"
"3","0","1"
"3","1","1"
"3","2","1"
"3","5","1"
"4","0","1"
"4","1","1"
"4","2","1"
"4","5","1"
"5","0","1"
"5","1","1"
"5","2","1"
"5","5","1"
"6","0","1"
"6","1","1"
"6","2","1"
"6","5","1"
"7","0","1"
"7","1","1"
"7","2","1"
"7","5","1"
"8","0","1"
"8","1","1"
"8","2","1"
"8","5","1"
"9","0","1"
"9","1","1"
"9","2","1"
"9","5","1"
"10","0","1"
"10","1","1"
"10","2","1"
"10","5","1"
"11","0","1"
"11","1","1"
"11","2","1"
"11","5","1"
