3188e27f69f3d1873d5610ce587e5833edfb2678b8a6b94614f24d417c3e9e20,360fb4c51eeca526c1e800cc0fe0e41190375cfe391e7e078f8cac2d80892670,62515dc5f4e9147f342fdb2b0d44f72de41f8ef78ed3102a94ca386d7d9822fa,631fede82046672a7176b96b580933ee0ca4df8b998a3958e6d729ede2cbcc8e,753d840ccc603ad582f118606c0c996793f5122b10bfddb35401cb464260dbc2,9061f56e324a6e2898629d12872958b19cae70579cf5f58aa16ca1f9ad161398,7a685cf2f73a52990c6a3e355faca04f2a18e82ccba4eab3f90b7a807a1f8582,9b4627e62a9682be977100f5004ab8559b0773a6373d82a9a9d2de9b8aad4ad4,cbe23281ce460a6b0fb4d1f06f7f12a7b086548083f4a56ed291da093b3a79cc
"1101001","0","0","1101002","0","21","0","0","600"
"1101002","0","600","1101003","0","22","0","0","2400"
"1101003","0","-1500","1","50","20","0","0","1"
"1101011","0","0","1101012","0","21","0","0","900"
"1101012","0","700","1101013","0","22","0","0","2100"
"1101013","0","-1500","1","200","20","0","0","1"
"1101021","0","0","1101022","0","21","0","0","400"
"1101022","0","500","1101023","0","22","0","0","2000"
"1101023","0","-1500","1","350","20","0","0","1"
"1101031","0","0","1101032","0","21","0","0","1000"
"1101032","0","900","1101033","0","22","0","0","1800"
"1101033","0","-1500","1","500","20","0","0","1"
"1101041","0","0","1101042","0","21","0","0","500"
"1101042","0","800","1101043","0","22","0","0","1600"
"1101043","0","-1500","1","750","20","0","0","1"
"1101101","0","2","25","2","1","2","0","1"
"1102001","0","-2000","1","-100","20","0","0","1"
"1102101","0","2","20","10","1","2","0","1"
"1102102","0","0","200000","0","10","2","0","2"
"1103001","0","0","1103002","0","21","0","0","500"
"1103002","0","0","1000","0","3","2","0","0"
"1202001","0","3000","-15","0","2","2","0","3"
"1204001","0","30000","15","0","2","1","0","3"
"1205001","0","30000","10","0","2","1","0","3"
"1206001","0","30000","10","0","2","1","0","3"
"1207001","0","30000","10","0","2","1","0","3"
"1208001","0","3000","15","0","2","1","0","2"
"1209001","0","3000","25","0","2","1","0","1"
"1210001","0","3000","10","0","2","1","0","2"
"1210002","0","0","1210003","0","21","0","0","3000"
"1210003","0","30000","15","0","2","1","0","1"
"1211001","0","3000","-10","0","2","1","0","2"
"1211002","0","0","1211003","0","21","0","0","3000"
"1211003","0","30000","-15","0","2","2","0","1"
"1213001","0","30000","-10","0","2","2","0","1"
"1213002","0","30000","-10","0","2","2","0","2"
"1214001","0","1500","-25","0","2","2","0","3"
"1216001","0","3000","-20","0","2","2","0","3"
"1218001","0","30000","20","0","2","1","0","3"
"1219001","0","30000","15","0","2","1","0","3"
"1220001","0","30000","15","0","2","1","0","3"
"1221001","0","30000","15","0","2","1","0","3"
"1222001","0","3000","20","0","2","1","0","2"
"1223001","0","3000","30","0","2","1","0","1"
"1224001","0","3000","15","0","2","1","0","2"
"1224002","0","0","1224003","0","21","0","0","3000"
"1224003","0","30000","20","0","2","1","0","1"
"1225001","0","3000","-10","0","2","1","0","2"
"1225002","0","0","1225003","0","21","0","0","3000"
"1225003","0","30000","-20","0","2","2","0","1"
"1227001","0","30000","-15","0","2","2","0","1"
"1227002","0","30000","-15","0","2","2","0","2"
"1228001","0","1500","-35","0","2","2","0","3"
"1229001","0","30000","20","0","2","1","0","3"
"1230001","0","3000","20","0","2","1","0","2"
"1230002","0","0","1230003","0","21","0","0","3000"
"1230003","0","30000","50","0","2","1","0","1"
"1232001","0","3000","-25","0","2","2","0","3"
"1234001","0","30000","25","0","2","1","0","3"
"1235001","0","30000","20","0","2","1","0","3"
"1236001","0","30000","20","0","2","1","0","3"
"1237001","0","30000","20","0","2","1","0","3"
"1238001","0","3000","25","0","2","1","0","2"
"1239001","0","3000","35","0","2","1","0","1"
"1240001","0","3000","20","0","2","1","0","2"
"1240002","0","0","1240003","0","21","0","0","3000"
"1240003","0","30000","25","0","2","1","0","1"
"1241001","0","3000","-10","0","2","1","0","2"
"1241002","0","0","1241003","0","21","0","0","3000"
"1241003","0","30000","-25","0","2","2","0","1"
"1242001","0","30000","-20","0","2","2","0","1"
"1242002","0","30000","-20","0","2","2","0","2"
"1244001","0","1500","-75","0","2","2","0","3"
"1246001","0","30000","20","0","2","1","0","3"
"1247001","0","30000","30","0","2","1","0","3"
"1247002","0","0","1247003","0","21","0","0","3000"
"1247003","0","3000","25","0","2","1","0","1"
"1248001","0","3000","75","0","2","1","0","1"
"1249001","0","1500","-90","0","2","2","0","3"
"2101001","0","30000","10","0","2","1","0","2"
"2102001","0","30000","10","0","2","1","0","2"
"2103001","0","3000","-15","0","2","2","0","2"
"2103002","0","3000","-15","0","2","2","0","3"
"2105001","0","3000","-25","0","2","2","0","3"
"2107001","0","30000","25","0","2","1","0","3"
"2108001","0","30000","10","0","2","1","0","3"
"2109001","0","30000","10","0","2","1","0","3"
"2110001","0","30000","10","0","2","1","0","3"
"2111001","0","3000","15","0","2","1","0","2"
