80e6a4548190c30bf7e3039a2e86bf591aacb2f216a8ce94b34b4900384af4d6,c3c81ab4cfb26c05e48ab7fe8167d9fe3f5d02a73ced4836b2263755dab26050,8bf7921b1507d0f6a763317f88f27c1b38d60c533ce91abcd29b0c02eecc719d,16e5a9d6009e53176b806d1e12f9e56e0b0a55807611a5ebaac4b4af867fb087,53e8256516907fd2576ccdb6d2f09556b2aba66710013331e5db131fb1d821e8,d76c9dc28553df4bbc0c468d5b2776cdb520ab1dac108ea05dd9b3ea68ea32c1,8d12cf7916ee071b3a20f1bc1e86e6f531de0c13cf3d120d08aa13307e125436
"105","2","105","3","105","1","1"
"120","2","105","3","120","1","2"
"120","2","100","3","100","1","3"
"120","2","105","3","120","1","4"
"120","2","105","3","105","1","5"
"105","2","100","3","100","1","6"
"105","2","120","3","100","1","7"
"105","2","100","3","100","1","8"
"120","2","105","3","120","1","9"
"105","2","120","3","100","1","10"
"100","2","100","3","105","1","11"
"120","2","105","3","120","1","12"
"105","2","105","3","105","1","13"
"105","2","105","3","120","1","14"
"120","2","120","3","120","1","15"
"100","2","100","3","100","1","16"
"120","2","120","3","105","1","17"
"105","2","120","3","120","1","18"
"100","2","105","3","105","1","19"
"105","2","100","3","105","1","20"
"100","2","100","3","105","1","21"
"120","2","120","3","120","1","22"
"100","2","105","3","100","1","23"
"120","2","120","3","120","1","24"
"120","2","105","3","105","1","25"
"100","2","100","3","100","1","26"
"100","2","100","3","100","1","27"
"100","2","100","3","100","1","28"
"120","2","120","3","120","1","29"
"105","2","105","3","120","1","30"
