fbc83c3aa195bc84eb8fda267d523e3cacc6634eceb0b4c5a26fd2556e95a5dc,adbab921a24a6d277d927c62daf168fde0e49fff2aad1adbfa7377361fd6d2bb,24131b9643988ec0c5be93eff8a34d397d0247756431a6305dd33d64e72e932c,6d831d052028063aa670c9327476ddfecd462830c5ff628126d48b073bbba42a,6f3187530c0b05ec98de4fae7341446a792a5a4e8235d9b10bd842ac0377a102,0eadd7c6d5e10666cc2f6a7e6c2899b39746a41de7b18b0e42ebac7647186483,2b29e58532bfde3f01fae17d8443273b85b935bc2dbedddc3b5fbf360cb7fc49,1bc4e82ad5717d7c5695b4cf42b3c33aa785c8733c1170f04e5b882c547dfd9b,90a2c203dab3daa8349c51ec135fe7a9bc34b4935d785aa8e6f76afc11e01e5c,a67b164d246aea5038103f3aabee88a052502d16ab10ee6682fee25acad849a7,295a4ae1aeb2f26b193ac8eb0f47b13349b44deb4e55a904573a7592ae71941b,e31755e3d051cb14e036e2591ca20dbbd1c751f5cce26b55614d88af7c1f1507,7f41f9b8e4f451cae286e8eff81b9a0458614356e806949bf6e01c6860676818,43b4bfdac57c333e6f369745d4104057286ef581e10620fc8cb5c7fb05d2c567,bdaa974b79b5b86ed9adec8ffba212761431d0626cc2bd6573df066b89fe9058,5e7d6a9256256cf54aab3971833013c3fccfed9a806f537fe1262b9fb31c26ef,12472dd9c9c47038319e3897a34badedd0257963aed21e3d1de6bf74273b4e01,ec77bffcb0e3f376336ca11de5a67c0a33de73be4f230d6e08c156ded66c59d4,12133bb8fc5daac5734b714af8e3dac91084549d0782871a4cbac01f7786dc89,a8e28eaa6f5120058bc677cfdd07779c45a3b43c4d9dad7d6beeee78a453e9d6,cfc1885a5aad64b762c9aaee99280d505a069d26f4c2ddabc5390527da15ba02
"1","0","1","91002","0","8","1","0","0","500","5","2","1","500","31043","0","0","0","90006","2","1001"
"2","0","2","91002","0","8","1","0","0","1000","8","2","2","1000","31043","0","0","0","90006","2","1001"
"3","0","3","91002","0","8","1","0","0","1500","10","2","3","1500","31043","0","0","0","90006","2","1001"
"4","0","4","91002","0","8","1","0","0","2000","12","2","4","2000","31043","0","0","0","90006","2","1001"
"5","0","5","91002","0","8","1","0","0","2500","14","2","5","2500","31043","0","0","0","90006","2","1001"
"6","0","6","91002","0","8","1","0","0","3000","16","2","6","3000","31043","0","0","0","90006","2","1001"
"7","0","7","91002","0","8","1","0","0","3500","18","2","7","3500","31043","0","0","0","90006","2","1001"
"9","0","8","91002","0","8","1","0","0","4000","20","2","8","4000","31043","0","0","0","90006","2","1001"
"-1","0","9","91002","0","8","1","0","0","4500","25","2","10","4500","31043","0","0","0","90006","2","1001"
"1","0","10","91002","0","8","1","0","0","500","5","2","1","500","31022","0","0","0","90006","2","1002"
"2","0","11","91002","0","8","1","0","0","1000","8","2","2","1000","31022","0","0","0","90006","2","1002"
"3","0","12","91002","0","8","1","0","0","1500","10","2","3","1500","31022","0","0","0","90006","2","1002"
"4","0","13","91002","0","8","1","0","0","2000","12","2","4","2000","31022","0","0","0","90006","2","1002"
"5","0","14","91002","0","8","1","0","0","2500","14","2","5","2500","31022","0","0","0","90006","2","1002"
"6","0","15","91002","0","8","1","0","0","3000","16","2","6","3000","31022","0","0","0","90006","2","1002"
"7","0","16","91002","0","8","1","0","0","3500","18","2","7","3500","31022","0","0","0","90006","2","1002"
"8","0","17","91002","0","8","1","0","0","4000","20","2","8","4000","31022","0","0","0","90006","2","1002"
"9","0","18","91002","0","8","1","0","0","4500","25","2","9","4500","31022","0","0","0","90006","2","1002"
"-1","0","19","91002","0","8","1","0","0","5000","30","2","10","5000","31022","0","0","0","90006","2","1002"
"1","0","20","91002","0","8","1","0","0","500","5","2","1","500","31042","0","0","0","90006","2","1003"
"2","0","21","91002","0","8","1","0","0","1000","8","2","2","1000","31042","0","0","0","90006","2","1003"
"3","0","22","91002","0","8","1","0","0","1500","10","2","3","1500","31042","0","0","0","90006","2","1003"
"4","0","23","91002","0","8","1","0","0","2000","12","2","4","2000","31042","0","0","0","90006","2","1003"
"5","0","24","91002","0","8","1","0","0","2500","14","2","5","2500","31042","0","0","0","90006","2","1003"
"6","0","25","91002","0","8","1","0","0","3000","16","2","6","3000","31042","0","0","0","90006","2","1003"
"7","0","26","91002","0","8","1","0","0","3500","18","2","7","3500","31042","0","0","0","90006","2","1003"
"8","0","27","91002","0","8","1","0","0","4000","20","2","8","4000","31042","0","0","0","90006","2","1003"
"9","0","28","91002","0","8","1","0","0","4500","25","2","9","4500","31042","0","0","0","90006","2","1003"
"-1","0","29","91002","0","8","1","0","0","5000","30","2","10","5000","31042","0","0","0","90006","2","1003"
"1","0","30","91002","0","8","1","0","0","500","5","2","1","500","31018","0","0","0","90006","2","1004"
"2","0","31","91002","0","8","1","0","0","1000","8","2","2","1000","31018","0","0","0","90006","2","1004"
"3","0","32","91002","0","8","1","0","0","1500","10","2","3","1500","31018","0","0","0","90006","2","1004"
"4","0","33","91002","0","8","1","0","0","2000","12","2","4","2000","31018","0","0","0","90006","2","1004"
"5","0","34","91002","0","8","1","0","0","2500","14","2","5","2500","31018","0","0","0","90006","2","1004"
"6","0","35","91002","0","8","1","0","0","3000","16","2","6","3000","31018","0","0","0","90006","2","1004"
"7","0","36","91002","0","8","1","0","0","3500","18","2","7","3500","31018","0","0","0","90006","2","1004"
"8","0","37","91002","0","8","1","0","0","4000","20","2","8","4000","31018","0","0","0","90006","2","1004"
"9","0","38","91002","0","8","1","0","0","4500","25","2","9","4500","31018","0","0","0","90006","2","1004"
"-1","0","39","91002","0","8","1","0","0","5000","30","2","10","5000","31018","0","0","0","90006","2","1004"
"1","0","40","91002","0","8","1","0","0","500","5","2","1","500","31025","0","0","0","90006","2","1005"
"2","0","41","91002","0","8","1","0","0","1000","8","2","2","1000","31025","0","0","0","90006","2","1005"
"3","0","42","91002","0","8","1","0","0","1500","10","2","3","1500","31025","0","0","0","90006","2","1005"
"4","0","43","91002","0","8","1","0","0","2000","12","2","4","2000","31025","0","0","0","90006","2","1005"
"5","0","44","91002","0","8","1","0","0","2500","14","2","5","2500","31025","0","0","0","90006","2","1005"
