48377d56d5e7ff5730ec553610d7dec2f62a40b276461ae3bc2b4ddb151ecd59,6011c1c72b766762eb5dd8bd85f015bcbad3783088cd29d512271de67e81f743,bb41aca4faf8f3dc3fd62ac54c4598005ea2e0a9b0448c6a94a7067c458dad25,1ae604c883f62c1a8863331d6700ec294cbd9c4cfc5fd1085521701c1086718b,ff8468ea27ffe07a5c0bbc00cd4f4612275eb59220c780624b8b0c44a54f7145,64b2cf59eb4e1115b1be4ab1ab8a2f7aa194107e430d48a167565a6f600a87fc
"1000000","100","100","100","100","100"
"2000000","150","100","100","100","100"
"2000001","100","150","100","100","100"
"2000002","100","100","150","100","100"
"2000003","100","100","100","150","100"
"2000004","100","100","100","100","150"
"2000010","250","100","100","100","100"
"2000011","100","250","100","100","100"
"2000012","100","100","250","100","100"
"2000013","100","100","100","250","100"
"2000014","100","100","100","100","250"
"3000000","150","150","100","100","100"
"3000001","150","100","150","100","100"
"3000002","150","100","100","150","100"
"3000003","150","100","100","100","150"
"3000004","100","150","150","100","100"
"3000005","100","150","100","150","100"
"3000006","100","150","100","100","150"
"3000007","100","100","150","150","100"
"3000008","100","100","150","100","150"
"3000009","100","100","100","150","150"
"3000010","250","250","100","100","100"
"3000011","250","100","250","100","100"
"3000012","250","100","100","250","100"
"3000013","250","100","100","100","250"
"3000014","100","250","250","100","100"
"3000015","100","250","100","250","100"
"3000016","100","250","100","100","250"
"3000017","100","100","250","250","100"
"3000018","100","100","250","100","250"
"3000019","100","100","100","250","250"
"4000000","150","150","150","100","100"
"4000001","150","150","100","150","100"
"4000002","150","150","100","100","150"
"4000003","150","100","150","150","100"
"4000004","150","100","150","100","150"
"4000005","150","100","100","150","150"
"4000006","100","150","150","150","100"
"4000007","100","150","150","100","150"
"4000008","100","150","100","150","150"
"4000009","100","100","150","150","150"
"4000010","250","250","250","100","100"
"4000011","250","250","100","250","100"
"4000012","250","250","100","100","250"
"4000013","250","100","250","250","100"
"4000014","250","100","250","100","250"
"4000015","250","100","100","250","250"
"4000016","100","250","250","250","100"
"4000017","100","250","250","100","250"
"4000018","100","250","100","250","250"
"4000019","100","100","250","250","250"
"5000000","150","150","150","150","100"
"5000001","150","150","150","100","150"
"5000002","150","150","100","150","150"
"5000003","150","100","150","150","150"
"5000004","100","150","150","150","150"
"5000010","250","250","250","250","100"
"5000011","250","250","250","100","250"
"5000012","250","250","100","250","250"
"5000013","250","100","250","250","250"
"5000014","100","250","250","250","250"
