043cb9fbd3beceae37fde249150f250b18fe6e8e171ab33c51c136cd8ee5b1c7,e601ed78ca67a6914a689fbe777f50ae27121c8dc14c33e8c360b876395623b6,b7349063a0d5fbb1bfed9fe190e4cb82437b5d610b78377d0e02f70c817a12a3,04efaa75af368943f3b001e54519f319e9f4a85bb1b109e78ffb4c89add8cc22,8e1b21e5b905a2a0440c9945e82c61cadd1abb9b6a7ede9b206abd877311be06,77f0c82ee069d15f53151df9ceba2332e3d6a33edcad0159967adf2615b09785,129a80b803b343c4b6e7874ab4915f5eb88fef5b017d46d35cc8c763caf28c24,507742eb55fd8517d107b1f4ae419cfa9002be12e755fda5c70eff77a7eeead2,8f50ec09f8477785b01fbf949be5b7b3e2056ea2b20b84c67435894792f5b777,bafaddf4735e34d29b55baecb1731c0cb594216fb04a2ecf80acd370dbb3610b,0e9021162b591183637cf13b179eaf5c0893966dcc68da7747e0d6109e5fcb7b,d12abd7ed442ad84646e0b44fca3ecea25ff5bd727ff6f7527042f341d841521,30b74efe56f1c8543ecdb8209b910b38bf5c0f8e33b5f2773ae85bf10a74181c,1aed13d1596a3a28c2c944ca4593519e24997fe19cfd698ab082b1e7859ca84d,f31709f879badfd382ce43e80c0f650c3928c0da79cefa503183f77e743bdc18,73ba292086485434474a9cf6bcdf0e368e6d68f7aa906d6d8e5ec9522adf6ff2,d9e91921b0e16630536921150d99337056b550ceff55e5d31719290c92a5514b,9f25d7ee024ce1090ff97e8c96d729b8bfebb97fb24be2a38c6c4f02be58593c,040b13c52e36d780ea2dd1a037dd0053e595ecff92ec1f8f9c3ab517029f5c05,de05736c2c3c7d0f19b4209d9441e1f83ce62a3d78a64c57f2cb70f33dcfefa0,b4f0329aa3e24171823f65aeb6ad8a83a5ddb676ac90a05221821db9e7625ccf
"SummerEnemyC","SummerEnemyA","0","0","NONE","0","SpeedTerritoryA","0","AccelBoardA","0","NONE","NONE","NONE","600","BeachJumpOverTrap","1800","3100","NONE","2500","1000","1000"
"SpeedTerritoryA","SummerEnemyB","0","0","NONE","0","WaterMelon","0","AccelBoardA","0","NONE","NONE","NONE","500","AccelBoardA","1300","3000","NONE","2000","800","1001"
"SpeedTerritoryA_NoColl","Balloon","0","0","NONE","0","EnemyB_NoColl","0","SummerEnemyA_NoColl","0","NONE","NONE","NONE","400","BeachTrap_NoCall","1300","2000","NONE","1600","1000","1002"
"EnemyB","BeachJumpOverTrap","0","0","NONE","0","BeachJumpOverTrap","0","AccelBoardA","0","NONE","NONE","NONE","700","AccelBoardA","2300","3300","NONE","3000","1500","1003"
"BeachJumpOverTrap","BeachJumpOverTrap","0","0","NONE","0","SpeedTerritoryA","0","SummerEnemyA","0","NONE","NONE","NONE","800","NONE","1900","0","NONE","2700","1300","1004"
"SpeedTerritoryA","BeachJumpBoard","0","0","NONE","0","AccelBoardA","0","SummerJumpOverEnemyC","0","NONE","NONE","NONE","300","SummerEnemyB","2000","3300","NONE","2600","1500","1005"
"BeachTrap","SummerEnemyA","3700","0","NONE","0","BeachJumpOverTrap","0","BeachTrap","0","NONE","NONE","BeachTrap","700","AccelBoardA","1800","3000","NONE","2500","1300","1006"
"BeachJumpOverTrap","AccelBoardA","0","0","NONE","0","SummerEnemyB","0","SummerEnemyB","0","NONE","NONE","NONE","500","BeachJumpOverTrap","1800","3100","NONE","2400","1300","1007"
"SummerEnemyB","AccelBoardA","3700","0","NONE","0","AccelBoardA","0","BeachJumpBoard","0","NONE","NONE","SummerEnemyB","500","BeachJumpOverTrap","2300","3400","NONE","2700","1100","1008"
"SummerEnemyA_NoColl","Balloon","3700","0","NONE","0","BeachJumpOverTrap","0","BeachTrap_NoCall","0","NONE","NONE","SpeedTerritoryA","400","BeachJumpOverTrap","2000","3300","NONE","2900","1000","1009"
"BeachJumpOverTrap","BeachJumpOverTrap","0","0","NONE","0","EnemyB","0","SpeedTerritoryA","0","NONE","NONE","NONE","400","BeachJumpOverTrap","2200","3500","NONE","3000","1400","1010"
"BeachJumpBoard","SummerEnemyD","3300","0","NONE","0","BeachJumpOverTrap","0","SpeedTerritoryA","0","NONE","NONE","AccelBoardA","400","SummerEnemyA","1500","2800","NONE","2400","900","1011"
