65adb82199546dc0c108994a5d4037fd9524b5cc19fe231a35c1f63d07e0f44c,1bca421099a664bff4653f9e7f96caa07c607d7b9e12178fb49a32d74f6e4ae2,f93d6681818fda175c7f9b4caaa3fc74293ed3adc91d7c2d9492552e72889980,247f4872c25f15ce6610920c8a068830ac23c3bc291688d0338633e5ded8c3d7,137b6b6177942457799ed485471811c0049c63f1311dc0f3ddc7e6c4a5b5e6f2
"0","0","0","0","1"
"0","0","0","0","2"
"0","0","0","0","3"
"2","0","0","0","4"
"2","0","0","0","5"
"2","0","0","0","6"
"3","0","0","0","7"
"3","0","0","0","8"
"3","0","0","0","9"
"4","0","0","0","10"
"4","0","0","0","11"
"4","0","0","0","12"
"0","0","0","0","13"
"0","0","0","0","14"
"0","0","0","0","15"
"0","2","0","0","16"
"0","2","0","0","17"
"0","2","0","0","18"
"0","3","0","0","19"
"0","3","0","0","20"
"0","3","0","0","21"
"3","0","0","0","22"
"3","0","0","0","23"
"2","0","0","0","24"
"2","0","0","0","25"
"0","2","0","0","26"
"0","2","0","0","27"
"2","0","0","3","28"
"2","0","0","3","29"
"3","2","0","0","30"
"3","2","0","0","31"
"3","3","0","0","32"
"0","3","0","0","33"
"3","0","0","4","34"
"0","0","0","0","35"
"2","2","0","0","36"
"2","2","0","0","37"
"4","3","0","0","38"
