ad5ed13a530b559a704cda21529521feec76c48baf44199916659fb7986be6c3,c35d3fb474da3cfc613e4b5dabd57894b50dd27f7861a573b092b36f741623a2,ce784eeda9f192e8a367224370c8b64d5d43174a25b05971f8a55d57b2d32630,a9e235ddc40f2c44168f54ea719f3a0e2beb813d03579af3085fb41747ae9c3b,6c3af18fc3453a5be37aa58d331b8674c59dda02525e66460e7b4bfdb2ae4686,845d91b7e31925c1ca141af704270dce5974b28e47abee5dae76325db0d5d74f,1e8a303aa346944bf0ef5cad149ee6df800a9aa053311d17437babd1416540e6,e7d842e406884980095f041fbf439129b04d066eaad9c188132ac5e1dc864441,4c3fcc5f88398b7ce841eba5011a2cb1f52234f1fc5b388fd0909c4afe8d98bf,e0646b9cdece4eb727a1f6233d7cc1c45420a78027d30e6fc57718d37af0cafc,5081fcbd241e6bf015b7783393eb0aed5e55e61373cd57327fa3f257256f19c2,65a9b9ce4f95df11e131cc8892b3ce40ec7c3b0d2f1ba01bcca04e1c0c1fabb4,9eea0c3b4baa924c814442174b6ba487eeb5e3879860bdabb50076c7a19dd90a,3795e1470a093d9a8a5ceed3bd684a51e0c6c1bdb4c54b30d37623bc9a2828f6,7322ac5c63ea05fd42d705fa493110415c5c999f31fdec226732dfa2b3c61db5,c7499562e90d71844086284c4365b11d80a84f22629010cb682cdf9633d40fb3
"105","0","102","1","5","0","103","1","0","1","1","10016","0","104","0","101"
"205","0","202","2","2","0","203","1","0","2","2","10021","1","204","0","201"
"305","0","302","5","5","0","303","1","0","2","3","10053","1","304","0","301"
"405","0","402","4","8","0","403","1","0","2","4","10044","1","404","0","401"
"505","0","502","4","2","0","503","1","0","3","5","10042","2","504","0","501"
"605","0","602","2","5","0","603","1","0","3","6","10024","3","604","0","601"
"705","0","702","1","8","0","703","1","0","3","7","10015","4","704","0","701"
"0","0","0","101","2","0","0","1","0","4","8","11012","5","0","0","801"
"905","0","902","2","5","0","903","1","0","4","9","10023","6","904","0","901"
"0","0","0","101","8","0","0","1","0","4","10","11011","7","0","0","1001"
"1105","0","1102","5","2","0","1103","1","0","5","11","10052","8","1104","0","1101"
"1205","0","1202","4","5","0","1203","1","0","5","12","10045","9","1204","0","1201"
"1305","0","1302","2","8","0","1303","1","0","5","13","10021","10","1304","0","1301"
"1405","0","1402","1","2","0","1403","1","0","6","14","10013","11","1404","0","1401"
"1505","0","1502","5","5","0","1503","1","0","6","15","10054","12","1504","0","1501"
"0","0","0","101","8","0","0","1","0","6","16","11015","13","0","0","1601"
"0","0","0","100","2","0","0","1","0","7","17","11002","14","0","0","1701"
"1805","0","1802","4","5","0","1803","1","0","7","18","10043","15","1804","0","1801"
"1905","0","1902","3","8","16","1903","1","0","7","19","10034","16","1904","0","1901"
"2005","0","2002","4","2","0","2003","1","0","8","20","10041","17","2004","0","2001"
"0","0","0","100","5","0","0","1","0","8","21","11003","18","0","0","2101"
"2205","0","2202","2","8","0","2203","1","0","8","22","10025","19","2204","0","2201"
"2305","0","2302","1","2","0","2303","1","0","9","23","10011","20","2304","0","2301"
"2405","0","2402","2","5","0","2403","1","0","9","24","10022","21","2404","0","2401"
"2505","0","2502","4","8","0","2503","1","0","9","25","10045","22","2504","0","2501"
"0","0","2602","100","5","24","2603","1","25","10","26","11006","23","0","0","2601"
"2705","0","2702","3","2","0","2703","1","0","11","27","10031","26","2704","0","2701"
"2805","0","2802","4","5","0","2803","1","0","11","28","10044","26","2804","0","2801"
"2905","0","2902","7","8","0","2903","1","0","11","29","10075","26","2904","0","2901"
"3005","0","3002","3","2","0","3003","1","0","12","30","10032","27","3004","0","3001"
"3105","0","3102","1","5","0","3103","1","0","12","31","10013","28","3104","0","3101"
"3205","0","3202","4","8","0","3203","1","0","12","32","10044","29","3204","0","3201"
"3305","0","3302","4","2","0","3303","1","0","13","33","10041","30","3304","0","3301"
"3405","0","3402","2","5","0","3403","1","0","13","34","10022","31","3404","0","3401"
"3505","0","3502","5","8","0","3503","1","0","13","35","10053","32","3504","0","3501"
"3605","0","3602","2","2","0","3603","1","0","14","36","10024","33","3604","0","3601"
"3705","0","3702","4","5","0","3703","1","0","14","37","10045","34","3704","0","3701"
"3805","0","3802","1","8","0","3803","1","0","14","38","10012","35","3804","0","3801"
"3905","0","3902","4","2","0","3903","1","0","15","39","10043","36","3904","0","3901"
"4005","0","4002","3","5","0","4003","1","0","15","40","10035","37","4004","0","4001"
"4105","0","4102","7","8","0","4103","1","0","15","41","10072","38","4104","0","4101"
"4205","0","4202","2","2","0","4203","1","0","16","42","10021","39","4204","0","4201"
"4305","0","4302","3","5","0","4303","1","0","16","43","10034","40","4304","0","4301"
"4405","0","4402","1","8","0","4403","1","0","16","44","10015","41","4404","0","4401"
"4505","0","4502","2","2","0","4503","1","0","17","45","10022","42","4504","0","4501"
"4605","0","4602","2","5","0","4603","1","0","17","46","10023","43","4604","0","4601"
"4705","0","4702","7","8","0","4703","1","0","17","47","10074","44","4704","0","4701"
"4805","0","4802","3","2","0","4803","1","0","18","48","10031","45","4804","0","4801"
"4905","0","4902","5","5","0","4903","1","0","18","49","10052","46","4904","0","4901"
"5005","0","5002","2","8","0","5003","1","0","18","50","10025","47","5004","0","5001"
"5105","0","5102","4","2","0","5103","1","0","19","51","10041","48","5104","0","5101"
"5205","0","5202","3","5","0","5203","1","0","19","52","10033","49","5204","0","5201"
"5305","0","5302","7","8","0","5303","1","0","19","53","10074","50","5304","0","5301"
"0","0","5402","101","5","52","5403","1","53","20","54","11016","51","0","0","5401"
"5505","0","5502","4","2","0","5503","1","0","21","55","10041","54","5504","0","5501"
"0","0","5602","100","5","0","0","1","0","21","56","11002","54","0","0","5601"
"5705","0","5702","6","8","0","5703","1","0","21","57","10065","54","5704","0","5701"
"5805","0","5802","2","2","0","5803","1","0","22","58","10022","55","5804","0","5801"
"5905","0","5902","1","5","0","5903","1","0","22","59","10013","56","5904","0","5901"
"0","0","6002","101","8","0","0","1","0","22","60","11015","57","0","0","6001"
"6105","0","6102","2","2","0","6103","1","0","23","61","10021","58","6104","0","6101"
"6205","0","6202","3","5","0","6203","1","0","23","62","10032","59","6204","0","6201"
"6305","0","6302","2","8","0","6303","1","0","23","63","10023","60","6304","0","6301"
"6405","0","6402","2","2","0","6403","1","0","24","64","10024","61","6404","0","6401"
"6505","0","6502","7","5","0","6503","1","0","24","65","10071","62","6504","0","6501"
"0","0","0","100","8","0","0","1","0","24","66","11004","63","0","0","6601"
"6705","0","6702","5","2","0","6703","1","0","25","67","10055","64","6704","0","6701"
"6805","0","6802","5","5","0","6803","1","0","25","68","10051","65","6804","0","6801"
"6905","0","6902","4","8","0","6903","1","0","25","69","10042","66","6904","0","6901"
"7005","0","7002","6","2","0","7003","1","0","26","70","10064","67","7004","0","7001"
"7105","0","7102","6","5","0","7103","1","0","26","71","10061","68","7104","0","7101"
"0","0","0","101","8","0","0","1","0","26","72","11013","69","0","0","7201"
"7305","0","7302","3","2","0","7303","1","0","27","73","10033","70","7304","0","7301"
"7405","0","7402","1","5","0","7403","1","0","27","74","10014","71","7404","0","7401"
"7505","0","7502","5","8","0","7503","1","0","27","75","10052","72","7504","0","7501"
"7605","0","7602","4","2","0","7603","1","0","28","76","10044","73","7604","0","7601"
"0","0","0","100","5","0","0","1","0","28","77","11005","74","0","0","7701"
"0","0","7802","101","8","0","0","1","0","28","78","11011","75","0","0","7801"
"7905","0","7902","3","2","0","7903","1","0","29","79","10034","76","7904","0","7901"
"8005","0","8002","7","5","0","8003","1","0","29","80","10073","77","8004","0","8001"
"8105","0","8102","3","8","0","8103","1","0","29","81","10035","78","8104","0","8101"
"8205","0","8202","6","5","80","8203","1","81","30","82","10066","79","8204","0","8201"
"8305","0","8302","6","2","0","8303","1","0","31","83","10062","82","8304","0","8301"
