c27e077096cfef6cb5d9b5a0d5282828de9dae98f9271c1c045de4f813133d6f,38e1c25951d07847c9c8062f8eb69d1dd328339e5c715ce3f3058cee32f3b3a2,ffe85e77aad61a17d999905ea5d41f77f0f8db2f9938165f9b222fd4c32fc507
"1","61013201","6101321"
"2","61013201","6101322"
"3","61013201","6101323"
"4","61013201","6101324"
"5","61013201","6101325"
"6","61013201","6101326"
"7","61013201","6101327"
"8","61013401","6101341"
"9","61013401","6101342"
"10","61013401","6101343"
"11","61013401","6101344"
"12","61013401","6101345"
"13","61013601","6101361"
"14","61013601","6101362"
"15","61013601","6101363"
"16","61013601","6101364"
"17","61013601","6101365"
"18","61013601","6101366"
"19","61013601","6101367"
"20","61013601","6101368"
"21","61014001","6101401"
"22","61014001","6101402"
"23","61014001","6101403"
"24","61014001","6101404"
"25","61014001","6101405"
"26","61014201","6101421"
"27","61014201","6101422"
"28","61014201","6101423"
"29","61014201","6101424"
"30","61014401","6101441"
"31","61014401","6101442"
"32","61014401","6101443"
"33","61014401","6101444"
"34","61014601","6101461"
"35","61014601","6101462"
"36","61014601","6101463"
"37","61014601","6101464"
"38","61014601","6101465"
"39","61014601","6101466"
"40","61014601","6101467"
"41","61014601","6101468"
"42","61014601","6101469"
"43","61014801","6101481"
"44","61014801","6101482"
"45","61014801","6101483"
"46","61014801","6101484"
"47","61014801","6101485"
"48","61015001","6101501"
"49","61015001","6101502"
"50","61015001","6101503"
"51","61015001","6101504"
"52","61015001","6101505"
"53","61015201","6101520"
"54","61015201","6101521"
"55","61015201","6101522"
"56","61015201","6101523"
"57","61015201","6101524"
"58","61015201","6101525"
"59","61015201","6101526"
"60","61015201","6101527"
"61","61015201","6101528"
"62","61015201","6101529"
