445bbbc8b4e60cf9801cba396187bb0d2006535ff34c92a61cb9fff1e91543bf,6d5a82c410e0f2ebe2c167c13966992ffa25c9bd6de52dcb0e6d355c8467bcd0,68ae6d342ed251ab4478bd098d7f89126ea53dcf6e1d4241a56065fd171f27f2,0cf916bea170524099a3cc83aae001151e797121687fc01c2dae15c3478d99db,c3b66f9925456fcba5293d02caf997fe8cc802cfbc4091c16b876a70533dd0a3,baf0ae82c5319ee305871871a28c9190b94f296b32921f3facb501823cfd1b63,90c6847448ffebfe8c142df20ca1d6c500498e61d73be2848b69ef4a4ccdde16,ff89d6f63b3173132c638a2ada8b253be03896007bd9ed1156aedf1366cf3a33
"1","1","1","170","71","-90","-401","182"
"1","2","2","170","81","-90","-401","182"
"1","3","3","255","121","90","-255","182"
"1","4","4","255","131","90","-255","182"
"1","5","5","255","141","90","-255","182"
"1","6","6","229","191","-80","-107","176"
"1","7","7","229","201","-80","-107","176"
"1","8","8","218","271","-85","136","151"
"1","9","9","218","281","-85","136","151"
"1","10","10","218","291","-85","136","151"
"1","11","11","156","331","80","280","219"
"1","12","12","156","341","80","280","219"
"1","13","13","156","351","80","280","219"
"1","14","14","213","401","-97","417","183"
"1","15","15","213","411","-97","417","183"
"2","2","1","242","451","-73","-259","229"
"2","4","2","226","481","124","-222","179"
"2","6","3","219","501","-67","-101","192"
"2","8","4","168","521","-27","-26","190"
"2","11","5","192","551","-50","117","260"
"2","14","6","159","601","120","241","138"
"2","14","7","159","611","120","241","138"
"2","14","8","224","621","-71","243","229"
"3","1","1","71","781","32","-353","43"
"3","2","2","235","801","-30","-228","268"
"3","3","3","80","831","144","-243","45"
"3","4","4","221","851","-76","20","225"
"3","5","5","211","861","-74","230","222"
"3","6","6","115","891","44","-100","136"
"3","7","7","115","901","44","-100","136"
"3","8","8","306","991","76","116","250"
"3","9","9","306","1001","76","116","250"
"3","10","10","306","1011","76","116","250"
"3","11","11","96","1041","40","322","188"
"3","12","12","96","1051","40","322","188"
"4","1","1","294","1091","-6","-211","272"
"4","2","2","92","1101","129","-288","115"
"4","3","3","92","1111","129","-288","115"
"4","4","4","135","1121","128","-58","174"
"4","5","5","222","1151","133","143","184"
"4","6","6","134","1161","-129","-277","98"
"4","7","7","134","1171","-129","-277","98"
"4","8","8","67","1211","-12","-60","70"
"4","9","9","67","1221","-12","-60","70"
"4","10","10","132","1231","-55","116","185"
"4","11","11","93","1261","-103","-17","89"
"4","12","12","93","1271","-103","-17","89"
"4","13","13","150","1311","23","232","239"
"5","1","1","114","1391","-161","-289","72"
"5","2","2","114","1401","-161","-289","72"
"5","3","3","228","1411","80","-261","248"
"5","4","4","223","1431","-91","-103","211"
"5","5","5","186","1471","95","-87","181"
"5","6","6","132","1551","-122","69","176"
"5","7","7","132","1561","-122","69","176"
"5","8","8","143","1611","91","54","184"
"5","9","9","211","1641","45","204","247"
"5","10","10","137","1651","141","308","167"
"5","11","11","175","1661","-46","282","174"
"6","1","1","222","1741","-11","-252","240"
"6","2","2","311","1761","-96","-19","245"
"6","3","3","261","1771","95","-46","221"
"6","4","4","166","1781","83","152","237"
"6","5","5","183","1782","-100","227","229"
"7","1","1","223","1811","-46","-249","183"
"7","2","2","337","1881","54","-159","247"
"7","3","3","202","1921","-70","30","191"
"7","4","4","176","1941","0","173","215"
"7","5","5","204","1981","77","292","236"
"8","1","1","209","2001","89","-472","254"
"8","2","2","250","2031","-77","-375","282"
"8","3","3","241","2051","110","-280","223"
"8","4","4","243","2101","-85","-148","270"
"8","5","5","274","2131","74","3","264"
"8","6","6","321","2171","-36","155","302"
"8","7","7","199","2201","82","283","277"
"8","8","8","349","2271","0","374","344"
"9","1","1","240","2321","-30","-275","301"
"9","2","2","106","2361","-115","-132","108"
"9","3","3","106","2371","-115","-132","108"
"9","4","4","202","2381","32","-73","246"
"9","5","5","114","2411","-140","-43","84"
"9","6","6","114","2421","-140","-43","84"
"9","8","7","86","2461","65","50","84"
"9","9","8","86","2471","65","50","84"
"9","10","9","185","2481","-110","80","137"
"9","11","10","185","2491","-110","80","137"
"9","7","11","301","2521","24","131","377"
"9","12","12","190","2531","-50","280","305"
"10","3","1","123","2601","-137","-527","145"
"10","4","2","123","2611","-137","-527","145"
"10","1","3","408","2621","35","-379","295"
"10","2","4","171","2622","103","-299","192"
"10","6","5","342","2623","-64","-138","244"
"10","5","6","224","2701","9","-47","254"
"10","8","7","253","2781","-88","131","204"
"10","9","8","110","2791","23","89","139"
"10","10","9","110","2801","23","89","139"
"10","7","10","292","2811","42","275","249"
"10","11","11","126","2821","-120","274","151"
"10","12","12","126","2831","-120","274","151"
"10","13","13","276","2841","-17","448","316"
"11","1","1","158","2901","-87","-292","203"
"11","2","2","256","3011","123","-224","187"
"11","3","3","144","3031","-80","-65","225"
"11","4","4","149","3111","-84","80","214"
"11","5","5","201","3131","112","227","194"
"11","6","6","161","3141","-111","159","111"
"11","7","7","161","3151","-111","159","111"
"11","8","8","166","3171","-80","307","209"
"12","3","1","364","3211","-106","-185","206"
"12","1","2","160","3221","34","-304","277"
"12","2","3","249","3231","45","-107","275"
"12","5","4","167","3321","-46","31","233"
"12","7","5","174","3381","-122","135","130"
"12","8","6","174","3391","-122","135","130"
"12","4","7","244","3431","101","127","223"
"12","6","8","235","3441","-24","254","246"
"12","9","9","167","3461","-114","303","156"
"12","10","10","167","3471","-114","303","156"
"12","11","11","108","3491","152","338","94"
"12","12","12","108","3501","152","338","94"
"13","3","1","210","3531","-48","-286","270"
"13","2","2","92","3541","144","-310","103"
"13","3","3","228","3551","-90","-152","219"
"13","4","4","94","3561","99","-148","103"
"13","5","5","110","3571","-157","-12","71"
"13","1","6","209","3581","-2","-5","274"
"13","6","7","219","3691","-72","141","292"
"13","7","8","88","3701","143","146","104"
"13","8","9","160","3741","131","299","135"
"13","9","10","160","3751","131","299","135"
"13","10","11","179","3791","-82","301","268"
"14","2","1","197","3801","6","-470","286"
"14","3","2","134","3811","-123","-520","89"
"14","1","3","204","3821","103","-369","236"
"14","5","4","176","3861","-74","-283","241"
"14","6","5","156","3891","-83","-151","236"
"14","4","6","219","3911","108","-174","226"
"14","10","7","107","3921","-130","-51","96"
"14","9","8","179","3931","50","-5","251"
"14","11","9","113","3941","-106","100","102"
"14","12","10","242","3951","-41","268","317"
"14","7","11","209","3961","79","138","240"
"14","8","12","209","3971","79","138","240"
"14","14","13","125","4021","-125","441","93"
"14","13","14","219","4031","22","485","279"
