6163f9f4f5dcc80269399b891865366dfd6b25772eefaf211b7bbe6e8ecd5b18,5b5125c5f823f0356da71951068fe7b6adb754f5a05ea9e14b52e10cadca4ad6,48b4a7489cfdb36a295e408cd2f0b63d886f77d309397bddb5989776ad2ef8f2,3af31b186e3334a3402956c10029d018d44be5de4a3834e6901acc2088d6f00c,4b8d803b5b1f226aa89664c9d13d9402110ef9d8ef2d7784d8526948dd4ccd53,656896fe499d401547af07bc3981a47048b22dfdf77390ab6c4e411f28595387,001e86fb81e16924dd9f109f0b19643a003d4a2a1af0be33d423fde5d34fb462,971d68dc5d26c45f366b141b29d6a925f9d864d3bf99311d25d19fa2b08cef20,073a8b06a642bdd9ecad8509f196254a94492b055859fc0e07002c908e75b6de,7e8e9704f7b1707ee6f6219d2fdf083b02e8cb156f9c17e459b552804efc8783,ecfe9b01e925c1892747d2efc2310ee494b0ffbba57dedd6aceaad7cf3d089cc,12d8d369d8f7bb33363fb6fe1e46d9a8f844a891e2ed4a7e38a10089e9efd5fb
"1","0","vo_10020900","0","0","1010001","0","0","2","1","vo_10020900_0001","0"
"2","1","0","0","180","1010002","0.818181818181818","0","1","1","0","0"
"3","1","0","0","0","1010003","0","1","4","1","0","0.818181818181818"
"4","2","0","0","148","1010004","0.634285714285714","0","1","1","0","0"
"5","2","0","0","0","1010005","0","1","4","1","0","1.03428571428571"
"6","2","0","148","460","1010006","1.33714285714286","0","1","1","0","0"
"7","2","0","0","0","1010007","0","1","4","1","0","2.13714285714286"
"8","0","vo_10020900","0","0","1010008","0","0","2","1","vo_10020900_0002","0"
"9","3","0","0","223","1010009","1.12948051948052","0","1","1","0","0"
"10","3","0","0","0","1010010","0","1","4","1","0","2.12948051948052"
"11","0","vo_10020900","0","0","1010011","0","0","2","1","vo_10020900_0003","0"
"12","3","0","223","343","1010012","0.545454545454545","0","1","1","0","0"
"13","3","0","0","0","1010013","0","1","4","1","0","1.04545454545455"
"14","3","0","343","700","1010014","1.71545454545455","0","1","1","0","0"
"15","3","0","0","0","1010015","0","1","4","1","0","2.71545454545455"
"16","0","vo_10020900","0","0","1010016","0","0","2","1","vo_10020900_0004","0"
"17","4","0","0","275","1010017","1.67857142857143","0","1","1","0","0"
"18","4","0","0","0","1010018","0","1","4","1","0","2.17857142857143"
"19","0","vo_10020900","0","0","1010019","0","0","2","1","vo_10020900_0005","0"
"20","4","0","275","465","1010020","1.28311688311688","0","1","1","0","0"
"21","4","0","0","0","1010021","0","1","4","1","0","1.98311688311688"
"22","4","0","465","715","1010022","1.2987012987013","0","1","1","0","0"
"23","4","0","0","0","1010023","0","1","4","1","0","1.9987012987013"
"24","5","0","0","400","1010024","2.07792207792208","0","1","1","0","0"
"25","5","0","0","0","1010025","0","1","4","1","0","3.07792207792208"
"26","0","vo_10020900","0","0","1010026","0","0","2","1","vo_10020900_0006","0"
"27","6","0","0","182","1010027","1.06363636363636","0","1","1","0","0"
"28","6","0","0","0","1010028","0","1","4","1","0","1.56363636363636"
"29","6","0","182","700","1010029","2.96","0","1","1","0","0"
"30","6","0","0","0","1010030","0","1","4","1","0","3.96"
"31","0","vo_10020900","0","0","1010031","0","0","2","1","vo_10020900_0007","0"
"32","7","0","0","85","1010032","0.386363636363636","0","1","1","0","0"
"33","7","0","0","0","1010033","0","1","4","1","0","0.886363636363636"
"34","7","0","85","750","1010034","3.54090909090909","0","1","1","0","0"
"35","7","0","0","0","1010035","0","1","4","1","0","4.54090909090909"
"36","0","vo_10020900","0","0","1010036","0","0","2","1","vo_10020900_0008","0"
"37","8","0","0","95","1010037","0.431818181818182","0","1","1","0","0"
"38","8","0","0","0","1010038","0","1","4","1","0","1.03181818181818"
"39","0","vo_10020900","0","0","1010039","0","0","2","1","vo_10020900_0009","0"
"40","8","0","95","235","1010040","0.709090909090909","0","1","1","0","0"
"41","8","0","0","0","1010041","0","1","4","1","0","1.30909090909091"
"42","0","vo_10020900","0","0","1010042","0","0","2","1","vo_10020900_0010","0"
"43","8","0","235","750","1010043","3.07662337662338","0","1","1","0","0"
"44","8","0","0","0","1010044","0","1","4","1","0","4.07662337662338"
"45","0","vo_10020900","0","0","1010045","0","0","2","1","vo_10020900_0011","0"
"46","9","0","0","170","1010046","1.43506493506493","0","1","1","0","0"
"47","9","0","0","0","1010047","0","1","4","1","0","2.43506493506493"
"48","0","vo_10020900","0","0","1010048","0","0","2","1","vo_10020900_0012","0"
"49","9","0","170","720","1010049","2.75","0","1","1","0","0"
"50","9","0","0","0","1010050","0","1","4","1","0","3.95"
"51","0","vo_10020900","0","0","1010051","0","0","2","1","vo_10020900_0013","0"
"52","10","0","170","585","1010052","1.67792207792208","0","1","1","0","0"
"53","10","0","0","0","1010053","0","1","4","1","0","2.27792207792208"
"54","10","0","585","750","1010054","0.9","0","1","1","0","0"
