786b041c7584f64760ef38fb21254e4f336ad8d267332992d782e177e4d04da1,cfdfe1473dac26e1a772d8c6946bcd53c431a2edd3760f8c99401a827e129d80,361407c9507e634a33f8037fcaadb016b374e437055e0f24d8ae200737d6b6b5,50b7c10783aa15a2a1c52ac83e6fe4b90a97d6d4f6d0e2e2b0028e08cd66b498,bf464c0b030de1b844ea1ed9de0c3d20b46456d3e57d1b23bf78a15fa08fd23c,35a7c8ff725623f943f168a7e25340d681466a34e78a7bed79aec6f39fadf447
"0","1","1","10009101","10009106","1"
"0","1","1","10009101","10009112","2"
"0","1","1","10010101","10010110","3"
"0","1","2","10019101","1001901","4"
"0","1","1","10021101","10021112","5"
"0","1","1","10025101","10025109","6"
"500810","2","3","10025","5025001","7"
"0","1","1","20009101","20009106","8"
"0","1","1","20009101","20009112","9"
"0","1","1","20010101","20010110","10"
"501001","2","3","10042","5042001","12"
"0","1","2","20015101","2001501","13"
"501031","2","3","10044","5044001","14"
"0","1","1","20016101","20016112","15"
"501103","2","3","10046","5046002","16"
"0","1","1","10049101","10049109","17"
"0","1","1","10066101","10066112","19"
"501291","2","3","10066","5066005","20"
"501001","2","3","10069","5042001","21"
"501031","2","3","10071","5044001","22"
"501341","2","3","10068","5068001","23"
"501353","2","3","10070","5070004","24"
"500016","2","3","10070","5070005","25"
"501364","2","3","10072","5072004","26"
"501365","2","3","10072","5072006","27"
"501103","2","3","10073","5046002","28"
"501383","2","3","10074","5074001","29"
"0","1","1","10076101","10076112","30"
"505036","2","3","10076","5076005","31"
"501451","2","3","10078","5078004","32"
"501463","2","3","10080","5080005","33"
"0","1","1","10082101","10082105","34"
"0","1","1","10082102","10082108","35"
"0","1","1","10082103","10082111","36"
"501160","2","3","10082","5082002","37"
"501031","2","3","10082","5082004","38"
"501483","2","3","10082","5082005","39"
"500368","2","3","10084","5084001","40"
"510306","2","3","10084","5084002","41"
"500039","2","3","10084","5084003","42"
"500368","2","3","10085","5085002","43"
"510203","2","3","10085","5085003","44"
"500272","2","3","10085","5085004","45"
"501501","2","3","10085","5085005","46"
"501810","2","3","10088","5088005","47"
"501001","2","3","20025","5042001","50"
"501541","2","3","10090","5090002","51"
"501031","2","3","20026","5044001","55"
"0","1","1","10093101","10093112","56"
"501291","2","3","10093","5066005","57"
"501103","2","3","20027","5046002","58"
"501031","2","3","10092","5092001","59"
"501551","2","3","10092","5092004","60"
"501593","2","3","10094","5094001","61"
"501341","2","3","10095","5068001","62"
"500810","2","3","20018","5025001","67"
"501613","2","3","10096","5096002","68"
"501353","2","3","10097","5070004","73"
"500016","2","3","10097","5070005","74"
"501031","2","3","10098","5098000","75"
"0","1","1","10098101","10098104","76"
"0","1","1","10098102","10098111","77"
"501364","2","3","10099","5072004","78"
"501365","2","3","10099","5072006","79"
"500837","2","3","10100","5100003","80"
"501383","2","3","10101","5074001","82"
"501383","2","3","10101","5074001","83"
"501873","2","3","10102","5102002","84"
"0","1","1","10103101","10103112","85"
"505036","2","3","10103","5076005","86"
"501911","2","3","10108","5108002","88"
"500133","2","3","10104","5104003","89"
"501451","2","3","10105","5078004","90"
"501931","2","3","10110","5110005","93"
"500013","2","3","10111","5111005","94"
"501463","2","3","10107","5080005","95"
"0","1","1","10109101","10109105","96"
"0","1","1","10109102","10109108","97"
"0","1","1","10109103","10109111","98"
"501160","2","3","10109","5082002","99"
"501031","2","3","10109","5082004","100"
"501483","2","3","10109","5082005","101"
"500368","2","3","10112","5084001","103"
"510306","2","3","10112","5084002","104"
"500039","2","3","10112","5084003","105"
"500368","2","3","10113","5085002","106"
"510203","2","3","10113","5085003","107"
"500272","2","3","10113","5085004","108"
"501501","2","3","10113","5085005","109"
"0","1","2","10110101","1011001","110"
"0","1","1","20037101","20037112","111"
"501291","2","3","20037","5066005","112"
"501810","2","3","10115","5088005","113"
"500016","2","3","10114","5114000","114"
"501952","2","3","10114","5114003","115"
"501341","2","3","20038","5068001","116"
"501541","2","3","10117","5090002","117"
"501353","2","3","20039","5070004","121"
"500016","2","3","20039","5070005","122"
"500837","2","3","10116","5116004","123"
"501031","2","3","10119","5092001","124"
"501551","2","3","10119","5092004","125"
"500133","2","3","10118","5118002","126"
"500810","2","3","10118","5118003","127"
"500133","2","3","10118","5118007","128"
"501364","2","3","20040","5072004","129"
"501365","2","3","20040","5072006","130"
"501614","2","3","10124","5124003","132"
"501383","2","3","20041","5074001","133"
"501593","2","3","10121","5094001","135"
"502003","2","3","10122","5122000","136"
"502015","2","3","10122","5122002","137"
"501613","2","3","10123","5096002","138"
"505036","2","3","20042","5076005","139"
"501451","2","3","20043","5078004","140"
"501031","2","3","10125","5098000","141"
