06d3aec075572d492b46d0d090cf29b3a544d63476fb0cb2562bb61319bfc43c,65a7b969fc1812f673f5053851f2e1cf34df9e631dddd2423855630bfe666483,5d554b10fa24b110123649d421e73aff19ff70198bcfb8d6fe1baf5be59b3fd6,7ea93827f05273495434428f79f19325a4300fafd303ecdaf59d29a6dc89cd5f,78093a2734f16b682ddcf21eb340fae8591ae7e1e2d004946294993b2d0e1d30,6b26ac410358f69e440293aed25ffab656225f1aae0c09bfc1c941de90f01f2f,363fa36d7f64fe217240af57912e299501ce5d0f1fbca335bf3573204877834c,88db226c9743bb13ad302a3ce59a452c02b29d0f0e670961f13fdd6f769396ee,83f5256278ca5fe03fda011db39aea5aa93e60c9aef9b218ef485d0bab7786bb,ce3b5e1156b463738ec434d0db7c85f09939de0dfc10e4d2e7adb33dfece7455,9dce9576d5ab172986b22edf665d37be9cdac864df1f73186fbde20717e6b75e,2362785cb1f59df846826c2fab1035baffd40831e021154ac5f684d84e1ff671,da4ee082ac83342105fe471f5d3449478653beab3ce07f48dccbaf1c43123d07,00e3489ab8fd4e8be618be88b2c62c40716e2e115e0cea8b4d8534379e6a082e,f17451f42847583905ad5060c36c53e0a27b0f9b1cf7e7a74e9ae3fd5da859ab
"ねぇねぇ、騎士クン\n手伝ってあげようよ～","春咲 ひより","0","0","1","2","1.4","ヒヨリでっす♪\n元気いっぱいがんばるよ♪","お！\nあそこに困ってそうな人発見！","1","0","1001","1","0","0"
"わ、わたし、\nなに言ってるんだろ\nあはは…","草野 優衣","0","0","1","2","1.4","みんなみたいに\nわたしも強くならなきゃ","大切な人を\n守れるようになりたい…って","1","0","1002","1","0","0"
"少しは磨かれると思いますよ。","士条 怜","0","0","1","2","1.4","フェンシングを始めてみては？","キミに必要な集中力と感性が","1","0","1003","1","0","0"
"みそぎはねぇ、\nかくれんぼやりたい！","穂高 みそぎ","0","0","1","2","1.5","ねぇ、にいちゃん！","今日はなにして遊ぶ？","1","0","1004","1","0","0"
"私といっしょに…\nいかない？","風宮 あかり","0","0","1","2","1.4","風宮あかりです","ねぇ…","1","0","1006","1","0","0"
"食べ物の恨みは怖いのー","出雲 宮子","0","0","1","2","1.5","出雲宮子なのー","プリンたべたいのー","1","0","1007","1","0","0"
"いいよ。\n見られることは運命さ…","虹村 雪","0","0","1","2","1.4","ボクは虹村雪。","キミもボクの美貌に\n吸い寄せられたんだね。","1","0","1008","1","0","0"
"人呼んで「疾風の冥姫」!!","柊杏奈","0","0","1","2","1.4","フッ…聞いて後悔するがいい！","我が真名は\nアンネローゼ・フォン・シュテッヒパルム！","1","0","1009","1","0","0"
"ほんまおおきにやわ～♪","姫宮 真歩","0","0","1","2","1.5","マホマホ王国のプリンセス、\nまほ姫どす","うさぎさん、\n運命の王子はんに巡りあわせてくれて","1","0","1010","1","0","0"
"ここで会ったが\n100年目～！","衣之咲 璃乃","0","0","1","2","1.4","衣之咲璃乃です！","生き別れたお兄ちゃんを探して\n三千世界！","1","0","1011","1","0","0"
"…って、お願い！\n誰にも言わないでおいて～！","柏崎 初音","0","0","1","2","1.4","私はハツネ、\n結構強いんだよ。\nきらーん☆","ち、超能力って…\n何のことかな～？","1","0","1012","1","0","0"
"ヒデサイまぢ\nGF（グッドフィーリング）～♪","美波 鈴奈","0","0","1","2","1.4","ちょす！\n美波鈴奈だよ～♪","一応カリスマ読モJKやってまっす！","1","0","1016","1","0","0"
"でも、沖縄もとってもいいとこさー","喜屋武 香織","0","0","1","2","1.4","はいたーい。\n喜屋武香織さー。","東京は遊園地みたいなところさー","1","0","1017","1","0","0"
"イオちゃんって呼んでね。","支倉 伊緒","0","0","1","2","1.4","支倉伊緒です。","先生って呼ばれるのは\nくすぐったいから","1","0","1018","1","0","0"
"ミミをおいてかないでぇ～","茜 ミミ","0","0","1","2","1.5","ふえ…？\nミミ、むずかしいこと\nよくわかんない…","あ！/\お兄ちゃ～ん\nまってよ～","1","0","1020","1","0","0"
"ふぇぇぇぇぇん……","栗林 くるみ","0","0","1","2","1.5","あ…あの…えっと…\n栗…林…くるみ…です……","あの……\nふぇ……","1","0","1021","1","0","0"
"なんてありがとうございます！","風宮 より","0","0","1","2","1.4","風宮よりです。\nあああああ！","こんな私に貴重な時間を\n割いていただき、","1","0","1022","1","0","0"
