a97caa55fd0494d929f10d15bc48f7f93fa68383ef47526e4ac1530cb5515a16,c96ddcef67830f680a1f87723ab9d50d2ba2445d22e1fa8c59c46c8ffa58d317,4826390308b5c66a1c09c9b4f9d6d6a250bee9c9c9e3151a341e47bf08cb92ac,d34ea56d467cbb05a2022388f553387e030b328bc0c16028d1f54b5df5714747,2f72dc3993f690f2cc0d58f711421f5cf1cf124e6359fe2c494586575e5708f7,e7d01ff1f6ad8dc41d59d6b0c285524933d65f7c92545c88956701e8b3914c4a,a7ffd728ac4933038f77f7637a188bd113114fd354308282970ed4851dceb4e8,51146f067e3a1d9e4ac1ed0ad74db38f4b82f991b86bf67c7c0c967d96dfae19,df0dbab2a6ef12483b539c56b0b7dd8a12c8847b1c2d98a176aae2c03111d891,ec94c398bca97d4c55d33b68ccdcbd14bc2521e8efbd986ef491f2666ce43ae0,c4c3620fce0a1dcf586e44036241e4403fd309e2824ef68651d5c5c6f6cb5678
"31","25021","10","91002","1","2","281001001","25011","8","2","8"
"31","25021","10","91002","2","2","281001002","25011","8","2","8"
"32","25021","10","91002","3","2","281001003","25011","8","2","8"
"32","25021","10","91002","4","2","281001004","25011","8","2","8"
"33","25021","10","91002","5","2","281001005","25011","8","2","8"
"33","25021","10","91002","6","2","281001006","25011","8","2","9"
"34","25021","10","91002","7","2","281001007","25011","8","2","9"
"35","25021","10","91002","8","2","281001008","25011","8","2","9"
"35","25021","10","91002","9","2","281001009","25011","8","2","9"
"37","25021","30","91002","10","2","281001010","25011","8","2","10"
"41","25021","10","91002","11","2","281001011","25011","8","2","10"
"43","25021","10","91002","12","2","281001012","25011","8","2","11"
"46","25021","10","91002","13","2","281001013","25011","8","2","11"
"48","25021","10","91002","14","2","281001014","25011","8","2","12"
"50","25021","10","91002","15","2","281001015","25011","8","2","12"
"53","25021","10","91002","16","2","281001016","25011","8","2","13"
"55","25021","10","91002","17","2","281001017","25011","8","2","14"
"58","25021","10","91002","18","2","281001018","25011","8","2","14"
"60","25021","10","91002","19","2","281001019","25011","8","2","15"
"62","25021","30","91002","20","2","281001020","25011","8","2","15"
"68","25021","10","91002","21","2","281001021","25011","8","2","16"
"70","25021","10","91002","22","2","281001022","25011","8","2","16"
"72","25021","10","91002","23","2","281001023","25011","8","2","16"
"75","25021","10","91002","24","2","281001024","25011","8","2","17"
"77","25021","10","91002","25","2","281001025","25011","8","2","18"
"79","25021","10","91002","26","2","281001026","25011","8","2","18"
"82","25021","10","91002","27","2","281001027","25011","8","2","19"
"84","25021","10","91002","28","2","281001028","25011","8","2","19"
"86","25021","10","91002","29","2","281001029","25011","8","2","19"
"89","25021","30","91002","30","2","281001030","25011","8","2","20"
"94","25021","10","91002","31","2","281001031","25011","8","2","20"
"96","25021","10","91002","32","2","281001032","25011","8","2","21"
"99","25021","10","91002","33","2","281001033","25011","8","2","21"
"101","25021","10","91002","34","2","281001034","25011","8","2","22"
"103","25021","10","91002","35","2","281001035","25011","8","2","22"
"106","25021","10","91002","36","2","281001036","25011","8","2","23"
"108","25021","10","91002","37","2","281001037","25011","8","2","23"
"111","25021","10","91002","38","2","281001038","25011","8","2","24"
"113","25021","10","91002","39","2","281001039","25011","8","2","25"
"115","25021","30","91002","40","2","281001040","25011","8","2","25"
"121","25021","10","91002","41","2","281001041","25011","8","2","26"
"123","25021","10","91002","42","2","281001042","25011","8","2","27"
"125","25021","10","91002","43","2","281001043","25011","8","2","28"
"128","25021","10","91002","44","2","281001044","25011","8","2","28"
"130","25021","10","91002","45","2","281001045","25011","8","2","29"
"132","25021","10","91002","46","2","281001046","25011","8","2","30"
"135","25021","10","91002","47","2","281001047","25011","8","2","30"
"137","25021","10","91002","48","2","281001048","25011","8","2","31"
"139","25021","10","91002","49","2","281001049","25011","8","2","31"
"142","25021","30","91002","50","2","281001050","25011","8","2","31"
"144","25021","10","91002","51","2","281001051","25011","8","2","32"
"146","25021","10","91002","52","2","281001052","25011","8","2","32"
"149","25021","10","91002","53","2","281001053","25011","8","2","32"
"152","25021","10","91002","54","2","281001054","25011","8","2","33"
"155","25021","10","91002","55","2","281001055","25011","8","2","33"
"157","25021","10","91002","56","2","281001056","25011","8","2","33"
"160","25021","10","91002","57","2","281001057","25011","8","2","34"
"163","25021","10","91002","58","2","281001058","25011","8","2","34"
"166","25021","10","91002","59","2","281001059","25011","8","2","34"
"169","25021","30","91002","60","2","281001060","25011","8","2","35"
"171","25021","10","91002","61","2","281001061","25011","8","2","35"
"174","25021","10","91002","62","2","281001062","25011","8","2","35"
"177","25021","10","91002","63","2","281001063","25011","8","2","36"
"180","25021","10","91002","64","2","281001064","25011","8","2","36"
"182","25021","10","91002","65","2","281001065","25011","8","2","36"
"185","25021","10","91002","66","2","281001066","25011","8","2","37"
"187","25021","10","91002","67","2","281001067","25011","8","2","37"
"190","25021","10","91002","68","2","281001068","25011","8","2","37"
"193","25021","10","91002","69","2","281001069","25011","8","2","38"
"196","25021","30","91002","70","2","281001070","25011","8","2","38"
