b101e9cb3885d194265f382239517bdc3c5d59ea79cefe9a581098a7c002ce29,a428c23daa284b6bac3a78d25974481e1e79e4d80621305cc296a54b498b711e,361f2383bc5311bce6245da28294cea42069ca21a7f94f6138477cc2b9b2be71,edbd5382e6f1536f6c84e7a17849f0b51dfa41158c559a77be3692a91be75adc,67cda6ebf8750fcca56c1a52ec823003e7ef18e5e1b252fe886b210fa0af525c,364d6cacb8883005bc66405326aa4384cf13398024bb273e39ccc21ef51f8138,8f19c0e184ff0128995eb4349490db89914de1ee2645f5c59abdcb28c6aa0be7
"Menu01scene1","1","0","9000000","0","0","10001"
"Menu01scene2","1","0","9000001","0","0","10001"
"Menu01scene3","1","0","9000002","0","0","10001"
"Menu01scene4","1","0","9000003","0","0","10001"
"Menu02scene1","1","0","9000004","0","0","10001"
"Menu02scene2","1","0","9000005","0","0","10001"
"Menu02scene3","1","0","9000006","0","0","10001"
"Menu02scene4","1","0","9000007","0","0","10001"
"Menu02scene5","1","0","9000008","0","0","10001"
"Menu02scene6","1","0","9000009","0","0","10001"
"Menu03scene1","1","0","9000010","0","0","10001"
"Menu03scene2","1","0","9000011","0","0","10001"
"Menu03scene3","1","0","9000012","0","0","10001"
"Menu03scene4","1","0","9000013","0","0","10001"
"Menu03scene5","1","0","9000014","0","0","10001"
"Menu03scene6","1","0","9000015","0","0","10001"
"OPscene1","1","0","9000016","0","0","10001"
"OPscene2","1","0","9000017","0","0","10001"
"OPscene3","1","0","9000018","0","0","10001"
"OPscene4","1","0","9000019","0","0","10001"
"OPscene5","1","0","9000020","0","0","10001"
"OPscene6","1","0","9000021","0","0","10001"
"アニメオリジナル　コッコロカスタムマイページ","1","0","9000022","0","0","10001"
"Menu04scene1","1","0","9000023","0","0","10002"
"Menu04scene2","1","0","9000024","0","0","10002"
"Menu04scene3","1","0","9000025","0","0","10002"
"Menu04scene4","1","0","9000026","0","0","10002"
"Menu04scene5","1","0","9000027","0","0","10002"
"Menu04scene6","1","0","9000028","0","0","10002"
"Menu05scene1","1","0","9000029","0","0","10002"
"Menu05scene2","1","0","9000030","0","0","10002"
"Menu05scene3","1","0","9000031","0","0","10002"
"Menu05scene4","1","0","9000032","0","0","10002"
"Menu05scene5","1","0","9000033","0","0","10002"
"Menu05scene6","1","0","9000034","0","0","10002"
"Menu06scene1","1","0","9000035","0","0","10002"
"Menu06scene2","1","0","9000036","0","0","10002"
"Menu06scene3","1","0","9000037","0","0","10002"
"Menu06scene4","1","0","9000038","0","0","10002"
"Menu06scene5","1","0","9000039","0","0","10002"
"Menu06scene6","1","0","9000040","0","0","10002"
"アニメオリジナル　キャルカスタムマイページ","1","0","9000041","0","0","10002"
"Menu07scene1","1","0","9000042","0","0","10003"
"Menu07scene2","1","0","9000043","0","0","10003"
"Menu07scene3","1","0","9000044","0","0","10003"
"Menu07scene4","1","0","9000045","0","0","10003"
"Menu07scene5","1","0","9000046","0","0","10003"
"Menu07scene6","1","0","9000047","0","0","10003"
"Menu08scene1","1","0","9000048","0","0","10003"
"Menu08scene2","1","0","9000049","0","0","10003"
"Menu08scene3","1","0","9000050","0","0","10003"
"Menu08scene4","1","0","9000051","0","0","10003"
"Menu08scene5","1","0","9000052","0","0","10003"
"Menu08scene6","1","0","9000053","0","0","10003"
"Menu09scene1","1","0","9000054","0","0","10003"
"Menu09scene2","1","0","9000055","0","0","10003"
"Menu09scene3","1","0","9000056","0","0","10003"
"Menu09scene4","1","0","9000057","0","0","10003"
"Menu09scene5","1","0","9000058","0","0","10003"
"Menu09scene6","1","0","9000059","0","0","10003"
"アニメオリジナルカスタムマイページ","1","0","9000060","0","0","10003"
"Menu10scene1","1","0","9000061","0","0","10004"
"Menu10scene2","1","0","9000062","0","0","10004"
"Menu10scene3","1","0","9000063","0","0","10004"
"Menu10scene4","1","0","9000064","0","0","10004"
"Menu10scene5","1","0","9000065","0","0","10004"
"Menu10scene6","1","0","9000066","0","0","10004"
"Menu11scene1","1","0","9000067","0","0","10004"
"Menu11scene2","1","0","9000068","0","0","10004"
"Menu11scene3","1","0","9000069","0","0","10004"
"Menu11scene4","1","0","9000070","0","0","10004"
"Menu11scene5","1","0","9000071","0","0","10004"
"Menu11scene6","1","0","9000072","0","0","10004"
"Menu12scene1","1","0","9000073","0","0","10004"
"Menu12scene2","1","0","9000074","0","0","10004"
"Menu12scene3","1","0","9000075","0","0","10004"
"Menu12scene4","1","0","9000076","0","0","10004"
"Menu12scene5","1","0","9000077","0","0","10004"
"Menu12scene6","1","0","9000078","0","0","10004"
"Menu13scene1","1","0","9000079","0","0","10004"
"Menu13scene2","1","0","9000080","0","0","10004"
"Menu13scene3","1","0","9000081","0","0","10004"
"Menu13scene4","1","0","9000082","0","0","10004"
"Menu13scene5","1","0","9000083","0","0","10004"
"Menu13scene6","1","0","9000084","0","0","10004"
"EDscene1","1","0","9000085","0","0","10004"
"EDscene2","1","0","9000086","0","0","10004"
"EDscene3","1","0","9000087","0","0","10004"
"EDscene4","1","0","9000088","0","0","10004"
"EDscene5","1","0","9000089","0","0","10004"
"EDscene6","1","0","9000090","0","0","10004"
"アニメオリジナル　ペコリーヌカスタムマイページ","1","0","9000091","0","0","10004"
