639d0e0b4bda215215b8c5dad8785d4134ba4cb43bdf374a810b5762c23278a2,ef14e98dae560c1780f5b68b26363566b74ac704c18df62bf0d2488cc0d58d7b,71f65d19f977235ddf480ac6d521edb6c912bd080bbebab496f1c731294b30ba,af1af5e759861763aa48db619c4cda981f0cf639916439c129b52e9ddd8ed718,897a135f937499df851139ccfcdad43e9c4c6f63ef004199b92788b5e357dbcb,7bd8b76dcfeb3ae157bb76704f67c15afe48a9c0bfac7ab2d7749d2182cefd68
"5201087","1","10201","102013011","301","1"
"5201081","1","10201","102014021","402","1"
"5201082","101","10201","102014022","402","0"
"5201066","1","10201","102015011","501","1"
"5201067","1","10201","102015012","501","2"
"5201068","1","10201","102015013","501","3"
"5201069","1","10201","102015014","501","4"
"5201070","1","10201","102015015","501","5"
"5201071","1","10201","102015016","501","6"
"5201072","1","10201","102015017","501","7"
"5201073","1","10201","102015018","501","8"
