c8add7744bd958c5821c7281dd4eddb160c2435b2839131e88f804b9ebab7325,ccbca93988bb023f1a4b167e2e1bb01df774e1e174846b7e40f79b25c2dff90a,07f7ffe858d2f9e0389ff778f436d962f903551412d8d0a3da4e2c4f67d04b2f,7b2612e3d7561589af660e232912dda427c1553d4e0f4cb9c1961d5102ce1cb4,ac032c5470f1785c7f3405abad455f6a8ba5bcca328a348001adaadfe91c4569
"30109001","91002","100","1","8"
"30109001","20002","10","2","2"
"30109002","91002","100","3","8"
"30109002","94002","40000","4","12"
"30109003","91002","300","5","8"
"30109004","91002","500","6","8"
"30109005","91002","500","7","8"
"30109005","94002","1000000","8","12"
"30109006","91002","500","9","8"
"30109006","94002","500000","10","12"
"30110001","91002","600","11","8"
"30110006","94002","200000","12","12"
