e501ffdefad3bfa9978c1d7227612e4e1e0d2755a838fcc87d0b29becce6873a,c3b2414a5ca20ed537eae7aad441738c1e0fd4460693ca0ef9a291d122791138,d5d8f93e4e55ee3a55ab0843904cdb6f70036d1253ca3252218708fcc5c96f97,a1a9e7226fde6cd875623e2e77edc2a077ef3f46c45c894ab1e3aab3a5b9c20d,3b279c7003d8104db3f8ab8c5d2c518a6c8fb387f9e0219e4fcaa3f2f913d80c,53e05020339eb2767949eeedde69408ee6dee632ca7dafa95fca09d257b01394,fee88f992a1a601a88d4e2fddbb6a9b47094d2dc85e5de3e788118fe200668c3,2e47900bccaee10bdae2f9ca563443f1e3f99475259f6d09c7f5fc24e3fb8ee5,2f2b065b52759f5e8d4d8c49dd2fcc4ea69f60386c0950d53965d4a278d592b5,6488a498882964e688c0cca9fc87bf4eb73bddb82217d9e3ff689fa440a23388,1750f0b9ef8a4c7f6ce06f29af995b80c28204f992d378f4464f48b57623b07e
"8","2","25021","2","31","10","91002","25013","1","8","283001001"
"8","2","25021","2","31","10","91002","25013","2","8","283001002"
"8","2","25021","2","32","10","91002","25013","3","8","283001003"
"8","2","25021","2","32","10","91002","25013","4","8","283001004"
"8","2","25021","2","33","10","91002","25013","5","8","283001005"
"8","2","25021","2","33","10","91002","25013","6","9","283001006"
"8","2","25021","2","34","10","91002","25013","7","9","283001007"
"8","2","25021","2","35","10","91002","25013","8","9","283001008"
"8","2","25021","2","35","10","91002","25013","9","9","283001009"
"8","2","25021","2","37","30","91002","25013","10","10","283001010"
"8","2","25021","2","41","10","91002","25013","11","10","283001011"
"8","2","25021","2","43","10","91002","25013","12","11","283001012"
"8","2","25021","2","46","10","91002","25013","13","11","283001013"
"8","2","25021","2","48","10","91002","25013","14","12","283001014"
"8","2","25021","2","50","10","91002","25013","15","12","283001015"
"8","2","25021","2","53","10","91002","25013","16","13","283001016"
"8","2","25021","2","55","10","91002","25013","17","14","283001017"
"8","2","25021","2","58","10","91002","25013","18","14","283001018"
"8","2","25021","2","60","10","91002","25013","19","15","283001019"
"8","2","25021","2","62","30","91002","25013","20","15","283001020"
"8","2","25021","2","68","10","91002","25013","21","16","283001021"
"8","2","25021","2","70","10","91002","25013","22","16","283001022"
"8","2","25021","2","72","10","91002","25013","23","16","283001023"
"8","2","25021","2","75","10","91002","25013","24","17","283001024"
"8","2","25021","2","77","10","91002","25013","25","18","283001025"
"8","2","25021","2","79","10","91002","25013","26","18","283001026"
"8","2","25021","2","82","10","91002","25013","27","19","283001027"
"8","2","25021","2","84","10","91002","25013","28","19","283001028"
"8","2","25021","2","86","10","91002","25013","29","19","283001029"
"8","2","25021","2","89","30","91002","25013","30","20","283001030"
"8","2","25021","2","94","10","91002","25013","31","20","283001031"
"8","2","25021","2","96","10","91002","25013","32","21","283001032"
"8","2","25021","2","99","10","91002","25013","33","21","283001033"
"8","2","25021","2","101","10","91002","25013","34","22","283001034"
"8","2","25021","2","103","10","91002","25013","35","22","283001035"
"8","2","25021","2","106","10","91002","25013","36","23","283001036"
"8","2","25021","2","108","10","91002","25013","37","23","283001037"
"8","2","25021","2","111","10","91002","25013","38","24","283001038"
"8","2","25021","2","113","10","91002","25013","39","25","283001039"
"8","2","25021","2","115","30","91002","25013","40","25","283001040"
"8","2","25021","2","121","10","91002","25013","41","26","283001041"
"8","2","25021","2","123","10","91002","25013","42","27","283001042"
"8","2","25021","2","125","10","91002","25013","43","28","283001043"
"8","2","25021","2","128","10","91002","25013","44","28","283001044"
"8","2","25021","2","130","10","91002","25013","45","29","283001045"
"8","2","25021","2","132","10","91002","25013","46","30","283001046"
"8","2","25021","2","135","10","91002","25013","47","30","283001047"
"8","2","25021","2","137","10","91002","25013","48","31","283001048"
"8","2","25021","2","139","10","91002","25013","49","31","283001049"
"8","2","25021","2","142","30","91002","25013","50","31","283001050"
"8","2","25021","2","144","10","91002","25013","51","32","283001051"
"8","2","25021","2","146","10","91002","25013","52","32","283001052"
"8","2","25021","2","149","10","91002","25013","53","32","283001053"
"8","2","25021","2","152","10","91002","25013","54","33","283001054"
"8","2","25021","2","155","10","91002","25013","55","33","283001055"
