a40f354b503385b4fe6e71ef05a16b73283a5c47c6d42b42fbb21540486961a0,12295f2c213482ff3dc49b5232370554ed0fb20ec77567e533acdb540b4106d3,b9d0d8add45ebc97eac82307e9372c1028bb7fdddba686ae7c987c25b3d1ef82,0635b3e293411141fbac54f6b28cf8b55c6c6aa1d3a5f93f6e88373758753bec,d720eb017d3dc2f19acad374d9622940f3b074d7f15fbacf9893d987214cf101,08a7abd39f250ad7e0645e2e0e2db255b6460ededff5137bb477d3ee03d34bb9,eec86a7aa0dd77c7f584211e110fc486fa42f2339695935a8468f13b3ea6a0b0,f34981fb188c4d6f152070609e16e13b63fa87359bb0b5911bc73f618fd8fe49,4cce7736a8919875e7462f0a3a45056918785325ea832d3e4902b23422f6573a,c1cd41472f8553af9238b2d44073594a6901432fed6320e82b11b14451e09f76,2d306b707fa531f3fb7b61212c473f2f07b83ac726dc5ed217d744e362480353
"100","1","1.65","pkb_idle_normal","1","1","113511","1010001","1","64","-175"
"1","3","0.2","","113511","1","pkb_talk_wish","1010002","","",""
"0","21","","","vo_minigame_1006","1","vo_minigame_1006_top_101","1010003","","0",""
"8","11","0","0","113511","1","今日も先生と一緒に\n頑張りましょうね～","1010004","0","0","0"
"","91","","","0","1","","1010005","","",""
"1","3","0.2","","113511","1","pkb_idle_normal","1010006","","",""
"100","1","1.65","pkb_idle_normal","1","2","113511","1020001","1","64","-175"
"1","3","0.2","","113511","2","pkb_talk_wish","1020002","","",""
"0","21","","","vo_minigame_1006","2","vo_minigame_1006_top_102","1020003","","0",""
"6","11","0","0.5","113511","2","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","1020004","0","0","0"
"","93","","","6","2","","1020005","","",""
"0","3","0.2","","113511","2","pkb_talk_fun","1020006","","pkb_idle_normal","1"
"","91","","","1020004","2","","1020007","","",""
"1","3","0.2","","113511","2","pkb_idle_normal","1020008","","",""
"100","1","1.65","pkb_idle_normal","1","3","113511","1030001","1","64","-175"
"0","3","0.2","","113511","3","pkb_smile","1030002","0.2","pkb_idle_normal","1"
"0","21","","","vo_minigame_1006","3","vo_minigame_1006_top_103","1030003","","0",""
"6","11","0","0","113511","3","ケガには気を付けてね\n無理は禁物ですよ～♪","1030004","0","0","0"
"","93","","","2","3","","1030005","","",""
"1","3","0.2","","113511","3","pkb_talk_wish","1030006","","",""
"","91","","","1030004","3","","1030007","","",""
"1","3","0.2","","113511","3","pkb_idle_normal","1030008","","",""
"100","5","57","pkb_idle_normal_l","3","4","3","1040001","1","64","-155"
"0","3","0.2","","3","4","pkb_talk_arm_crossed_l","1040002","0.2","pkb_idle_arm_crossed_l","1"
"0","21","","","vo_minigame_1006","4","vo_minigame_1006_top_601","1040003","","0",""
"8","11","0","0","3","4","今日の練習も\n手加減しねえ！\nしっかりついてこい！","1040004","","0","0"
"","91","","","0","4","","1040005","","",""
"1","3","0.2","","3","4","pkb_idle_normal_l","1040006","","",""
"100","5","57","pkb_idle_normal_l","3","5","3","1050001","1","64","-155"
"0","3","0.2","","3","5","pkb_talk_arm_crossed_l","1050002","0.2","pkb_idle_arm_crossed_l","1"
"0","21","","","vo_minigame_1006","5","vo_minigame_1006_top_602","1050003","","0",""
"8","11","0","0","3","5","おーし！\n気合いいれて\n練習すんぞー！","1050004","","0","0"
"","93","","","2","5","","1050005","","",""
"0","3","0.2","","3","5","pkb_talk_handsup_l","1050006","0.2","pkb_idle_normal_l","1"
"","91","","","1050004","5","","1050007","","",""
"1","3","0.2","","3","5","pkb_idle_normal_l","1050008","","",""
"100","5","57","pkb_idle_normal_l","3","6","3","1060001","1","64","-155"
"0","3","0.2","","3","6","pkb_talk_arm_crossed_l","1060002","0.2","pkb_idle_arm_crossed_l","1"
"0","21","","","vo_minigame_1006","6","vo_minigame_1006_top_603","1060003","","0",""
"8","11","0","0","3","6","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","1060004","","0","0"
"","93","","","3","6","","1060005","","",""
"0","3","0.2","","3","6","pkb_talk_guts_l","1060006","","pkb_idle_guts_l","1"
"","91","","","1060004","6","","1060007","","",""
"1","3","0.2","","3","6","pkb_idle_normal_l","1060008","","",""
"100","1","1.65","pkb_idle_normal","1","7","113411","1070001","1","64","-175"
"0","3","0.2","","113411","7","pkb_talk_fun","1070002","0.2","pkb_talk_joy1","1"
"0","21","","","vo_minigame_1006","7","vo_minigame_1006_top_201","1070003","","0",""
"8","11","0","0","113411","7","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","1070004","0","0","0"
"","93","","","3.4","7","","1070005","","",""
"0","3","0.2","","113411","7","pkb_talk_handsup","1070006","0.2","pkb_idle_normal","1"
"","91","","","1070004","7","","1070007","","",""
"1","3","0.2","","113411","7","pkb_idle_normal","1070008","","",""
"100","1","1.65","pkb_idle_normal","1","8","113411","1080001","1","64","-175"
"1","3","0.2","","113411","8","pkb_talk_joy2","1080002","","",""
"0","21","","","vo_minigame_1006","8","vo_minigame_1006_top_202","1080003","","0",""
"8","11","0","-1","113411","8","ハツネちゃんも\n練習のお手伝いを\nしちゃうのだ～！\nきらーん☆","1080004","0","0","0"
"","93","","","3.6","8","","1080005","","",""
"0","3","0.2","","113411","8","pkb_hatsune_kiran","1080006","","",""
"","91","","","1080004","8","","1080007","","",""
"1","3","0.2","","113411","8","pkb_idle_normal","1080008","","",""
"100","1","1.65","pkb_idle_normal","1","9","113411","1090001","1","64","-175"
"1","3","0.2","","113411","9","pkb_talk_joy2","1090002","","",""
"0","21","","","vo_minigame_1006","9","vo_minigame_1006_top_203","1090003","","0",""
"6","11","0","0","113411","9","私も投げてみたいな！\n超能りょ…じゃなくて\n魔法で、すごい球を\n投げちゃうよ！","1090004","0","0","0"
"","93","","","3","9","","1090005","","",""
"0","3","0.2","","113411","9","pkb_surprise","1090006","0.2","pkb_idle_surprise1","1"
"","93","","","1","9","","1090007","","",""
"1","3","0.2","","113411","9","pkb_talk_joy3","1090008","","",""
"","91","","","1090004","9","","1090009","","",""
"1","3","0.2","","113411","9","pkb_idle_normal","1090010","","",""
"100","1","1.65","pkb_idle_normal","1","10","106531","1100001","1","64","-175"
"0","3","0.2","","106531","10","pkb_talk_arm_crossed","1100002","","pkb_idle_arm_crossed","1"
"0","21","","","vo_minigame_1006","10","vo_minigame_1006_top_301","1100003","","0",""
"8","11","0","0","106531","10","なあ、練習始めようぜ\n早く投げたくて\nウズウズしてるんだ！","1100004","0","0","0"
"","93","","","2.8","10","","1100005","","",""
"1","3","0.2","","106531","10","pkb_talk_joy1","1100006","","",""
"","91","","","1100004","10","","1100007","","",""
"1","3","0.2","","106531","10","pkb_idle_normal","1100008","","",""
"100","1","1.65","pkb_idle_normal","1","11","106531","1110001","1","64","-175"
"1","3","0.2","","106531","11","pkb_talk_normal","1110002","","",""
"0","21","","","vo_minigame_1006","11","vo_minigame_1006_top_302","1110003","","0",""
"8","11","0","0","106531","11","オレ様の特訓は\n半端じゃねえぜ\n覚悟しとけよ？","1110004","0","0","0"
"","93","","","3.2","11","","1110005","","",""
"0","3","0.2","","106531","11","pkb_talk_arm_crossed","1110006","0.2","pkb_idle_arm_crossed","1"
"","91","","","1110004","11","","1110007","","",""
"1","3","0.2","","106531","11","pkb_idle_normal","1110008","","",""
"100","1","1.65","pkb_idle_normal","1","12","106531","1120001","1","64","-175"
"0","3","0.2","","106531","12","pkb_talk_arm_crossed","1120002","0.2","pkb_idle_arm_crossed","1"
"0","21","","","vo_minigame_1006","12","vo_minigame_1006_top_303","1120003","","0",""
"8","11","0","0.5","106531","12","威勢がいいのは口だけ\nじゃねえってとこ\n見せてくれよな？","1120004","0","0","0"
"","93","","","3.2","12","","1120005","","",""
"0","3","0.2","","106531","12","pkb_talk_doya","1120006","","pkb_idle_doya","1"
"","91","","","1120004","12","","1120007","","",""
"1","3","0.2","","106531","12","pkb_idle_normal","1120008","","",""
"100","1","1.65","pkb_idle_normal","1","13","102311","1130001","1","64","-175"
"0","3","0.2","","102311","13","pkb_talk_fun","1130002","0.4","pkb_talk_joy1","1"
"0","21","","","vo_minigame_1006","13","vo_minigame_1006_top_401","1130003","","0",""
"8","11","0","0","102311","13","今日も打っちゃうよ！\n一緒にがんばろうね\nぷうきち！","1130004","0","0","0"
"","91","","","1130004","13","","1130005","","",""
